case_id,root,initial_phase,variant,family,depth,break_index,mechanics,expected_support,participation,support,triggers,predicate_pass,qlp_events,source_fires,physical_work,drive_deliveries,modulatory_deliveries,local_updates,proposals,deallocations,qlp_work,final_tick,pressure_phase,trace_hash,body_hash,live,quiescent
18,2800000,7,complete_d1,complete,1,none,reference,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,8,8,4c68375d250ab1fe6a2f88bbef3502983a158f4b16cb5755f4140c6fc2e60f38,4498f9bc21133882251336a5cd9587651ec1877f30a4840b7e08f0b0dbb57e08,1,1
18,2800000,7,complete_d1,complete,1,none,production,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,8,8,4c68375d250ab1fe6a2f88bbef3502983a158f4b16cb5755f4140c6fc2e60f38,4498f9bc21133882251336a5cd9587651ec1877f30a4840b7e08f0b0dbb57e08,1,1
19,2800000,8,complete_d1,complete,1,none,reference,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,9,9,cf2ed404e89e16bbeeee4681465821ec3e07ea3bc6f4662c2043fa26177842ec,4498f9bc21133882251336a5cd9587651ec1877f30a4840b7e08f0b0dbb57e08,1,1
19,2800000,8,complete_d1,complete,1,none,production,1,4026531840,4026531840,,1,0,3,6,4,1,1,0,0,0,9,9,cf2ed404e89e16bbeeee4681465821ec3e07ea3bc6f4662c2043fa26177842ec,4498f9bc21133882251336a5cd9587651ec1877f30a4840b7e08f0b0dbb57e08,1,1
20,2800000,9,complete_d1,complete,1,none,reference,1,0,0,,0,0,3,5,4,1,0,0,0,0,10,0,9b523e3f0240caa2d9dc968e894b3bf4866b940abb549c215daaaa14a4f0772c,77c8a4be8ae4f86d3ee9bd05cd17fcfb247f75bd49c78d749a65af03f3d75000,1,1
20,2800000,9,complete_d1,complete,1,none,production,1,0,0,,0,0,3,5,4,1,0,0,0,0,10,0,9b523e3f0240caa2d9dc968e894b3bf4866b940abb549c215daaaa14a4f0772c,77c8a4be8ae4f86d3ee9bd05cd17fcfb247f75bd49c78d749a65af03f3d75000,1,1
21,2700000,0,complete_d2,complete,2,none,reference,1|1,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,0,0,1,1,1,6710b91fc90bf0be8cfe6583a45c2953f81c7dd0a0a1eed97cccba1a43299a93,ccb49f5b7a660667425588ba0997b773c1e00b41cea5bbd2df11c6ecc9f5c4bb,1,1
21,2700000,0,complete_d2,complete,2,none,production,1|1,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,0,0,1,1,1,6710b91fc90bf0be8cfe6583a45c2953f81c7dd0a0a1eed97cccba1a43299a93,ccb49f5b7a660667425588ba0997b773c1e00b41cea5bbd2df11c6ecc9f5c4bb,1,1
22,2700000,1,complete_d2,complete,2,none,reference,1|1,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,0,0,1,2,2,690e65f25e6430139c0c24732e428fff706e7412c8a0969e1c7e8437a93a18ba,ccb49f5b7a660667425588ba0997b773c1e00b41cea5bbd2df11c6ecc9f5c4bb,1,1
22,2700000,1,complete_d2,complete,2,none,production,1|1,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,0,0,1,2,2,690e65f25e6430139c0c24732e428fff706e7412c8a0969e1c7e8437a93a18ba,ccb49f5b7a660667425588ba0997b773c1e00b41cea5bbd2df11c6ecc9f5c4bb,1,1
