case_id,root,initial_phase,world,mechanics,participation,support,triggers,predicate_pass,qlp_events,source_fires,physical_work,drive_deliveries,modulatory_deliveries,local_updates,qlp_work,final_tick,pressure_phase,trace_hash,body_hash,live,quiescent
6,2500000,5,positive_one_hop,reference,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,1,6,6,0a910cc88aad4b3a3c35d4503bcd371f7384fc783963eb34fbe7a10e3e3b4714,6ade40b02a7ac20e91b3f668a8281685c553e19397741ec15792fa227873c936,1,1
6,2500000,5,positive_one_hop,production,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,1,6,6,0a910cc88aad4b3a3c35d4503bcd371f7384fc783963eb34fbe7a10e3e3b4714,6ade40b02a7ac20e91b3f668a8281685c553e19397741ec15792fa227873c936,1,1
7,2500000,6,positive_one_hop,reference,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,1,7,7,386f95f01a62016a1cb902808ae20670383edc36323d9ea1bb15677935ba53be,6ade40b02a7ac20e91b3f668a8281685c553e19397741ec15792fa227873c936,1,1
7,2500000,6,positive_one_hop,production,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,1,7,7,386f95f01a62016a1cb902808ae20670383edc36323d9ea1bb15677935ba53be,6ade40b02a7ac20e91b3f668a8281685c553e19397741ec15792fa227873c936,1,1
8,2500000,7,positive_one_hop,reference,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,1,8,8,2892f5fd66e2434bd16a2cde8135bc324b215c2f03f728119af119d1162ee4db,6ade40b02a7ac20e91b3f668a8281685c553e19397741ec15792fa227873c936,1,1
8,2500000,7,positive_one_hop,production,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,1,8,8,2892f5fd66e2434bd16a2cde8135bc324b215c2f03f728119af119d1162ee4db,6ade40b02a7ac20e91b3f668a8281685c553e19397741ec15792fa227873c936,1,1
9,2500000,8,positive_one_hop,reference,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,1,9,9,f137cdf70ce75e3426047f09c9a3c819ed604efa1ea22e8b64a50c7cf4ae9c8d,6ade40b02a7ac20e91b3f668a8281685c553e19397741ec15792fa227873c936,1,1
9,2500000,8,positive_one_hop,production,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,1,9,9,f137cdf70ce75e3426047f09c9a3c819ed604efa1ea22e8b64a50c7cf4ae9c8d,6ade40b02a7ac20e91b3f668a8281685c553e19397741ec15792fa227873c936,1,1
10,2500000,9,positive_one_hop,reference,0|0,0|0,qualified,0,0,4,6,5,1,0,0,10,0,f195cea7e7990814e5e024d66768804e57d9c40269ba552d73bde051ec66ff72,0e736c252a1214104a19533ae75bda14f2b908c2cbf3e88dc5d68aea39f94442,1,1
10,2500000,9,positive_one_hop,production,0|0,0|0,qualified,0,0,4,6,5,1,0,0,10,0,f195cea7e7990814e5e024d66768804e57d9c40269ba552d73bde051ec66ff72,0e736c252a1214104a19533ae75bda14f2b908c2cbf3e88dc5d68aea39f94442,1,1
