case_id,mechanics,phase,delay,initial_resistance,scenario,candidate_eligible_events,competitor_eligible_events,candidate_updates,competitor_updates,proposals,deallocations,final_candidate_live,final_candidate_resistance,final_candidate_coupling,final_candidate_eligible,final_competitor_live,final_competitor_resistance,final_competitor_coupling,final_competitor_eligible,final_tick,final_pressure_phase,final_body_hash,final_checkpoint_hash,physical_trace_hash,naturally_quiescent,replay_exact,candidate_trajectory,competitor_trajectory
6,reference,0,0,1,wrong_path_only,,0:4,0,0,0,2,0,0,1,0,0,0,1,0,15,5,305174bcd824d0681b18a3afaa7ba38404ed37fc7265cd10d87c4909effcd7da,341f0aea4e196f771489fde02cf924c61d9f45c9680894b3e0e10a9fc25812f3,e19def59adf1379820462c3eb3393470c82e4cdb23188ea90d16a1dda1808d56,1,1,constructed@0:1:1:1:0|initial@0:1:1:1:0|event@0:1:1:1:0|advance@1:1:1:1:0|advance@2:1:1:1:0|advance@3:1:1:1:0|advance@4:1:1:1:0|advance@5:1:1:1:0|advance@6:1:1:1:0|advance@7:1:1:1:0|advance@8:1:1:1:0|advance@9:1:1:1:0|advance@10:0:0:1:0|advance@11:0:0:1:0|advance@12:0:0:1:0|advance@13:0:0:1:0|advance@14:0:0:1:0|advance@15:0:0:1:0,constructed@0:1:1:1:0|initial@0:1:1:1:1|event@0:1:1:1:1|advance@1:1:1:1:1|advance@2:1:1:1:1|advance@3:1:1:1:1|advance@4:1:1:1:1|advance@5:0:0:1:0|advance@6:0:0:1:0|advance@7:0:0:1:0|advance@8:0:0:1:0|advance@9:0:0:1:0|advance@10:0:0:1:0|advance@11:0:0:1:0|advance@12:0:0:1:0|advance@13:0:0:1:0|advance@14:0:0:1:0|advance@15:0:0:1:0
6,production,0,0,1,wrong_path_only,,0:4,0,0,0,2,0,0,1,0,0,0,1,0,15,5,305174bcd824d0681b18a3afaa7ba38404ed37fc7265cd10d87c4909effcd7da,eece2e09c5a7a9c3912b20d14a54e54de645aa97818f59a62c6948c630e91216,e19def59adf1379820462c3eb3393470c82e4cdb23188ea90d16a1dda1808d56,1,1,constructed@0:1:1:1:0|initial@0:1:1:1:0|event@0:1:1:1:0|advance@1:1:1:1:0|advance@2:1:1:1:0|advance@3:1:1:1:0|advance@4:1:1:1:0|advance@5:1:1:1:0|advance@6:1:1:1:0|advance@7:1:1:1:0|advance@8:1:1:1:0|advance@9:1:1:1:0|advance@10:0:0:1:0|advance@11:0:0:1:0|advance@12:0:0:1:0|advance@13:0:0:1:0|advance@14:0:0:1:0|advance@15:0:0:1:0,constructed@0:1:1:1:0|initial@0:1:1:1:1|event@0:1:1:1:1|advance@1:1:1:1:1|advance@2:1:1:1:1|advance@3:1:1:1:1|advance@4:1:1:1:1|advance@5:0:0:1:0|advance@6:0:0:1:0|advance@7:0:0:1:0|advance@8:0:0:1:0|advance@9:0:0:1:0|advance@10:0:0:1:0|advance@11:0:0:1:0|advance@12:0:0:1:0|advance@13:0:0:1:0|advance@14:0:0:1:0|advance@15:0:0:1:0
7,reference,0,0,20,prompt_modulation,0:4,,1,0,0,0,1,22,1,0,0,0,0,0,15,5,a2e05eeef9a3f9670c3fdfbadd9e227194a18b799b51221ae5894531f7ceeda8,9779aab298acd72228e2f5a438376739d17536f477f5f5e4d0293da48455a5a3,89e12dfd1ee2b7cc97908f9483986aa7b4a7511e593b65459479dcd40ffcd9b6,1,1,constructed@0:1:20:1:0|initial@0:1:20:1:1|event@0:1:23:1:0|advance@1:1:23:1:0|advance@2:1:23:1:0|advance@3:1:23:1:0|advance@4:1:23:1:0|advance@5:1:23:1:0|advance@6:1:23:1:0|advance@7:1:23:1:0|advance@8:1:23:1:0|advance@9:1:23:1:0|advance@10:1:22:1:0|advance@11:1:22:1:0|advance@12:1:22:1:0|advance@13:1:22:1:0|advance@14:1:22:1:0|advance@15:1:22:1:0,
7,production,0,0,20,prompt_modulation,0:4,,1,0,0,0,1,22,1,0,0,0,0,0,15,5,a2e05eeef9a3f9670c3fdfbadd9e227194a18b799b51221ae5894531f7ceeda8,a7245277a78072ac169447ddefed8fe101fce1f5023928f4e4f0568f83ce29a6,89e12dfd1ee2b7cc97908f9483986aa7b4a7511e593b65459479dcd40ffcd9b6,1,1,constructed@0:1:20:1:0|initial@0:1:20:1:1|event@0:1:23:1:0|advance@1:1:23:1:0|advance@2:1:23:1:0|advance@3:1:23:1:0|advance@4:1:23:1:0|advance@5:1:23:1:0|advance@6:1:23:1:0|advance@7:1:23:1:0|advance@8:1:23:1:0|advance@9:1:23:1:0|advance@10:1:22:1:0|advance@11:1:22:1:0|advance@12:1:22:1:0|advance@13:1:22:1:0|advance@14:1:22:1:0|advance@15:1:22:1:0,
8,reference,0,0,20,unrelated_modulation,0:4,,1,0,0,0,1,22,1,0,0,0,0,0,15,5,dbcfb7c9b555ce92fcdb38b75853103e9e6a5166413da52a2f830baa0fa3f8bd,8b692be7fdbea2891ca0c0762c3c63fa7df3d9114d490857be62a81a286c31e8,beda20d8b1a01fb6ee1f41023a6e38579d3ef4bcd8b0316b142d7043b25d9b2a,1,1,constructed@0:1:20:1:0|initial@0:1:20:1:1|event@0:1:23:1:0|advance@1:1:23:1:0|advance@2:1:23:1:0|advance@3:1:23:1:0|advance@4:1:23:1:0|advance@5:1:23:1:0|advance@6:1:23:1:0|advance@7:1:23:1:0|advance@8:1:23:1:0|advance@9:1:23:1:0|advance@10:1:22:1:0|advance@11:1:22:1:0|advance@12:1:22:1:0|advance@13:1:22:1:0|advance@14:1:22:1:0|advance@15:1:22:1:0,
8,production,0,0,20,unrelated_modulation,0:4,,1,0,0,0,1,22,1,0,0,0,0,0,15,5,dbcfb7c9b555ce92fcdb38b75853103e9e6a5166413da52a2f830baa0fa3f8bd,b6242e1933da115520d1732eccddb0c2a9c3025a38da909c5295b38d45a93c70,beda20d8b1a01fb6ee1f41023a6e38579d3ef4bcd8b0316b142d7043b25d9b2a,1,1,constructed@0:1:20:1:0|initial@0:1:20:1:1|event@0:1:23:1:0|advance@1:1:23:1:0|advance@2:1:23:1:0|advance@3:1:23:1:0|advance@4:1:23:1:0|advance@5:1:23:1:0|advance@6:1:23:1:0|advance@7:1:23:1:0|advance@8:1:23:1:0|advance@9:1:23:1:0|advance@10:1:22:1:0|advance@11:1:22:1:0|advance@12:1:22:1:0|advance@13:1:22:1:0|advance@14:1:22:1:0|advance@15:1:22:1:0,
9,reference,0,0,20,nearby_drive,0:4,,0,0,0,0,1,18,1,0,0,0,0,0,15,5,fafbe9ad2afc09303bb2cfecfda1ba3a098de2569397a26e9f485836ccb0a00a,2ca86a5b0a33346f0f7cdae169f3c4b28f3dbad755b50c4220601427e186d630,ec88b0469956d7cb8299d03f47b2b984863525d2c3d841f38dbcc855a314e2a9,1,1,constructed@0:1:20:1:0|initial@0:1:20:1:1|event@0:1:20:1:1|advance@1:1:20:1:1|advance@2:1:20:1:1|advance@3:1:20:1:1|advance@4:1:20:1:1|advance@5:1:19:1:0|advance@6:1:19:1:0|advance@7:1:19:1:0|advance@8:1:19:1:0|advance@9:1:19:1:0|advance@10:1:18:1:0|advance@11:1:18:1:0|advance@12:1:18:1:0|advance@13:1:18:1:0|advance@14:1:18:1:0|advance@15:1:18:1:0,
9,production,0,0,20,nearby_drive,0:4,,0,0,0,0,1,18,1,0,0,0,0,0,15,5,fafbe9ad2afc09303bb2cfecfda1ba3a098de2569397a26e9f485836ccb0a00a,1eb646f7921fa9a328414721e178ccc812dded286a9a7aa280c44fe92d235c03,ec88b0469956d7cb8299d03f47b2b984863525d2c3d841f38dbcc855a314e2a9,1,1,constructed@0:1:20:1:0|initial@0:1:20:1:1|event@0:1:20:1:1|advance@1:1:20:1:1|advance@2:1:20:1:1|advance@3:1:20:1:1|advance@4:1:20:1:1|advance@5:1:19:1:0|advance@6:1:19:1:0|advance@7:1:19:1:0|advance@8:1:19:1:0|advance@9:1:19:1:0|advance@10:1:18:1:0|advance@11:1:18:1:0|advance@12:1:18:1:0|advance@13:1:18:1:0|advance@14:1:18:1:0|advance@15:1:18:1:0,
10,reference,0,0,20,same_path_repeat,0:4,,0,0,0,0,1,18,1,0,0,0,0,0,15,5,175bbe0f0a72e522bc6ecd588d29b30822d38901f55306c0582cff188bbce20d,6550f8b57afad28c31b4e24b803cfeef7957c8c6899dd445f6735e117cdcef09,26e08d62246068325492aeae0b729238f2cc433625608681c6f62c119b562aeb,1,1,constructed@0:1:20:1:0|initial@0:1:20:1:1|event@0:1:20:1:1|advance@1:1:20:1:1|advance@2:1:20:1:1|advance@3:1:20:1:1|advance@4:1:20:1:1|advance@5:1:19:1:0|advance@6:1:19:1:0|advance@7:1:19:1:0|advance@8:1:19:1:0|advance@9:1:19:1:0|advance@10:1:18:1:0|advance@11:1:18:1:0|advance@12:1:18:1:0|advance@13:1:18:1:0|advance@14:1:18:1:0|advance@15:1:18:1:0,
10,production,0,0,20,same_path_repeat,0:4,,0,0,0,0,1,18,1,0,0,0,0,0,15,5,175bbe0f0a72e522bc6ecd588d29b30822d38901f55306c0582cff188bbce20d,616078bd5123b57e7d535559c881fa07505d3e01f07ef6f8d8f674e8e35e5572,26e08d62246068325492aeae0b729238f2cc433625608681c6f62c119b562aeb,1,1,constructed@0:1:20:1:0|initial@0:1:20:1:1|event@0:1:20:1:1|advance@1:1:20:1:1|advance@2:1:20:1:1|advance@3:1:20:1:1|advance@4:1:20:1:1|advance@5:1:19:1:0|advance@6:1:19:1:0|advance@7:1:19:1:0|advance@8:1:19:1:0|advance@9:1:19:1:0|advance@10:1:18:1:0|advance@11:1:18:1:0|advance@12:1:18:1:0|advance@13:1:18:1:0|advance@14:1:18:1:0|advance@15:1:18:1:0,
