case_id,root,initial_phase,scenario,mechanics,a_updates,b_updates,a_initial_resistance,a_final_resistance,a_initial_coupling,a_final_coupling,a_live,b_initial_resistance,b_final_resistance,b_initial_coupling,b_final_coupling,b_live,drive_deliveries,modulatory_deliveries,fires,eligible,resistance_events,proposals,deallocations,crossings,ca_fires,physical_work,final_tick,pressure_phase,trace_hash,body_hash,quiescent
10,1300000,0,c6_timing_offset,production,1,0,4,7,1,2,1,4,4,1,1,1,6,1,4,5,1,0,0,0,1,8,2,2,364d47ff06da33fe3dda43e8f34dc36cc9c9a856d384658c2453b197b1884690,39384aba92c0f9453740aac01a80bf469d2efe75a9bdeedd98c0fc56e7c501ee,1
11,1300000,0,c7_contact_fanout,reference,1,1,4,7,1,2,1,4,7,1,2,1,6,1,4,5,2,0,0,0,1,9,0,0,8d5c68cbfd4a1cc825b47532ff9efb17b6b5bc71bbfbf4c0167cbcedfbc42754,18570242ab8e8800ba60b289874d7de7495e67b28b84ffbd64868b1c29056812,1
11,1300000,0,c7_contact_fanout,production,1,1,4,7,1,2,1,4,7,1,2,1,6,1,4,5,2,0,0,0,1,9,0,0,8d5c68cbfd4a1cc825b47532ff9efb17b6b5bc71bbfbf4c0167cbcedfbc42754,18570242ab8e8800ba60b289874d7de7495e67b28b84ffbd64868b1c29056812,1
12,1300000,1,old_source_local,reference,1,1,4,7,1,2,1,4,7,1,2,1,4,1,2,3,2,0,0,0,1,7,1,1,d5b9c412a1c387d30e52141ab24fa4ce2796e000d47b4a9aa8b531053d6d0e82,87cb30fff54b84ea1371524398dee4056b80877e29d3caf01e001d71f4ce4c86,1
12,1300000,1,old_source_local,production,1,1,4,7,1,2,1,4,7,1,2,1,4,1,2,3,2,0,0,0,1,7,1,1,d5b9c412a1c387d30e52141ab24fa4ce2796e000d47b4a9aa8b531053d6d0e82,87cb30fff54b84ea1371524398dee4056b80877e29d3caf01e001d71f4ce4c86,1
13,1300000,1,c0_contact_a,reference,1,0,4,7,1,2,1,4,4,1,1,1,6,1,4,5,1,0,0,0,1,8,1,1,6e6bb903cee83d6eb746c45961129f9e302af4bfffe81a798827030d41511742,d1d437b0e07644b1a7975845715c4a33c735c803d8408d025a455487879ad8de,1
13,1300000,1,c0_contact_a,production,1,0,4,7,1,2,1,4,4,1,1,1,6,1,4,5,1,0,0,0,1,8,1,1,6e6bb903cee83d6eb746c45961129f9e302af4bfffe81a798827030d41511742,d1d437b0e07644b1a7975845715c4a33c735c803d8408d025a455487879ad8de,1
14,1300000,1,c1_contact_b,reference,0,1,4,4,1,1,1,4,7,1,2,1,6,1,4,5,1,0,0,0,1,8,1,1,db9a544ed60975ac4db88f5930aff759e0f62bb91f7483f8598d87d38aee9830,d50ce135c3ff893ef7a6988f06a36535e3857e69aa484b11e101928e2a9389a6,1
14,1300000,1,c1_contact_b,production,0,1,4,4,1,1,1,4,7,1,2,1,6,1,4,5,1,0,0,0,1,8,1,1,db9a544ed60975ac4db88f5930aff759e0f62bb91f7483f8598d87d38aee9830,d50ce135c3ff893ef7a6988f06a36535e3857e69aa484b11e101928e2a9389a6,1
15,1300000,1,c2_a_not_traversed,reference,0,0,4,4,1,1,1,4,4,1,1,1,3,1,2,2,0,0,0,0,0,4,1,1,99052ecc6cb678d16419a872a748adaf9d4cfa1e54d8c0ddec6117c23492d65d,bf1c6d057bd4d92d9ef76ef8c44c4fe0193332305255ae78108f5c77abf1e51c,1
