case,family,root,phase,mechanics,replay_equal,cross_mechanics_equal,checks_pass,failed,cell_proposals,arrow_proposals,arrow_updates,cell_deallocations,arrow_deallocations,physical_work,trace_len,final_tick,naturally_quiescent,body_hash,markers
8,gate_g_permutation,7500000,0,reference,true,true,true,,2,4,2,1,2,21,27,12,true,8d9ebb5838c9095c65afb211838b932930e3b2a2a6a489060f72cbb8d64838fe,selected_sign=-1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(2)/slotSome(CellSlot(2));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
8,gate_g_permutation,7500000,0,production,true,true,true,,2,4,2,1,2,21,27,12,true,8d9ebb5838c9095c65afb211838b932930e3b2a2a6a489060f72cbb8d64838fe,selected_sign=-1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(2)/slotSome(CellSlot(2));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
9,gate_h_neither_useful,7500000,0,reference,true,true,true,,2,4,0,2,4,17,20,10,true,fdff4ed5bc322e4a1f83ad913fbac4c8407a605d3b7749dcb6e6f0b2f2a83230,negative_live=(false; false; false);positive_live=(false; false; false)|neither_useful=true
9,gate_h_neither_useful,7500000,0,production,true,true,true,,2,4,0,2,4,17,20,10,true,fdff4ed5bc322e4a1f83ad913fbac4c8407a605d3b7749dcb6e6f0b2f2a83230,negative_live=(false; false; false);positive_live=(false; false; false)|neither_useful=true
10,gate_h_both_useful,7500000,0,reference,true,true,true,,2,4,4,0,0,24,32,12,true,706e9a2eedc1216bc65a31acd6b7cdcf520ec6d1ae2f61e052b2262a3e6c4c09,resistances=[Some(4); Some(4); Some(4); Some(4)];cells=[Some(1); Some(1)];live10=(true; true; true)/(true; true; true);fires=1->2/1->2
10,gate_h_both_useful,7500000,0,production,true,true,true,,2,4,4,0,0,24,32,12,true,706e9a2eedc1216bc65a31acd6b7cdcf520ec6d1ae2f61e052b2262a3e6c4c09,resistances=[Some(4); Some(4); Some(4); Some(4)];cells=[Some(1); Some(1)];live10=(true; true; true)/(true; true; true);fires=1->2/1->2
11,gate_i_shared_contact_alias,7500000,0,reference,true,true,true,,0,0,3,0,0,9,12,10,true,b74d0f195f9a69c4ad2bbb672538faf9c55fb40d7e4bec884a4dc99c7267f919,shared_resistances=[Some(4); Some(4); Some(4)];contact=Some(1);live10=(true; true; true; true)
11,gate_i_shared_contact_alias,7500000,0,production,true,true,true,,0,0,3,0,0,9,12,10,true,b74d0f195f9a69c4ad2bbb672538faf9c55fb40d7e4bec884a4dc99c7267f919,shared_resistances=[Some(4); Some(4); Some(4)];contact=Some(1);live10=(true; true; true; true)
12,v2_anchor_identity_slot_permutation,7500000,0,reference,true,true,true,,2,4,2,1,2,21,27,12,true,6e4980b9074c4572030b85e260bf8863d1a31ba0b9a882c4fbb3df1e479c7c9a,selected_sign=1;selected_id=CellId(3)/slotCellSlot(3);unsupported_id=CellId(4)/slotCellSlot(4);anchor=CellId(0)/slotSome(CellSlot(0));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
12,v2_anchor_identity_slot_permutation,7500000,0,production,true,true,true,,2,4,2,1,2,21,27,12,true,6e4980b9074c4572030b85e260bf8863d1a31ba0b9a882c4fbb3df1e479c7c9a,selected_sign=1;selected_id=CellId(3)/slotCellSlot(3);unsupported_id=CellId(4)/slotCellSlot(4);anchor=CellId(0)/slotSome(CellSlot(0));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
