case_id,root,phase,family,mechanics,participation,support,pressure_load,resistance,live,effective_pressure,physical_work,drive,modulation,updates,deallocations,tick,body_hash,quiescent,predicate_pass
10,3100000,9,graded_pressure,reference,0|2402709960|3110400000|4026531840,0|0|0|0,0|1892257336|1184567296|268435456,9|10|10|10,true|true|true|true,4294967296|1892257336|1184567296|268435456,6,6,0,0,0,10,55754b2597f70b972a3a869d528fa377d487ee79906c612b44ac87448057099f,1,1
10,3100000,9,graded_pressure,production,0|2402709960|3110400000|4026531840,0|0|0|0,0|1892257336|1184567296|268435456,9|10|10|10,true|true|true|true,4294967296|1892257336|1184567296|268435456,6,6,0,0,0,10,55754b2597f70b972a3a869d528fa377d487ee79906c612b44ac87448057099f,1,1
11,3200000,0,graded_pressure,reference,0|2402709960|3110400000|4026531840,0|0|0|0,0|1892257336|1184567296|268435456,9|10|10|10,true|true|true|true,4294967296|1892257336|1184567296|268435456,6,6,0,0,0,10,637834e7aec5390725ec86b79582ec43a62c35ee517e5072a0cac004c8688e48,1,1
11,3200000,0,graded_pressure,production,0|2402709960|3110400000|4026531840,0|0|0|0,0|1892257336|1184567296|268435456,9|10|10|10,true|true|true|true,4294967296|1892257336|1184567296|268435456,6,6,0,0,0,10,637834e7aec5390725ec86b79582ec43a62c35ee517e5072a0cac004c8688e48,1,1
12,3200000,1,graded_pressure,reference,0|2402709960|3110400000|4026531840,0|0|0|0,0|1892257336|1184567296|268435456,9|10|10|10,true|true|true|true,4294967296|1892257336|1184567296|268435456,6,6,0,0,0,10,637834e7aec5390725ec86b79582ec43a62c35ee517e5072a0cac004c8688e48,1,1
12,3200000,1,graded_pressure,production,0|2402709960|3110400000|4026531840,0|0|0|0,0|1892257336|1184567296|268435456,9|10|10|10,true|true|true|true,4294967296|1892257336|1184567296|268435456,6,6,0,0,0,10,637834e7aec5390725ec86b79582ec43a62c35ee517e5072a0cac004c8688e48,1,1
13,3200000,2,graded_pressure,reference,0|2402709960|3110400000|4026531840,0|0|0|0,0|1892257336|1184567296|268435456,9|10|10|10,true|true|true|true,4294967296|1892257336|1184567296|268435456,6,6,0,0,0,10,637834e7aec5390725ec86b79582ec43a62c35ee517e5072a0cac004c8688e48,1,1
13,3200000,2,graded_pressure,production,0|2402709960|3110400000|4026531840,0|0|0|0,0|1892257336|1184567296|268435456,9|10|10|10,true|true|true|true,4294967296|1892257336|1184567296|268435456,6,6,0,0,0,10,637834e7aec5390725ec86b79582ec43a62c35ee517e5072a0cac004c8688e48,1,1
14,3200000,3,graded_pressure,reference,0|2402709960|3110400000|4026531840,0|0|0|0,0|1892257336|1184567296|268435456,9|10|10|10,true|true|true|true,4294967296|1892257336|1184567296|268435456,6,6,0,0,0,10,637834e7aec5390725ec86b79582ec43a62c35ee517e5072a0cac004c8688e48,1,1
14,3200000,3,graded_pressure,production,0|2402709960|3110400000|4026531840,0|0|0|0,0|1892257336|1184567296|268435456,9|10|10|10,true|true|true|true,4294967296|1892257336|1184567296|268435456,6,6,0,0,0,10,637834e7aec5390725ec86b79582ec43a62c35ee517e5072a0cac004c8688e48,1,1
15,3200000,4,graded_pressure,reference,0|2402709960|3110400000|4026531840,0|0|0|0,0|1892257336|1184567296|268435456,9|10|10|10,true|true|true|true,4294967296|1892257336|1184567296|268435456,6,6,0,0,0,10,637834e7aec5390725ec86b79582ec43a62c35ee517e5072a0cac004c8688e48,1,1
