case_id,root,initial_phase,delay,mechanics,a_participation,b_participation,a_support,b_support,physical_work,final_tick,pressure_phase,trace_hash,body_hash,a_live,b_live,quiescent
12,1500000,0,11,production,2111756800,2111756800,2111756800,0,8,11,1,69b8416b6a83a433c13118b793e2c6791732dcfe32d4b246bab95987fdec39cb,b4bf1a9e312b2ec855eca58b0a6037f00660f3a945d060ee2cbbf515d98cee7a,1,1,1
13,1500000,0,12,reference,1979772000,1979772000,1979772000,0,8,12,2,226a4b560e518aebfe467a89e8cfc710bbd637e1fa3d41fae3e9f0ed59ab9ed9,b4bf1a9e312b2ec855eca58b0a6037f00660f3a945d060ee2cbbf515d98cee7a,1,1,1
13,1500000,0,12,production,1979772000,1979772000,1979772000,0,8,12,2,226a4b560e518aebfe467a89e8cfc710bbd637e1fa3d41fae3e9f0ed59ab9ed9,b4bf1a9e312b2ec855eca58b0a6037f00660f3a945d060ee2cbbf515d98cee7a,1,1,1
14,1500000,0,13,reference,1856036250,1856036250,1856036250,0,8,13,3,a72cb6299a72b2ffef088dcb643c7b06c1f8ab4c0e90c9ffefcaf35d9bad584d,b4bf1a9e312b2ec855eca58b0a6037f00660f3a945d060ee2cbbf515d98cee7a,1,1,1
14,1500000,0,13,production,1856036250,1856036250,1856036250,0,8,13,3,a72cb6299a72b2ffef088dcb643c7b06c1f8ab4c0e90c9ffefcaf35d9bad584d,b4bf1a9e312b2ec855eca58b0a6037f00660f3a945d060ee2cbbf515d98cee7a,1,1,1
15,1500000,0,14,reference,1740033984,1740033984,1740033984,0,8,14,4,5f91c49d9874c92e31294ceb6d74514fa335dbfb892ceb5bd7310cef710494cc,b4bf1a9e312b2ec855eca58b0a6037f00660f3a945d060ee2cbbf515d98cee7a,1,1,1
15,1500000,0,14,production,1740033984,1740033984,1740033984,0,8,14,4,5f91c49d9874c92e31294ceb6d74514fa335dbfb892ceb5bd7310cef710494cc,b4bf1a9e312b2ec855eca58b0a6037f00660f3a945d060ee2cbbf515d98cee7a,1,1,1
16,1500000,0,15,reference,1631281860,1631281860,1631281860,0,8,15,5,ca934d1e6d2f8b5298af6a99ace6026ced0280f238ef3c0436d7872eb78d746d,b4bf1a9e312b2ec855eca58b0a6037f00660f3a945d060ee2cbbf515d98cee7a,1,1,1
16,1500000,0,15,production,1631281860,1631281860,1631281860,0,8,15,5,ca934d1e6d2f8b5298af6a99ace6026ced0280f238ef3c0436d7872eb78d746d,b4bf1a9e312b2ec855eca58b0a6037f00660f3a945d060ee2cbbf515d98cee7a,1,1,1
17,1500000,0,16,reference,1529326743,1529326743,1529326743,0,8,16,6,cd155387487a780ea2fab50199b613d31e41b84db39cd4a4bbd50bb64d9eea74,b4bf1a9e312b2ec855eca58b0a6037f00660f3a945d060ee2cbbf515d98cee7a,1,1,1
17,1500000,0,16,production,1529326743,1529326743,1529326743,0,8,16,6,cd155387487a780ea2fab50199b613d31e41b84db39cd4a4bbd50bb64d9eea74,b4bf1a9e312b2ec855eca58b0a6037f00660f3a945d060ee2cbbf515d98cee7a,1,1,1
