case_id,root,creation_phase,family,mechanics,points,trace_hash,physical_work,drive,modulation,updates,proposals,deallocations,qlp,final_tick,body_hash,quiescent,equivalent_future,replay_equal,mechanics_equal,predicate_pass
8,4700000,1,unused_proposal,reference,initial@0/1:1/1/0/0/0/1;age_9@9/10:1/1/9/0/0/1;death@10/11:0/0/0/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1,0,0,0,0,1,0,11,9f4d43bad92103a1a10c7950ad6eb808a2bcff245cce49ff0d2092f10a50818e,1,1,1,1,1
8,4700000,1,unused_proposal,production,initial@0/1:1/1/0/0/0/1;age_9@9/10:1/1/9/0/0/1;death@10/11:0/0/0/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1,0,0,0,0,1,0,11,9f4d43bad92103a1a10c7950ad6eb808a2bcff245cce49ff0d2092f10a50818e,1,1,1,1,1
9,4700000,1,repeated_use_no_consequence,reference,initial@0/1:1/1/0/0/0/1;age_9@9/10:1/1/9/12571524225/0/1;death@10/11:0/0/0/0/0/0,567924cfe83b342b8849d8d9c482495127a66e8dddcd73ebed9997b26f0b4898,9,8,0,0,0,1,0,11,9f4d43bad92103a1a10c7950ad6eb808a2bcff245cce49ff0d2092f10a50818e,1,1,1,1,1
9,4700000,1,repeated_use_no_consequence,production,initial@0/1:1/1/0/0/0/1;age_9@9/10:1/1/9/12571524225/0/1;death@10/11:0/0/0/0/0/0,567924cfe83b342b8849d8d9c482495127a66e8dddcd73ebed9997b26f0b4898,9,8,0,0,0,1,0,11,9f4d43bad92103a1a10c7950ad6eb808a2bcff245cce49ff0d2092f10a50818e,1,1,1,1,1
10,4700000,1,one_qualified_consequence,reference,initial@0/1:1/1/0/0/0/1;before_consequence@5/6:1/1/5/4294967296/0/1;after_consequence@5/6:1/4/0/4294967296/4294967296/1;last_live@44/45:1/1/9/346608838/4294967296/1;death@45/46:0/0/0/0/0/0,30c892dc714f412178ce4a2d4d1be7d113696926e6c126e418328e08c1000001,6,3,1,1,0,1,0,46,c84cec06cbfaf635fc7147c2055c83fb6494ecce7bf9fdfa4f192dcd2a605443,1,1,1,1,1
10,4700000,1,one_qualified_consequence,production,initial@0/1:1/1/0/0/0/1;before_consequence@5/6:1/1/5/4294967296/0/1;after_consequence@5/6:1/4/0/4294967296/4294967296/1;last_live@44/45:1/1/9/346608838/4294967296/1;death@45/46:0/0/0/0/0/0,30c892dc714f412178ce4a2d4d1be7d113696926e6c126e418328e08c1000001,6,3,1,1,0,1,0,46,c84cec06cbfaf635fc7147c2055c83fb6494ecce7bf9fdfa4f192dcd2a605443,1,1,1,1,1
11,4700000,1,same_durable_state_same_future,reference,after_consequence@9/50:0/0/0/0/0/0;last_live@48/50:0/0/0/0/0/0;death@49/50:0/0/0/0/0/0,4ea88ea1b656674137e3e846da57fed80668b97d8759fa6dfa95f176ff457e92,6,3,1,1,0,1,0,50,c84cec06cbfaf635fc7147c2055c83fb6494ecce7bf9fdfa4f192dcd2a605443,1,1,1,1,0
11,4700000,1,same_durable_state_same_future,production,after_consequence@9/50:0/0/0/0/0/0;last_live@48/50:0/0/0/0/0/0;death@49/50:0/0/0/0/0/0,4ea88ea1b656674137e3e846da57fed80668b97d8759fa6dfa95f176ff457e92,6,3,1,1,0,1,0,50,c84cec06cbfaf635fc7147c2055c83fb6494ecce7bf9fdfa4f192dcd2a605443,1,1,1,1,0
12,4700000,1,wrong_path_modulation,reference,initial@0/1:1/1/0/0/0/1;before_wrong_return@5/6:1/1/5/4294967296/0/1;after_wrong_return@5/6:1/1/5/4294967296/0/1;death@10/11:0/0/0/0/0/0,14f8c730b8a568abbd634b97ac8b200f48bf6229d89c5319d478e586839e65fb,5,3,1,0,0,1,0,11,95cd5298f886267e105829bc1eafdb7121c74f271a1f59f9d8939cec634aeb5b,1,1,1,1,1
12,4700000,1,wrong_path_modulation,production,initial@0/1:1/1/0/0/0/1;before_wrong_return@5/6:1/1/5/4294967296/0/1;after_wrong_return@5/6:1/1/5/4294967296/0/1;death@10/11:0/0/0/0/0/0,14f8c730b8a568abbd634b97ac8b200f48bf6229d89c5319d478e586839e65fb,5,3,1,0,0,1,0,11,95cd5298f886267e105829bc1eafdb7121c74f271a1f59f9d8939cec634aeb5b,1,1,1,1,1
