case_id,root,absolute_phase,family,mechanics,class,period_firings,period_ticks,first_firings,continuation_firings,excitatory_fire_counts,inhibitor_firings,excitatory_traversals,relay_traversals,negative_traversals,scheduled_deliveries,continuation_deliveries,physical_work,final_tick,states,naturally_quiescent,ceiling_reached,continuation_ceiling_reached,unbounded_match,trace_hash,continuation_trace_hash,body_hash,live_hash,replay_equal,mechanics_equal,predicate_pass,case_pass
108,5900000,4,strength_h4,production,dies,0,0,2,0,1|1,2,2,2,2,7,0,7,6,1/1000000/2;1/1000000/2;1/1000000/1;1/1000000/-4;1/1000000/1;1/1000000/-4,true,false,false,true,b585405faaead48ef71de5ef6e6ce7c8726ea7e68432295c0ab8fe9042081c72,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,afb6bd0d871dffa882c3b59181f8b26da6225f98dfb5226da893d333fa3cc7b4,570efea59a062c30fa8f33a5111b007c07508e0f995c9d5b5b99c2c861022d3d,true,true,true,true
109,5900000,4,strength_h8,reference,dies,0,0,2,0,1|1,2,2,2,2,7,0,7,6,1/1000000/2;1/1000000/2;1/1000000/1;1/1000000/-8;1/1000000/1;1/1000000/-8,true,false,false,true,8c4f47009b096b5828ebb225db1e2c03a2a98ade40591ea35f56fa4a2080ec8e,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,7e82bc77bc33679cc5b5ddd96535f49330aa1e932757beda5859bfaa81755810,9bacfba27dfcdbdfd2bcfee15c7e593d705a1684d68eeba44dbcc043f13a8dac,true,true,true,true
109,5900000,4,strength_h8,production,dies,0,0,2,0,1|1,2,2,2,2,7,0,7,6,1/1000000/2;1/1000000/2;1/1000000/1;1/1000000/-8;1/1000000/1;1/1000000/-8,true,false,false,true,8c4f47009b096b5828ebb225db1e2c03a2a98ade40591ea35f56fa4a2080ec8e,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,7e82bc77bc33679cc5b5ddd96535f49330aa1e932757beda5859bfaa81755810,ff2d9c410e98e47f7c451964d1f8d0f1e7a8938e8b9c7c0927559c8269eb9e60,true,true,true,true
110,5900000,4,two_loops_one_inhibited,reference,periodic,2,2,251,32,1|1|141|140,2,282,2,2,256,32,288,284,1/999972/2;1/999972/2;1/999972/2;1/999972/2;1/999972/1;1/999972/-16;1/999972/1;1/999972/-16,false,true,true,true,57c8961e7b7ce87c657ca9e8d6a3d3861733d6463ad0da094d1225d9bc3f1b74,8c58fd86e3dea457f7132554b7460e11145547af673a60e39c06f27faf92b5a9,e3a4bba2746c6453798428df386c4d76bf7ecc2ee93025aa9887f768f40eb114,5e27636f176d880c95e0765a5ae92cdca32f6d4260efd2a2e757504e24a5aca5,true,true,true,true
110,5900000,4,two_loops_one_inhibited,production,periodic,2,2,251,32,1|1|141|140,2,282,2,2,256,32,288,284,1/999972/2;1/999972/2;1/999972/2;1/999972/2;1/999972/1;1/999972/-16;1/999972/1;1/999972/-16,false,true,true,true,57c8961e7b7ce87c657ca9e8d6a3d3861733d6463ad0da094d1225d9bc3f1b74,8c58fd86e3dea457f7132554b7460e11145547af673a60e39c06f27faf92b5a9,e3a4bba2746c6453798428df386c4d76bf7ecc2ee93025aa9887f768f40eb114,47c63823f05a3482380ef7763f944651531c661a7d6526c9d053982ad2754b04,true,true,true,true
111,5900000,5,baseline_reciprocal,reference,periodic,2,2,256,32,144|144,0,287,0,0,256,32,288,292,1/999972/2;1/999972/2,false,true,true,true,49ab1e4b7adeb449a9c596667d3540897946cf7b98013f4736f8f1f62ac0af72,7a8a1092980198779026bd011c6073736a1b8d07a40164759aba563762ab54a5,12bed1e681ee1efcdf3f28f807462b9117985b094ad2ef7ca29883c8e064047f,0e3ec91a93d1e6336fe66390df89339ea68c0efcba8d744971202ed5fb4802c5,true,true,true,true
111,5900000,5,baseline_reciprocal,production,periodic,2,2,256,32,144|144,0,287,0,0,256,32,288,292,1/999972/2;1/999972/2,false,true,true,true,49ab1e4b7adeb449a9c596667d3540897946cf7b98013f4736f8f1f62ac0af72,7a8a1092980198779026bd011c6073736a1b8d07a40164759aba563762ab54a5,12bed1e681ee1efcdf3f28f807462b9117985b094ad2ef7ca29883c8e064047f,84d28213b52a2424bec5c07fd8ecdf09ef6d6611cda4cfbf400057f892c2fed9,true,true,true,true
112,5900000,5,main_local_h16_alternating_phase,reference,dies,0,0,2,0,1|1,2,2,2,2,7,0,7,7,1/1000000/2;1/1000000/2;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16,true,false,false,true,46d9ef68e4b81d05fa6165589c4815108bd5c9f9f32e57d4efbf2f91d360dfa6,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,08fb914ad8220b82f0488c47391c9482368889ff428ef5b074ae6d77cd38c2d9,00df3ef522ff9f1cc1848cc349bdb59955353936e71840023e4b9b80be8a17ec,true,true,true,true
112,5900000,5,main_local_h16_alternating_phase,production,dies,0,0,2,0,1|1,2,2,2,2,7,0,7,7,1/1000000/2;1/1000000/2;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16,true,false,false,true,46d9ef68e4b81d05fa6165589c4815108bd5c9f9f32e57d4efbf2f91d360dfa6,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,08fb914ad8220b82f0488c47391c9482368889ff428ef5b074ae6d77cd38c2d9,b2c1cc459606d7f16a09b92020a694eee53d096a558e8fcfc7e6ca99a03e2896,true,true,true,true
113,5900000,5,chain_8_delay_1_h16,reference,dies,0,0,8,0,1|1|1|1|1|1|1|1,8,7,8,8,24,0,24,12,1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16,true,false,false,true,629266b6bbea7b7419a71fa9a9d0628d35d4b7d7ca0a1fe99d92cd9ed5762ef4,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,50b9ac2bea37acb992cc8ddedd0a2cb2dbd6b6a29853d30e62b63de64f3c86ea,a47237fd68c9a6c0e610446ce041123608b3dfd3ece0b0c3e6987b2b99a62c12,true,true,true,true
