preflight,seed,mechanics,order,useful,attempts_1,attempts_2,pending_after_participation_1,pending_after_completion_1,variation_cycles_1,updates_1,modulatory_1,final_action,work,quiescent,local_predicate_pass,matrix_eligible
P1,7,reference,3|2|1|4,4,3|2|1|4,3|2|1|4,9|18|27|36,9|18|27|36,1|1|1|1,0,0,none,9168,true,true,false
P2,0,reference,1|2|3|4,1,1,1,9,9,1,0,0,none,8528,true,false,false
