case_id,root,phase,family,mechanics,states,measures,drive,modulation,fires,resistance_events,coupling_events,qlp,crossings,proposals,deallocations,physical_work,final_tick,trace_hash,body_hash,live_hash,quiescent,replay_equal,mechanics_equal,predicate_pass,case_pass
8,5500000,0,equal_persistence_efficacy,reference,1/1/1/346608838/0;1/1/2/346608838/0;0/0/1/0/0;0/0/2/0/0,0|1,4,0,3,0,0,0,0,0,0,10,40,9dc45fa51d56f08f2d0726b7d6905eb5cf978527e9379151cbba342154e305e1,e75c75621873ca62c710445c28559e573655b107b5d6f2bac719c3aa032a72fa,8f0f5a444469a5f9f9019b5ab9190a7da067cdf699bf918663498d91a28ccbdf,true,true,true,true,true
8,5500000,0,equal_persistence_efficacy,production,1/1/1/346608838/0;1/1/2/346608838/0;0/0/1/0/0;0/0/2/0/0,0|1,4,0,3,0,0,0,0,0,0,10,40,9dc45fa51d56f08f2d0726b7d6905eb5cf978527e9379151cbba342154e305e1,e75c75621873ca62c710445c28559e573655b107b5d6f2bac719c3aa032a72fa,8746e11cc290944a9a27ce064796735ae016d7859dd1448a506d0f3600e132b3,true,true,true,true,true
9,5500000,0,fanout_locality,reference,1/100003/2/4294967296/4294967296;1/100003/2/4294967296/4294967296;1/100000/1/0/0,4294967296|4294967296|0,4,1,2,2,2,0,0,0,0,7,0,5f509bd1afeb45a76d25653c1eeae857acef51e2eb9ff1828ce37f68352c307d,9e9e3f7b9e79e3208cdf5552ffe9d794bce014922b2a31f01bc0791a0a79b41a,c698448be2db7a8405f8cf849ebbae6e70272f2e926f8951836abec88aea7399,true,true,true,true,true
9,5500000,0,fanout_locality,production,1/100003/2/4294967296/4294967296;1/100003/2/4294967296/4294967296;1/100000/1/0/0,4294967296|4294967296|0,4,1,2,2,2,0,0,0,0,7,0,5f509bd1afeb45a76d25653c1eeae857acef51e2eb9ff1828ce37f68352c307d,9e9e3f7b9e79e3208cdf5552ffe9d794bce014922b2a31f01bc0791a0a79b41a,c698448be2db7a8405f8cf849ebbae6e70272f2e926f8951836abec88aea7399,true,true,true,true,true
10,5500000,0,recurrent_stability,reference,1/4/1/3774873600/3774873600;1/4/-1/4026531840/4026531840;1/1/1/4026531840/0;0/0/1/0/0;1/100003/1/3110400000/3774873600;1/100003/1/3317760000/4026531840;1/100003/1/3774873600/3774873600;1/100003/1/4026531840/4026531840,1|0|0,97,3,51,8,0,0,0,108,0,219,21,40e3e19ac0db6d4eb28188e8bc92700a16eb5a00201fc77dd72da17b66b1c5d6,6ee1dd5876d3288c9dbbbf1c295fec1fc186f6248e87f0444fd31947755f1283,f41984da6c15f53d251d8f8382bd867dfbede6adc6f1deb8bf85f03a7e083586,true,true,true,false,false
10,5500000,0,recurrent_stability,production,1/4/1/3774873600/3774873600;1/4/-1/4026531840/4026531840;1/1/1/4026531840/0;0/0/1/0/0;1/100003/1/3110400000/3774873600;1/100003/1/3317760000/4026531840;1/100003/1/3774873600/3774873600;1/100003/1/4026531840/4026531840,1|0|0,97,3,51,8,0,0,0,108,0,219,21,40e3e19ac0db6d4eb28188e8bc92700a16eb5a00201fc77dd72da17b66b1c5d6,6ee1dd5876d3288c9dbbbf1c295fec1fc186f6248e87f0444fd31947755f1283,6b016261ac1f390af0cf459be5e382fabe457a8e3a2bf89a8d3998edf0645954,true,true,true,false,false
11,5500000,1,no_consequence,reference,1/100000/1/4294967296/0,0,2,0,1,0,0,0,0,0,0,2,1,02d491f7b253e7b7ccecd50c89d3237e9bb8ba64270731eec71b522b8af082c3,983a86ff6942e9c7d1d547f42d1b622b737b493631b390da4966cfbec9f42d0c,0351dda2215fcd7683f9547313e8a974915642c5c16e0de164012e2a846ac3f3,true,true,true,true,true
11,5500000,1,no_consequence,production,1/100000/1/4294967296/0,0,2,0,1,0,0,0,0,0,0,2,1,02d491f7b253e7b7ccecd50c89d3237e9bb8ba64270731eec71b522b8af082c3,983a86ff6942e9c7d1d547f42d1b622b737b493631b390da4966cfbec9f42d0c,0351dda2215fcd7683f9547313e8a974915642c5c16e0de164012e2a846ac3f3,true,true,true,true,true
12,5500000,1,repeated_use_only,reference,1/100000/1/27713226736/0,0,16,0,8,0,0,0,0,0,0,16,8,2a02903b06c39eabbe94aa40644ba624857631c255394131963e88d8bb4ced6e,720c6a575cde576cd6ea763a78f31512328692b6523fa9e196dfd1a8f0e81ec6,ee85aab319aa36281449da93c1ae8a4f1460dae8cdc1cb60a19b14840f29557e,true,true,true,true,true
12,5500000,1,repeated_use_only,production,1/100000/1/27713226736/0,0,16,0,8,0,0,0,0,0,0,16,8,2a02903b06c39eabbe94aa40644ba624857631c255394131963e88d8bb4ced6e,720c6a575cde576cd6ea763a78f31512328692b6523fa9e196dfd1a8f0e81ec6,cb7e797f298dbda483bba0718521f0566bab8358ff23934a49d571cedcc1a011,true,true,true,true,true
