mechanics,pass,actions,updates,modulatory_deliveries,physical_work,ticks,quiescent,body_fingerprints
reference,false,none|none|none|none|none,0|0|0|0|0,0|0|0|0|0,30|30|30|38|36,3|6|9|12|15,true,7a205f1a9f66a97d|916c5580ef492aaf|0f5e063166d260f4|659b242e92c1fc2b|1a8ccc406c76461b
replay,false,none|none|none|none|none,0|0|0|0|0,0|0|0|0|0,30|30|30|38|36,3|6|9|12|15,true,7a205f1a9f66a97d|916c5580ef492aaf|0f5e063166d260f4|659b242e92c1fc2b|1a8ccc406c76461b
production,false,none|none|none|none|none,0|0|0|0|0,0|0|0|0|0,30|30|30|38|36,3|6|9|12|15,true,7a205f1a9f66a97d|916c5580ef492aaf|0f5e063166d260f4|659b242e92c1fc2b|1a8ccc406c76461b
