profile,mechanics,context,intended,prime_action,negative_early_action,positive_early_action,consequence_admitted,modulatory_deliveries,plasticity_updates,probe_action,quiescent,physical_work,pass,reason,after_histories_material,after_consequence_material,after_probe_material
CORE1-A,reference,779,1,none,none,1,true,1,2,none,true,4334,false,supported route does not re-execute on a fresh context,outgoing:4294967296:271012436378:6885273600|outgoing:4294967296:429496730:12987108225|outgoing:-4294967296:429496730:12364164225|stem:4294967296:429496730:8857653960|stem:4294967296:429496730:8857653960,outgoing:4294967296:269723946189:5673290625,outgoing:4294967296:232357730714:20669783|outgoing:4294967296:3006477108:3774873600|outgoing:-4294967296:3006477108:3774873600|stem:4294967296:3006477108:3538944000|stem:4294967296:3006477108:3538944000
CORE1-A,reference,34,4,none,none,4,true,1,2,none,true,4294,false,supported route does not re-execute on a fresh context,outgoing:4294967296:260704514868:6885273600|outgoing:4294967296:429496730:12987108225|outgoing:-4294967296:429496730:12364164225|stem:4294967296:429496730:8857653960|stem:4294967296:429496730:8857653960,outgoing:4294967296:259416024679:5673290625,outgoing:4294967296:231069240525:80156590
CORE1-A,reference,980,2,none,none,2,true,1,2,none,true,4276,false,supported route does not re-execute on a fresh context,outgoing:4294967296:250396593357:6885273600|outgoing:4294967296:429496730:12987108225|outgoing:-4294967296:429496730:12364164225|stem:4294967296:429496730:8857653960|stem:4294967296:429496730:8857653960,outgoing:4294967296:249108103168:5673290625,outgoing:4294967296:229780750336:310843980
CORE1-A,reference,430,3,none,none,3,true,1,2,none,true,4300,false,supported route does not re-execute on a fresh context,outgoing:4294967296:240088671847:6885273600|outgoing:4294967296:429496730:12987108225|outgoing:-4294967296:429496730:12364164225|stem:4294967296:429496730:8857653960|stem:4294967296:429496730:8857653960,outgoing:4294967296:238800181658:5673290625,outgoing:4294967296:228492260148:1205440180
CORE1-A,replay,779,1,none,none,1,true,1,2,none,true,4334,false,supported route does not re-execute on a fresh context,outgoing:4294967296:271012436378:6885273600|outgoing:4294967296:429496730:12987108225|outgoing:-4294967296:429496730:12364164225|stem:4294967296:429496730:8857653960|stem:4294967296:429496730:8857653960,outgoing:4294967296:269723946189:5673290625,outgoing:4294967296:232357730714:20669783|outgoing:4294967296:3006477108:3774873600|outgoing:-4294967296:3006477108:3774873600|stem:4294967296:3006477108:3538944000|stem:4294967296:3006477108:3538944000
CORE1-A,replay,34,4,none,none,4,true,1,2,none,true,4294,false,supported route does not re-execute on a fresh context,outgoing:4294967296:260704514868:6885273600|outgoing:4294967296:429496730:12987108225|outgoing:-4294967296:429496730:12364164225|stem:4294967296:429496730:8857653960|stem:4294967296:429496730:8857653960,outgoing:4294967296:259416024679:5673290625,outgoing:4294967296:231069240525:80156590
CORE1-A,replay,980,2,none,none,2,true,1,2,none,true,4276,false,supported route does not re-execute on a fresh context,outgoing:4294967296:250396593357:6885273600|outgoing:4294967296:429496730:12987108225|outgoing:-4294967296:429496730:12364164225|stem:4294967296:429496730:8857653960|stem:4294967296:429496730:8857653960,outgoing:4294967296:249108103168:5673290625,outgoing:4294967296:229780750336:310843980
CORE1-A,replay,430,3,none,none,3,true,1,2,none,true,4300,false,supported route does not re-execute on a fresh context,outgoing:4294967296:240088671847:6885273600|outgoing:4294967296:429496730:12987108225|outgoing:-4294967296:429496730:12364164225|stem:4294967296:429496730:8857653960|stem:4294967296:429496730:8857653960,outgoing:4294967296:238800181658:5673290625,outgoing:4294967296:228492260148:1205440180
CORE1-A,production,779,1,none,none,1,true,1,2,none,true,4334,false,supported route does not re-execute on a fresh context,outgoing:4294967296:271012436378:6885273600|outgoing:4294967296:429496730:12987108225|outgoing:-4294967296:429496730:12364164225|stem:4294967296:429496730:8857653960|stem:4294967296:429496730:8857653960,outgoing:4294967296:269723946189:5673290625,outgoing:4294967296:232357730714:20669783|outgoing:4294967296:3006477108:3774873600|outgoing:-4294967296:3006477108:3774873600|stem:4294967296:3006477108:3538944000|stem:4294967296:3006477108:3538944000
CORE1-A,production,34,4,none,none,4,true,1,2,none,true,4294,false,supported route does not re-execute on a fresh context,outgoing:4294967296:260704514868:6885273600|outgoing:4294967296:429496730:12987108225|outgoing:-4294967296:429496730:12364164225|stem:4294967296:429496730:8857653960|stem:4294967296:429496730:8857653960,outgoing:4294967296:259416024679:5673290625,outgoing:4294967296:231069240525:80156590
CORE1-A,production,980,2,none,none,2,true,1,2,none,true,4276,false,supported route does not re-execute on a fresh context,outgoing:4294967296:250396593357:6885273600|outgoing:4294967296:429496730:12987108225|outgoing:-4294967296:429496730:12364164225|stem:4294967296:429496730:8857653960|stem:4294967296:429496730:8857653960,outgoing:4294967296:249108103168:5673290625,outgoing:4294967296:229780750336:310843980
CORE1-A,production,430,3,none,none,3,true,1,2,none,true,4300,false,supported route does not re-execute on a fresh context,outgoing:4294967296:240088671847:6885273600|outgoing:4294967296:429496730:12987108225|outgoing:-4294967296:429496730:12364164225|stem:4294967296:429496730:8857653960|stem:4294967296:429496730:8857653960,outgoing:4294967296:238800181658:5673290625,outgoing:4294967296:228492260148:1205440180
