case,family,root,phase,mechanics,replay_equal,cross_mechanics_equal,checks_pass,failed,cell_updates,cell_deallocations,physical_work,trace_len,crossings,final_tick,naturally_quiescent,body_hash,markers
7,participation_plus_local_modulation,7300000,1,production,true,true,true,,1,1,6,9,0,43,true,808b8e54eb7eff3df9624b77695fc732a4d039a8a5b538673e4610ffb3d388c1,participation=Some(4294967296);after=Some(4);death=Some(42);updates=1
8,repeated_use_without_modulation,7300000,1,reference,true,true,true,,0,1,11,21,0,11,true,8de30f0d04e4426ce65c162ea768c6a17bdec054e3182ad0a114d0bf3bf71b37,fires=5;resistance=Some(1);participation=Some(16866491521);death=Some(10)
8,repeated_use_without_modulation,7300000,1,production,true,true,true,,0,1,11,21,0,11,true,8de30f0d04e4426ce65c162ea768c6a17bdec054e3182ad0a114d0bf3bf71b37,fires=5;resistance=Some(1);participation=Some(16866491521);death=Some(10)
9,unqualified_and_wrong_cell_modulation,7300000,1,reference,true,true,true,,0,0,4,7,0,3,true,cd3dcd5b324b271476810a6eaa7093da33297c0c0acde219b351789b20c5cd8f,participating=Some(2);untouched=Some(2);updates=0
9,unqualified_and_wrong_cell_modulation,7300000,1,production,true,true,true,,0,0,4,7,0,3,true,cd3dcd5b324b271476810a6eaa7093da33297c0c0acde219b351789b20c5cd8f,participating=Some(2);untouched=Some(2);updates=0
10,late_modulation_after_relaxation,7300000,1,reference,true,true,true,,0,0,4,7,0,1002,true,e9b022ec190041affc4a8273cccc9f1a58171bbe9df5e6c5fc218c5e68479cce,trace_before=Some(0);resistance=Some(100)->Some(100)
10,late_modulation_after_relaxation,7300000,1,production,true,true,true,,0,0,4,7,0,1002,true,e9b022ec190041affc4a8273cccc9f1a58171bbe9df5e6c5fc218c5e68479cce,trace_before=Some(0);resistance=Some(100)->Some(100)
11,two_participating_cells_local_consequence,7300000,1,reference,true,true,true,,1,0,6,10,0,3,true,4f06b32997143b8922eea8266f042d86a610feeb7ce5a24ca118dac0b7a8ee6a,first=Some(4);second=Some(1);updates=1
11,two_participating_cells_local_consequence,7300000,1,production,true,true,true,,1,0,6,10,0,3,true,4f06b32997143b8922eea8266f042d86a610feeb7ce5a24ca118dac0b7a8ee6a,first=Some(4);second=Some(1);updates=1
12,repeated_support_and_eventual_decay,7300000,1,reference,true,true,true,,2,1,11,17,0,76,true,34683ec6bed8180b3aeac148682f8bb6f33e87136d2c9b41d6d8babdd8e570e6,resistance=Some(4)->Some(7);death=Some(75);updates=2
12,repeated_support_and_eventual_decay,7300000,1,production,true,true,true,,2,1,11,17,0,76,true,34683ec6bed8180b3aeac148682f8bb6f33e87136d2c9b41d6d8babdd8e570e6,resistance=Some(4)->Some(7);death=Some(75);updates=2
13,participation_plus_local_modulation,7300000,2,reference,true,true,true,,1,1,6,9,0,44,true,808b8e54eb7eff3df9624b77695fc732a4d039a8a5b538673e4610ffb3d388c1,participation=Some(4294967296);after=Some(4);death=Some(42);updates=1
13,participation_plus_local_modulation,7300000,2,production,true,true,true,,1,1,6,9,0,44,true,808b8e54eb7eff3df9624b77695fc732a4d039a8a5b538673e4610ffb3d388c1,participation=Some(4294967296);after=Some(4);death=Some(42);updates=1
14,repeated_use_without_modulation,7300000,2,reference,true,true,true,,0,1,11,21,0,12,true,8de30f0d04e4426ce65c162ea768c6a17bdec054e3182ad0a114d0bf3bf71b37,fires=5;resistance=Some(1);participation=Some(16866491521);death=Some(10)
14,repeated_use_without_modulation,7300000,2,production,true,true,true,,0,1,11,21,0,12,true,8de30f0d04e4426ce65c162ea768c6a17bdec054e3182ad0a114d0bf3bf71b37,fires=5;resistance=Some(1);participation=Some(16866491521);death=Some(10)
15,unqualified_and_wrong_cell_modulation,7300000,2,reference,true,true,true,,0,0,4,7,0,4,true,cd3dcd5b324b271476810a6eaa7093da33297c0c0acde219b351789b20c5cd8f,participating=Some(2);untouched=Some(2);updates=0
15,unqualified_and_wrong_cell_modulation,7300000,2,production,true,true,true,,0,0,4,7,0,4,true,cd3dcd5b324b271476810a6eaa7093da33297c0c0acde219b351789b20c5cd8f,participating=Some(2);untouched=Some(2);updates=0
16,late_modulation_after_relaxation,7300000,2,reference,true,true,true,,0,0,4,7,0,1003,true,e9b022ec190041affc4a8273cccc9f1a58171bbe9df5e6c5fc218c5e68479cce,trace_before=Some(0);resistance=Some(100)->Some(100)
16,late_modulation_after_relaxation,7300000,2,production,true,true,true,,0,0,4,7,0,1003,true,e9b022ec190041affc4a8273cccc9f1a58171bbe9df5e6c5fc218c5e68479cce,trace_before=Some(0);resistance=Some(100)->Some(100)
17,two_participating_cells_local_consequence,7300000,2,reference,true,true,true,,1,0,6,10,0,4,true,4f06b32997143b8922eea8266f042d86a610feeb7ce5a24ca118dac0b7a8ee6a,first=Some(4);second=Some(1);updates=1
17,two_participating_cells_local_consequence,7300000,2,production,true,true,true,,1,0,6,10,0,4,true,4f06b32997143b8922eea8266f042d86a610feeb7ce5a24ca118dac0b7a8ee6a,first=Some(4);second=Some(1);updates=1
18,repeated_support_and_eventual_decay,7300000,2,reference,true,true,true,,2,1,11,17,0,77,true,34683ec6bed8180b3aeac148682f8bb6f33e87136d2c9b41d6d8babdd8e570e6,resistance=Some(4)->Some(7);death=Some(75);updates=2
18,repeated_support_and_eventual_decay,7300000,2,production,true,true,true,,2,1,11,17,0,77,true,34683ec6bed8180b3aeac148682f8bb6f33e87136d2c9b41d6d8babdd8e570e6,resistance=Some(4)->Some(7);death=Some(75);updates=2
19,participation_plus_local_modulation,7300000,3,reference,true,true,true,,1,1,6,9,0,45,true,808b8e54eb7eff3df9624b77695fc732a4d039a8a5b538673e4610ffb3d388c1,participation=Some(4294967296);after=Some(4);death=Some(42);updates=1
19,participation_plus_local_modulation,7300000,3,production,true,true,true,,1,1,6,9,0,45,true,808b8e54eb7eff3df9624b77695fc732a4d039a8a5b538673e4610ffb3d388c1,participation=Some(4294967296);after=Some(4);death=Some(42);updates=1
20,repeated_use_without_modulation,7300000,3,reference,true,true,true,,0,1,11,21,0,13,true,8de30f0d04e4426ce65c162ea768c6a17bdec054e3182ad0a114d0bf3bf71b37,fires=5;resistance=Some(1);participation=Some(16866491521);death=Some(10)
20,repeated_use_without_modulation,7300000,3,production,true,true,true,,0,1,11,21,0,13,true,8de30f0d04e4426ce65c162ea768c6a17bdec054e3182ad0a114d0bf3bf71b37,fires=5;resistance=Some(1);participation=Some(16866491521);death=Some(10)
21,unqualified_and_wrong_cell_modulation,7300000,3,reference,true,true,true,,0,0,4,7,0,5,true,cd3dcd5b324b271476810a6eaa7093da33297c0c0acde219b351789b20c5cd8f,participating=Some(2);untouched=Some(2);updates=0
21,unqualified_and_wrong_cell_modulation,7300000,3,production,true,true,true,,0,0,4,7,0,5,true,cd3dcd5b324b271476810a6eaa7093da33297c0c0acde219b351789b20c5cd8f,participating=Some(2);untouched=Some(2);updates=0
22,late_modulation_after_relaxation,7300000,3,reference,true,true,true,,0,0,4,7,0,1004,true,e9b022ec190041affc4a8273cccc9f1a58171bbe9df5e6c5fc218c5e68479cce,trace_before=Some(0);resistance=Some(100)->Some(100)
22,late_modulation_after_relaxation,7300000,3,production,true,true,true,,0,0,4,7,0,1004,true,e9b022ec190041affc4a8273cccc9f1a58171bbe9df5e6c5fc218c5e68479cce,trace_before=Some(0);resistance=Some(100)->Some(100)
23,two_participating_cells_local_consequence,7300000,3,reference,true,true,true,,1,0,6,10,0,5,true,4f06b32997143b8922eea8266f042d86a610feeb7ce5a24ca118dac0b7a8ee6a,first=Some(4);second=Some(1);updates=1
23,two_participating_cells_local_consequence,7300000,3,production,true,true,true,,1,0,6,10,0,5,true,4f06b32997143b8922eea8266f042d86a610feeb7ce5a24ca118dac0b7a8ee6a,first=Some(4);second=Some(1);updates=1
24,repeated_support_and_eventual_decay,7300000,3,reference,true,true,true,,2,1,11,17,0,78,true,34683ec6bed8180b3aeac148682f8bb6f33e87136d2c9b41d6d8babdd8e570e6,resistance=Some(4)->Some(7);death=Some(75);updates=2
24,repeated_support_and_eventual_decay,7300000,3,production,true,true,true,,2,1,11,17,0,78,true,34683ec6bed8180b3aeac148682f8bb6f33e87136d2c9b41d6d8babdd8e570e6,resistance=Some(4)->Some(7);death=Some(75);updates=2
25,participation_plus_local_modulation,7300000,4,reference,true,true,true,,1,1,6,9,0,46,true,808b8e54eb7eff3df9624b77695fc732a4d039a8a5b538673e4610ffb3d388c1,participation=Some(4294967296);after=Some(4);death=Some(42);updates=1
25,participation_plus_local_modulation,7300000,4,production,true,true,true,,1,1,6,9,0,46,true,808b8e54eb7eff3df9624b77695fc732a4d039a8a5b538673e4610ffb3d388c1,participation=Some(4294967296);after=Some(4);death=Some(42);updates=1
26,repeated_use_without_modulation,7300000,4,reference,true,true,true,,0,1,11,21,0,14,true,8de30f0d04e4426ce65c162ea768c6a17bdec054e3182ad0a114d0bf3bf71b37,fires=5;resistance=Some(1);participation=Some(16866491521);death=Some(10)
26,repeated_use_without_modulation,7300000,4,production,true,true,true,,0,1,11,21,0,14,true,8de30f0d04e4426ce65c162ea768c6a17bdec054e3182ad0a114d0bf3bf71b37,fires=5;resistance=Some(1);participation=Some(16866491521);death=Some(10)
27,unqualified_and_wrong_cell_modulation,7300000,4,reference,true,true,true,,0,0,4,7,0,6,true,cd3dcd5b324b271476810a6eaa7093da33297c0c0acde219b351789b20c5cd8f,participating=Some(2);untouched=Some(2);updates=0
27,unqualified_and_wrong_cell_modulation,7300000,4,production,true,true,true,,0,0,4,7,0,6,true,cd3dcd5b324b271476810a6eaa7093da33297c0c0acde219b351789b20c5cd8f,participating=Some(2);untouched=Some(2);updates=0
28,late_modulation_after_relaxation,7300000,4,reference,true,true,true,,0,0,4,7,0,1005,true,e9b022ec190041affc4a8273cccc9f1a58171bbe9df5e6c5fc218c5e68479cce,trace_before=Some(0);resistance=Some(100)->Some(100)
28,late_modulation_after_relaxation,7300000,4,production,true,true,true,,0,0,4,7,0,1005,true,e9b022ec190041affc4a8273cccc9f1a58171bbe9df5e6c5fc218c5e68479cce,trace_before=Some(0);resistance=Some(100)->Some(100)
29,two_participating_cells_local_consequence,7300000,4,reference,true,true,true,,1,0,6,10,0,6,true,4f06b32997143b8922eea8266f042d86a610feeb7ce5a24ca118dac0b7a8ee6a,first=Some(4);second=Some(1);updates=1
29,two_participating_cells_local_consequence,7300000,4,production,true,true,true,,1,0,6,10,0,6,true,4f06b32997143b8922eea8266f042d86a610feeb7ce5a24ca118dac0b7a8ee6a,first=Some(4);second=Some(1);updates=1
30,repeated_support_and_eventual_decay,7300000,4,reference,true,true,true,,2,1,11,17,0,79,true,34683ec6bed8180b3aeac148682f8bb6f33e87136d2c9b41d6d8babdd8e570e6,resistance=Some(4)->Some(7);death=Some(75);updates=2
30,repeated_support_and_eventual_decay,7300000,4,production,true,true,true,,2,1,11,17,0,79,true,34683ec6bed8180b3aeac148682f8bb6f33e87136d2c9b41d6d8babdd8e570e6,resistance=Some(4)->Some(7);death=Some(75);updates=2
31,participation_plus_local_modulation,7300000,5,reference,true,true,true,,1,1,6,9,0,47,true,808b8e54eb7eff3df9624b77695fc732a4d039a8a5b538673e4610ffb3d388c1,participation=Some(4294967296);after=Some(4);death=Some(42);updates=1
31,participation_plus_local_modulation,7300000,5,production,true,true,true,,1,1,6,9,0,47,true,808b8e54eb7eff3df9624b77695fc732a4d039a8a5b538673e4610ffb3d388c1,participation=Some(4294967296);after=Some(4);death=Some(42);updates=1
32,repeated_use_without_modulation,7300000,5,reference,true,true,true,,0,1,11,21,0,15,true,8de30f0d04e4426ce65c162ea768c6a17bdec054e3182ad0a114d0bf3bf71b37,fires=5;resistance=Some(1);participation=Some(16866491521);death=Some(10)
32,repeated_use_without_modulation,7300000,5,production,true,true,true,,0,1,11,21,0,15,true,8de30f0d04e4426ce65c162ea768c6a17bdec054e3182ad0a114d0bf3bf71b37,fires=5;resistance=Some(1);participation=Some(16866491521);death=Some(10)
33,unqualified_and_wrong_cell_modulation,7300000,5,reference,true,true,true,,0,0,4,7,0,7,true,cd3dcd5b324b271476810a6eaa7093da33297c0c0acde219b351789b20c5cd8f,participating=Some(2);untouched=Some(2);updates=0
