stage,protocol,gate,seed,mechanics_scope,modulatory_1,modulatory_2,updates_1,updates_2,final_action,replay_exact,mechanics_exact,status,matrix_eligible
staging,v1,P2,0,reference|replay|production,1,3,2,9,1,true,true,invalid_passive_capture_protection,false
staging,v1,P1,7,reference,na,na,na,na,na,na,na,invalid_ambiguous_four_motor_crossings,false
corrected,v2,P2,0,reference|replay|production,0,0,0,0,none,true,true,stopped_negative,false
