case_id,root,initial_phase,delay,mechanics,a_participation,b_participation,a_support,b_support,physical_work,final_tick,pressure_phase,trace_hash,body_hash,a_live,b_live,quiescent
11,1500000,0,10,production,2252540587,2252540587,2252540587,0,8,10,0,254bcaefb07f849f7df452f4b71aa965da5553fc4294f9f4430d22bf2123c94b,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
12,1500000,0,11,reference,2111756800,2111756800,2111756800,0,8,11,1,94dc2dfa87099a61c8e8c00c48fc68d2226976d90d7882a4c318ce6870ecd918,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
12,1500000,0,11,production,2111756800,2111756800,2111756800,0,8,11,1,94dc2dfa87099a61c8e8c00c48fc68d2226976d90d7882a4c318ce6870ecd918,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
13,1500000,0,12,reference,1979772000,1979772000,1979772000,0,8,12,2,a2c15ce606aa1b865daf13830f0c86fbc1ebc91f403b65cb9cfa48e2212f3bad,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
13,1500000,0,12,production,1979772000,1979772000,1979772000,0,8,12,2,a2c15ce606aa1b865daf13830f0c86fbc1ebc91f403b65cb9cfa48e2212f3bad,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
14,1500000,0,13,reference,1856036250,1856036250,1856036250,0,8,13,3,cc097c6424fd05028804bf27676e311334607353c982256a868ee325270be0a1,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
14,1500000,0,13,production,1856036250,1856036250,1856036250,0,8,13,3,cc097c6424fd05028804bf27676e311334607353c982256a868ee325270be0a1,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
15,1500000,0,14,reference,1740033984,1740033984,1740033984,0,8,14,4,05f9adeddef6fbbc1cd8a80a9f1e069a72edf533acaa19de761fcab533bedca5,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
15,1500000,0,14,production,1740033984,1740033984,1740033984,0,8,14,4,05f9adeddef6fbbc1cd8a80a9f1e069a72edf533acaa19de761fcab533bedca5,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
16,1500000,0,15,reference,1631281860,1631281860,1631281860,0,8,15,5,cc6d637c96ff9e758f6da7e33d6972cf405f62891d9fb980d07e793bec71790b,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
16,1500000,0,15,production,1631281860,1631281860,1631281860,0,8,15,5,cc6d637c96ff9e758f6da7e33d6972cf405f62891d9fb980d07e793bec71790b,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
17,1500000,0,16,reference,1529326743,1529326743,1529326743,0,8,16,6,f491fc751899ccaf966ceee6abaabb08e50e89db561550e3c91c271b2fe8be5f,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
17,1500000,0,16,production,1529326743,1529326743,1529326743,0,8,16,6,f491fc751899ccaf966ceee6abaabb08e50e89db561550e3c91c271b2fe8be5f,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
18,1500000,0,17,reference,1433743821,1433743821,1433743821,0,8,17,7,bcf26206f02f758cb7ce6918a7d78478592cbde10e7098d3bc043d1b40f2df94,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
18,1500000,0,17,production,1433743821,1433743821,1433743821,0,8,17,7,bcf26206f02f758cb7ce6918a7d78478592cbde10e7098d3bc043d1b40f2df94,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
19,1500000,0,18,reference,1344134832,1344134832,1344134832,0,8,18,8,d466e960ec4fe175891cbd809ad8b2da2d90940941a5682035257aa4a82014d7,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
19,1500000,0,18,production,1344134832,1344134832,1344134832,0,8,18,8,d466e960ec4fe175891cbd809ad8b2da2d90940941a5682035257aa4a82014d7,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
20,1500000,0,19,reference,1260126405,1260126405,1260126405,0,8,19,9,e43b8a3a5da5a6deb6fc08152110584aea7daa1f5ec705a3cb31a7a8122de667,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
20,1500000,0,19,production,1260126405,1260126405,1260126405,0,8,19,9,e43b8a3a5da5a6deb6fc08152110584aea7daa1f5ec705a3cb31a7a8122de667,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
