case_id,root,initial_phase,control,mechanics,a_participation,b_participation,a_support,b_support,physical_work,final_tick,pressure_phase,trace_hash,body_hash,a_live,b_live,quiescent
54,1500000,5,late_return,reference,0,0,0,0,8,1029,9,2621345d59bc5274f41c0567b3d2297be5d1fca1a027c12704e150fb8948ac0e,361174b06e976edd62ea9e6bc1d004d0865ec2723107e0f60db523b3952d3364,1,1,1
54,1500000,5,late_return,production,0,0,0,0,8,1029,9,2621345d59bc5274f41c0567b3d2297be5d1fca1a027c12704e150fb8948ac0e,361174b06e976edd62ea9e6bc1d004d0865ec2723107e0f60db523b3952d3364,1,1,1
55,1500000,6,prompt_a,reference,4294967296,4294967296,4294967296,0,8,6,6,4abf00225b1391a2bf904d1c304345e4c75c51de8ab8730dd1a91243755f112d,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
55,1500000,6,prompt_a,production,4294967296,4294967296,4294967296,0,8,6,6,4abf00225b1391a2bf904d1c304345e4c75c51de8ab8730dd1a91243755f112d,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
56,1500000,6,return_b,reference,4294967296,4294967296,0,4294967296,8,6,6,9a0ba6096a6edd08d69a7229429d1952850d8f19b95392621cdbed580fda64a9,30762bf2e90403fa6ebf6ea45e5652e7b4ab78db6c09a3f7908ac286970226a8,1,1,1
56,1500000,6,return_b,production,4294967296,4294967296,0,4294967296,8,6,6,9a0ba6096a6edd08d69a7229429d1952850d8f19b95392621cdbed580fda64a9,30762bf2e90403fa6ebf6ea45e5652e7b4ab78db6c09a3f7908ac286970226a8,1,1,1
57,1500000,6,unrelated_activity,reference,2252540587,2252540587,0,0,7,16,6,9f32ff219fa0aae03e69e5ccf781c24d1cb2c23517db684e9c698a25d203d777,82327cfa19368ddda454bd2897299a4610f07ebd88a9ae22eaa516415734482c,1,1,1
57,1500000,6,unrelated_activity,production,2252540587,2252540587,0,0,7,16,6,9f32ff219fa0aae03e69e5ccf781c24d1cb2c23517db684e9c698a25d203d777,82327cfa19368ddda454bd2897299a4610f07ebd88a9ae22eaa516415734482c,1,1,1
58,1500000,6,repeat_a,reference,5362940587,2252540587,0,0,7,16,6,680c3d520685d2f3f79e337cd3a5d703162ba669bf6989202981649e733f41b8,60738021b7c0b92cdbad067d97edcb4502e01942c36b4f6249254fdb7cf94afa,1,1,1
58,1500000,6,repeat_a,production,5362940587,2252540587,0,0,7,16,6,680c3d520685d2f3f79e337cd3a5d703162ba669bf6989202981649e733f41b8,60738021b7c0b92cdbad067d97edcb4502e01942c36b4f6249254fdb7cf94afa,1,1,1
59,1500000,6,repeat_b_while_a_waits,reference,2252540587,5362940587,0,0,7,16,6,9ad16ae54819424be793042bb7c6e7cb28bf69135f6034739f1b78b587695622,0ad78deb07fbb552ad81cf3f739ae899bf8efcd84878e73cf3a7de612dbc9f0c,1,1,1
59,1500000,6,repeat_b_while_a_waits,production,2252540587,5362940587,0,0,7,16,6,9ad16ae54819424be793042bb7c6e7cb28bf69135f6034739f1b78b587695622,0ad78deb07fbb552ad81cf3f739ae899bf8efcd84878e73cf3a7de612dbc9f0c,1,1,1
60,1500000,6,source_without_traversal,reference,0,0,0,0,1,16,6,d750d575d46222239f3b740e69b86099fccf34d002f82631ef271c0eb43c017f,01e551fcc46efff6ca4d5d92d2b2335814dfeecd9a6ab84c9977f5634868aca7,1,1,1
60,1500000,6,source_without_traversal,production,0,0,0,0,1,16,6,d750d575d46222239f3b740e69b86099fccf34d002f82631ef271c0eb43c017f,01e551fcc46efff6ca4d5d92d2b2335814dfeecd9a6ab84c9977f5634868aca7,1,1,1
61,1500000,6,same_total_wrong_path,reference,0,5362940587,0,0,4,16,6,66fee6fd81558ca65f12aaa46ccc6f001e6c1da0e39e2143affc848042c4c917,0ad78deb07fbb552ad81cf3f739ae899bf8efcd84878e73cf3a7de612dbc9f0c,1,1,1
61,1500000,6,same_total_wrong_path,production,0,5362940587,0,0,4,16,6,66fee6fd81558ca65f12aaa46ccc6f001e6c1da0e39e2143affc848042c4c917,0ad78deb07fbb552ad81cf3f739ae899bf8efcd84878e73cf3a7de612dbc9f0c,1,1,1
62,1500000,6,contact_fanout,reference,4294967296,4294967296,4294967296,4294967296,8,6,6,f7f6e7512a046cfb8514f89f9623744ab7be71718708e56d2827d190616ef8d8,5629b0f087b3aaf3dde6224f57d381fbcfe3fe29af802f329c8f8c9252bc125b,1,1,1
62,1500000,6,contact_fanout,production,4294967296,4294967296,4294967296,4294967296,8,6,6,f7f6e7512a046cfb8514f89f9623744ab7be71718708e56d2827d190616ef8d8,5629b0f087b3aaf3dde6224f57d381fbcfe3fe29af802f329c8f8c9252bc125b,1,1,1
63,1500000,6,late_return,reference,0,0,0,0,8,1030,0,c477f79016d985a607b38f061f091e211ca5846103b6246d8243d8e3f7f3f7bb,be3d73e7f5cbeb9e51dd17b416253da028c31ff61d45ebfc49a7b2b9852a6181,1,1,1
63,1500000,6,late_return,production,0,0,0,0,8,1030,0,c477f79016d985a607b38f061f091e211ca5846103b6246d8243d8e3f7f3f7bb,be3d73e7f5cbeb9e51dd17b416253da028c31ff61d45ebfc49a7b2b9852a6181,1,1,1
64,1500000,7,prompt_a,reference,4294967296,4294967296,4294967296,0,8,7,7,1b13d55a66a9d9724a3ca237a5358900a6d952de644f290b8a5fce2b0eb22bac,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
64,1500000,7,prompt_a,production,4294967296,4294967296,4294967296,0,8,7,7,1b13d55a66a9d9724a3ca237a5358900a6d952de644f290b8a5fce2b0eb22bac,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
65,1500000,7,return_b,reference,4294967296,4294967296,0,4294967296,8,7,7,17ef304591262743cd49633d4df116441c3dac71e386e229d5c4cc286fa64908,30762bf2e90403fa6ebf6ea45e5652e7b4ab78db6c09a3f7908ac286970226a8,1,1,1
65,1500000,7,return_b,production,4294967296,4294967296,0,4294967296,8,7,7,17ef304591262743cd49633d4df116441c3dac71e386e229d5c4cc286fa64908,30762bf2e90403fa6ebf6ea45e5652e7b4ab78db6c09a3f7908ac286970226a8,1,1,1
66,1500000,7,unrelated_activity,reference,2252540587,2252540587,0,0,7,17,7,23468f6a94d555cb9efa0667f8b9cc42c111c47fe012009558e3fd2644d5535a,82327cfa19368ddda454bd2897299a4610f07ebd88a9ae22eaa516415734482c,1,1,1
66,1500000,7,unrelated_activity,production,2252540587,2252540587,0,0,7,17,7,23468f6a94d555cb9efa0667f8b9cc42c111c47fe012009558e3fd2644d5535a,82327cfa19368ddda454bd2897299a4610f07ebd88a9ae22eaa516415734482c,1,1,1
67,1500000,7,repeat_a,reference,5362940587,2252540587,0,0,7,17,7,fd7da03c23efef020a9a70bc23c7b6ae1a939f26e3f6bd7595c292c2fba2f562,60738021b7c0b92cdbad067d97edcb4502e01942c36b4f6249254fdb7cf94afa,1,1,1
67,1500000,7,repeat_a,production,5362940587,2252540587,0,0,7,17,7,fd7da03c23efef020a9a70bc23c7b6ae1a939f26e3f6bd7595c292c2fba2f562,60738021b7c0b92cdbad067d97edcb4502e01942c36b4f6249254fdb7cf94afa,1,1,1
68,1500000,7,repeat_b_while_a_waits,reference,2252540587,5362940587,0,0,7,17,7,cb402db60f9add6176a2e2c027ff4ddbb00674ae56c9a974fe187227ffb67e16,0ad78deb07fbb552ad81cf3f739ae899bf8efcd84878e73cf3a7de612dbc9f0c,1,1,1
68,1500000,7,repeat_b_while_a_waits,production,2252540587,5362940587,0,0,7,17,7,cb402db60f9add6176a2e2c027ff4ddbb00674ae56c9a974fe187227ffb67e16,0ad78deb07fbb552ad81cf3f739ae899bf8efcd84878e73cf3a7de612dbc9f0c,1,1,1
