case_id,root,phase,family,arm,mechanics,states,measures,drive,modulation,fires,resistance_events,qlp,crossings,proposals,deallocations,physical_work,final_tick,trace_hash,body_hash,live_hash,quiescent,replay_equal,mechanics_equal,predicate_pass
7,5100000,0,pqlc1_depth_16,persistence_only,reference,1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840,16,19,16,18,16,15,0,0,0,66,1,4dfb006685670f2cdee6b6231d1ee95c6017db314cf1b8ae6432568be67a5a43,e02e55930659127faadc3f56f1035b49481bba036d7883c2887ef30afaceb12e,77212796cb392d49b4166e2d1c1b0f367dcc1ac55376452a97c5567a6a832196,true,true,false,true,false
7,5100000,0,pqlc1_depth_16,persistence_only,production,1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840;1/7/1/4026531840/4026531840,16,19,16,18,16,15,0,0,0,66,1,4dfb006685670f2cdee6b6231d1ee95c6017db314cf1b8ae6432568be67a5a43,e02e55930659127faadc3f56f1035b49481bba036d7883c2887ef30afaceb12e,029e46e3d4bb7102ae8c631b08ec2fb1b69d38d8d7387a0307a425170099cb3d,true,true,false,true,false
8,5100000,0,pqlc1_depth_16,efficacy_and_persistence,reference,1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840,16,19,16,18,16,15,0,0,0,66,1,3fcdd65883c7a818159b25bb8687c95b701c478e135a6a7de3cd0d445ba842f4,28780b02cf422b170f6d6e6ee56883494ce1b6d76bdec4a97673ef521195b7e4,5565ef8e55699969bc36ea86f1ff6d3836fde45c1496c6b04f21db7d16e004c2,true,true,false,true,false
8,5100000,0,pqlc1_depth_16,efficacy_and_persistence,production,1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840;1/7/2/4026531840/4026531840,16,19,16,18,16,15,0,0,0,66,1,3fcdd65883c7a818159b25bb8687c95b701c478e135a6a7de3cd0d445ba842f4,28780b02cf422b170f6d6e6ee56883494ce1b6d76bdec4a97673ef521195b7e4,909d3e1549b303cfa13fabf18396a8d1e2cfe7c1d8bde574a8d6f6f7d5ec0988,true,true,false,true,false
9,5100000,0,fd0_equal_persistence,persistence_only,reference,1/1/1/0/0;0/0/1/0/0,1|0,0,0,0,0,0,0,0,1,1,40,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,59cd519ab5e973e103c86b0f811275385eb3e3fe338f2b058b19669e25633b1f,1e6488e3e1f690701dee493f997eec7c18ef166623a7e27bc2c04a5c696cf3b7,true,true,false,true,false
9,5100000,0,fd0_equal_persistence,persistence_only,production,1/1/1/0/0;0/0/1/0/0,1|0,0,0,0,0,0,0,0,1,1,40,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,59cd519ab5e973e103c86b0f811275385eb3e3fe338f2b058b19669e25633b1f,ecf0430884b8aad2d45568cdb699795b16f4d4d738b9e9c7bcddcd874f1f1f0a,true,true,false,true,false
10,5100000,0,fd0_equal_persistence,efficacy_and_persistence,reference,1/1/2/0/0;0/0/2/0/0,1|0,0,0,0,0,0,0,0,1,1,40,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,60fa5162eefe2ebc4422d9f2e2fdae365228532ad23ce23752bc4e99beed1aa6,4cc14d3ef0721ebafa117c8dd48a0bb37c2dc098c991ef3c9f6115278512afca,true,true,false,true,false
10,5100000,0,fd0_equal_persistence,efficacy_and_persistence,production,1/1/2/0/0;0/0/2/0/0,1|0,0,0,0,0,0,0,0,1,1,40,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,60fa5162eefe2ebc4422d9f2e2fdae365228532ad23ce23752bc4e99beed1aa6,bf82cd30b45ed8262f88572df48676b9578b0dfd800d387cb920476713edaacf,true,true,false,true,false
11,5100000,0,fd1_consolidation,persistence_only,reference,1/4/1/4026531840/4026531840;1/1/1/4026531840/0,4026531840|0,5,1,3,1,0,0,0,0,7,1,2ac96d70ccc89b833a919a81597236108d114cf7b365b7f125946d3237a48036,cb8d670c8bdb09217eecb3dede0f69e1ab0ef6ad390c7c9a42ec69de006a09ef,cac12c9a875536a6c6341796d2851f574a7ce518a9236a9469ef48dd9514ad9f,true,true,false,true,false
11,5100000,0,fd1_consolidation,persistence_only,production,1/4/1/4026531840/4026531840;1/1/1/4026531840/0,4026531840|0,5,1,3,1,0,0,0,0,7,1,2ac96d70ccc89b833a919a81597236108d114cf7b365b7f125946d3237a48036,cb8d670c8bdb09217eecb3dede0f69e1ab0ef6ad390c7c9a42ec69de006a09ef,61b31668b4ff7f2f57a33a2d950a365e0e7b5d57689c687839b764190f6058a3,true,true,false,true,false
