case,family,root,permutation,mechanics,replay_equal,mechanics_equal,permutation_equal,predicates_pass,failed,quiescent,ceiling,drive_deliveries,modulatory_deliveries,resistance_updates,coupling_updates,qlp_traversals,maximum_wave,physical_work,final_tick,trace_hash,body_hash,continuation_hash
8,multiple_modulatory_one_junction,9100000,reverse_cells,reference,true,true,true,true,,true,false,4,2,2,1,0,0,8,1,263dc76edd87c1da9bcb1570438ce3ee533b5f764b89df7fd3e8455efc281434,e476cac8039c86bdc091843f4f8948d39a2b6b9f185224cbc863b9cf304458a6,5a1c15abd95a683df5414842753ea7c9455870a9e2b2f2497880573a99040541
8,multiple_modulatory_one_junction,9100000,reverse_cells,production,true,true,true,true,,true,false,4,2,2,1,0,0,8,1,263dc76edd87c1da9bcb1570438ce3ee533b5f764b89df7fd3e8455efc281434,e476cac8039c86bdc091843f4f8948d39a2b6b9f185224cbc863b9cf304458a6,5a1c15abd95a683df5414842753ea7c9455870a9e2b2f2497880573a99040541
9,multiple_modulatory_one_junction,9100000,reverse_arrows,reference,true,true,true,true,,true,false,4,2,2,1,0,0,8,1,263dc76edd87c1da9bcb1570438ce3ee533b5f764b89df7fd3e8455efc281434,e476cac8039c86bdc091843f4f8948d39a2b6b9f185224cbc863b9cf304458a6,5a1c15abd95a683df5414842753ea7c9455870a9e2b2f2497880573a99040541
9,multiple_modulatory_one_junction,9100000,reverse_arrows,production,true,true,true,true,,true,false,4,2,2,1,0,0,8,1,263dc76edd87c1da9bcb1570438ce3ee533b5f764b89df7fd3e8455efc281434,e476cac8039c86bdc091843f4f8948d39a2b6b9f185224cbc863b9cf304458a6,5a1c15abd95a683df5414842753ea7c9455870a9e2b2f2497880573a99040541
10,multiple_modulatory_one_junction,9100000,reverse_inputs,reference,true,true,true,true,,true,false,4,2,2,1,0,0,8,1,263dc76edd87c1da9bcb1570438ce3ee533b5f764b89df7fd3e8455efc281434,e476cac8039c86bdc091843f4f8948d39a2b6b9f185224cbc863b9cf304458a6,5a1c15abd95a683df5414842753ea7c9455870a9e2b2f2497880573a99040541
10,multiple_modulatory_one_junction,9100000,reverse_inputs,production,true,true,true,true,,true,false,4,2,2,1,0,0,8,1,263dc76edd87c1da9bcb1570438ce3ee533b5f764b89df7fd3e8455efc281434,e476cac8039c86bdc091843f4f8948d39a2b6b9f185224cbc863b9cf304458a6,5a1c15abd95a683df5414842753ea7c9455870a9e2b2f2497880573a99040541
11,mixed_drive_modulatory_same_junction,9100000,identity,reference,true,true,true,true,,true,false,8,2,1,0,0,0,11,2,d883daf243aabd85d5b461207c0dc647929a5fab990b8300abeabdb1d5afda57,5f89e4363a4487ceab6732b75de3e66f3e240659b0ee7878a9862eb3056fcc43,33102c38628b8d6028c404f122378565590ea8a8201f282a7c4d282704e1ecb6
11,mixed_drive_modulatory_same_junction,9100000,identity,production,true,true,true,true,,true,false,8,2,1,0,0,0,11,2,d883daf243aabd85d5b461207c0dc647929a5fab990b8300abeabdb1d5afda57,5f89e4363a4487ceab6732b75de3e66f3e240659b0ee7878a9862eb3056fcc43,33102c38628b8d6028c404f122378565590ea8a8201f282a7c4d282704e1ecb6
12,mixed_drive_modulatory_same_junction,9100000,rename_physical,reference,true,true,true,true,,true,false,8,2,1,0,0,0,11,2,d883daf243aabd85d5b461207c0dc647929a5fab990b8300abeabdb1d5afda57,5f89e4363a4487ceab6732b75de3e66f3e240659b0ee7878a9862eb3056fcc43,33102c38628b8d6028c404f122378565590ea8a8201f282a7c4d282704e1ecb6
12,mixed_drive_modulatory_same_junction,9100000,rename_physical,production,true,true,true,true,,true,false,8,2,1,0,0,0,11,2,d883daf243aabd85d5b461207c0dc647929a5fab990b8300abeabdb1d5afda57,5f89e4363a4487ceab6732b75de3e66f3e240659b0ee7878a9862eb3056fcc43,33102c38628b8d6028c404f122378565590ea8a8201f282a7c4d282704e1ecb6
13,mixed_drive_modulatory_same_junction,9100000,reverse_cells,reference,true,true,true,true,,true,false,8,2,1,0,0,0,11,2,d883daf243aabd85d5b461207c0dc647929a5fab990b8300abeabdb1d5afda57,5f89e4363a4487ceab6732b75de3e66f3e240659b0ee7878a9862eb3056fcc43,33102c38628b8d6028c404f122378565590ea8a8201f282a7c4d282704e1ecb6
13,mixed_drive_modulatory_same_junction,9100000,reverse_cells,production,true,true,true,true,,true,false,8,2,1,0,0,0,11,2,d883daf243aabd85d5b461207c0dc647929a5fab990b8300abeabdb1d5afda57,5f89e4363a4487ceab6732b75de3e66f3e240659b0ee7878a9862eb3056fcc43,33102c38628b8d6028c404f122378565590ea8a8201f282a7c4d282704e1ecb6
14,mixed_drive_modulatory_same_junction,9100000,reverse_arrows,reference,true,true,true,true,,true,false,8,2,1,0,0,0,11,2,d883daf243aabd85d5b461207c0dc647929a5fab990b8300abeabdb1d5afda57,5f89e4363a4487ceab6732b75de3e66f3e240659b0ee7878a9862eb3056fcc43,33102c38628b8d6028c404f122378565590ea8a8201f282a7c4d282704e1ecb6
14,mixed_drive_modulatory_same_junction,9100000,reverse_arrows,production,true,true,true,true,,true,false,8,2,1,0,0,0,11,2,d883daf243aabd85d5b461207c0dc647929a5fab990b8300abeabdb1d5afda57,5f89e4363a4487ceab6732b75de3e66f3e240659b0ee7878a9862eb3056fcc43,33102c38628b8d6028c404f122378565590ea8a8201f282a7c4d282704e1ecb6
15,mixed_drive_modulatory_same_junction,9100000,reverse_inputs,reference,true,true,true,true,,true,false,8,2,1,0,0,0,11,2,d883daf243aabd85d5b461207c0dc647929a5fab990b8300abeabdb1d5afda57,5f89e4363a4487ceab6732b75de3e66f3e240659b0ee7878a9862eb3056fcc43,33102c38628b8d6028c404f122378565590ea8a8201f282a7c4d282704e1ecb6
15,mixed_drive_modulatory_same_junction,9100000,reverse_inputs,production,true,true,true,true,,true,false,8,2,1,0,0,0,11,2,d883daf243aabd85d5b461207c0dc647929a5fab990b8300abeabdb1d5afda57,5f89e4363a4487ceab6732b75de3e66f3e240659b0ee7878a9862eb3056fcc43,33102c38628b8d6028c404f122378565590ea8a8201f282a7c4d282704e1ecb6
16,mixed_drive_modulatory_different_junctions,9100000,identity,reference,true,true,true,true,,true,false,4,1,1,0,0,0,6,1,73a32eb0fda10361c283c9f30996383c8d3437143d6b6fdc0cdd472026d6bd8f,b729b82d36b10296aaccdb371d7f66da4ae68bd6e3bf4c90a4805c47335d849e,3a979d752f43c6b110095e68baae040f37b4c04b09e94822e0d2cfb0777c6014
16,mixed_drive_modulatory_different_junctions,9100000,identity,production,true,true,true,true,,true,false,4,1,1,0,0,0,6,1,73a32eb0fda10361c283c9f30996383c8d3437143d6b6fdc0cdd472026d6bd8f,b729b82d36b10296aaccdb371d7f66da4ae68bd6e3bf4c90a4805c47335d849e,3a979d752f43c6b110095e68baae040f37b4c04b09e94822e0d2cfb0777c6014
17,mixed_drive_modulatory_different_junctions,9100000,rename_physical,reference,true,true,true,true,,true,false,4,1,1,0,0,0,6,1,73a32eb0fda10361c283c9f30996383c8d3437143d6b6fdc0cdd472026d6bd8f,b729b82d36b10296aaccdb371d7f66da4ae68bd6e3bf4c90a4805c47335d849e,3a979d752f43c6b110095e68baae040f37b4c04b09e94822e0d2cfb0777c6014
17,mixed_drive_modulatory_different_junctions,9100000,rename_physical,production,true,true,true,true,,true,false,4,1,1,0,0,0,6,1,73a32eb0fda10361c283c9f30996383c8d3437143d6b6fdc0cdd472026d6bd8f,b729b82d36b10296aaccdb371d7f66da4ae68bd6e3bf4c90a4805c47335d849e,3a979d752f43c6b110095e68baae040f37b4c04b09e94822e0d2cfb0777c6014
18,mixed_drive_modulatory_different_junctions,9100000,reverse_cells,reference,true,true,true,true,,true,false,4,1,1,0,0,0,6,1,73a32eb0fda10361c283c9f30996383c8d3437143d6b6fdc0cdd472026d6bd8f,b729b82d36b10296aaccdb371d7f66da4ae68bd6e3bf4c90a4805c47335d849e,3a979d752f43c6b110095e68baae040f37b4c04b09e94822e0d2cfb0777c6014
18,mixed_drive_modulatory_different_junctions,9100000,reverse_cells,production,true,true,true,true,,true,false,4,1,1,0,0,0,6,1,73a32eb0fda10361c283c9f30996383c8d3437143d6b6fdc0cdd472026d6bd8f,b729b82d36b10296aaccdb371d7f66da4ae68bd6e3bf4c90a4805c47335d849e,3a979d752f43c6b110095e68baae040f37b4c04b09e94822e0d2cfb0777c6014
19,mixed_drive_modulatory_different_junctions,9100000,reverse_arrows,reference,true,true,true,true,,true,false,4,1,1,0,0,0,6,1,73a32eb0fda10361c283c9f30996383c8d3437143d6b6fdc0cdd472026d6bd8f,b729b82d36b10296aaccdb371d7f66da4ae68bd6e3bf4c90a4805c47335d849e,3a979d752f43c6b110095e68baae040f37b4c04b09e94822e0d2cfb0777c6014
19,mixed_drive_modulatory_different_junctions,9100000,reverse_arrows,production,true,true,true,true,,true,false,4,1,1,0,0,0,6,1,73a32eb0fda10361c283c9f30996383c8d3437143d6b6fdc0cdd472026d6bd8f,b729b82d36b10296aaccdb371d7f66da4ae68bd6e3bf4c90a4805c47335d849e,3a979d752f43c6b110095e68baae040f37b4c04b09e94822e0d2cfb0777c6014
20,mixed_drive_modulatory_different_junctions,9100000,reverse_inputs,reference,true,true,true,true,,true,false,4,1,1,0,0,0,6,1,73a32eb0fda10361c283c9f30996383c8d3437143d6b6fdc0cdd472026d6bd8f,b729b82d36b10296aaccdb371d7f66da4ae68bd6e3bf4c90a4805c47335d849e,3a979d752f43c6b110095e68baae040f37b4c04b09e94822e0d2cfb0777c6014
20,mixed_drive_modulatory_different_junctions,9100000,reverse_inputs,production,true,true,true,true,,true,false,4,1,1,0,0,0,6,1,73a32eb0fda10361c283c9f30996383c8d3437143d6b6fdc0cdd472026d6bd8f,b729b82d36b10296aaccdb371d7f66da4ae68bd6e3bf4c90a4805c47335d849e,3a979d752f43c6b110095e68baae040f37b4c04b09e94822e0d2cfb0777c6014
21,drive_causes_later_modulatory,9100000,identity,reference,true,true,true,true,,true,false,4,1,1,0,0,2,6,1,4cf1ca26321966ecb81273d868452b4cb737004be402ce3accb774ff4138f1e2,9814c88fe77c3df7247af6db48a3d294aacbff4113a8905006d0aea6cab03763,3b31abefb2558d8d4586411ad186b811e6f389011422e600b159deea2b5163f2
21,drive_causes_later_modulatory,9100000,identity,production,true,true,true,true,,true,false,4,1,1,0,0,2,6,1,4cf1ca26321966ecb81273d868452b4cb737004be402ce3accb774ff4138f1e2,9814c88fe77c3df7247af6db48a3d294aacbff4113a8905006d0aea6cab03763,3b31abefb2558d8d4586411ad186b811e6f389011422e600b159deea2b5163f2
22,drive_causes_later_modulatory,9100000,rename_physical,reference,true,true,true,true,,true,false,4,1,1,0,0,2,6,1,4cf1ca26321966ecb81273d868452b4cb737004be402ce3accb774ff4138f1e2,9814c88fe77c3df7247af6db48a3d294aacbff4113a8905006d0aea6cab03763,3b31abefb2558d8d4586411ad186b811e6f389011422e600b159deea2b5163f2
22,drive_causes_later_modulatory,9100000,rename_physical,production,true,true,true,true,,true,false,4,1,1,0,0,2,6,1,4cf1ca26321966ecb81273d868452b4cb737004be402ce3accb774ff4138f1e2,9814c88fe77c3df7247af6db48a3d294aacbff4113a8905006d0aea6cab03763,3b31abefb2558d8d4586411ad186b811e6f389011422e600b159deea2b5163f2
23,drive_causes_later_modulatory,9100000,reverse_cells,reference,true,true,true,true,,true,false,4,1,1,0,0,2,6,1,4cf1ca26321966ecb81273d868452b4cb737004be402ce3accb774ff4138f1e2,9814c88fe77c3df7247af6db48a3d294aacbff4113a8905006d0aea6cab03763,3b31abefb2558d8d4586411ad186b811e6f389011422e600b159deea2b5163f2
23,drive_causes_later_modulatory,9100000,reverse_cells,production,true,true,true,true,,true,false,4,1,1,0,0,2,6,1,4cf1ca26321966ecb81273d868452b4cb737004be402ce3accb774ff4138f1e2,9814c88fe77c3df7247af6db48a3d294aacbff4113a8905006d0aea6cab03763,3b31abefb2558d8d4586411ad186b811e6f389011422e600b159deea2b5163f2
24,drive_causes_later_modulatory,9100000,reverse_arrows,reference,true,true,true,true,,true,false,4,1,1,0,0,2,6,1,4cf1ca26321966ecb81273d868452b4cb737004be402ce3accb774ff4138f1e2,9814c88fe77c3df7247af6db48a3d294aacbff4113a8905006d0aea6cab03763,3b31abefb2558d8d4586411ad186b811e6f389011422e600b159deea2b5163f2
24,drive_causes_later_modulatory,9100000,reverse_arrows,production,true,true,true,true,,true,false,4,1,1,0,0,2,6,1,4cf1ca26321966ecb81273d868452b4cb737004be402ce3accb774ff4138f1e2,9814c88fe77c3df7247af6db48a3d294aacbff4113a8905006d0aea6cab03763,3b31abefb2558d8d4586411ad186b811e6f389011422e600b159deea2b5163f2
25,drive_causes_later_modulatory,9100000,reverse_inputs,reference,true,true,true,true,,true,false,4,1,1,0,0,2,6,1,4cf1ca26321966ecb81273d868452b4cb737004be402ce3accb774ff4138f1e2,9814c88fe77c3df7247af6db48a3d294aacbff4113a8905006d0aea6cab03763,3b31abefb2558d8d4586411ad186b811e6f389011422e600b159deea2b5163f2
25,drive_causes_later_modulatory,9100000,reverse_inputs,production,true,true,true,true,,true,false,4,1,1,0,0,2,6,1,4cf1ca26321966ecb81273d868452b4cb737004be402ce3accb774ff4138f1e2,9814c88fe77c3df7247af6db48a3d294aacbff4113a8905006d0aea6cab03763,3b31abefb2558d8d4586411ad186b811e6f389011422e600b159deea2b5163f2
26,source_fires_modulatory,9100000,identity,reference,true,true,true,true,,true,false,3,1,1,0,0,1,5,1,3c97861a7a82db666006af294a7d687934dc903cb70a8f9476978ad09ee7bf57,0e200975bc0ddc0f9f52ff75b468977e527f01dfd3a90798317f94284059a66b,053f077db917472395e458c5a6952ae6e22803c99d7119fbc4fb43af631cb707
26,source_fires_modulatory,9100000,identity,production,true,true,true,true,,true,false,3,1,1,0,0,1,5,1,3c97861a7a82db666006af294a7d687934dc903cb70a8f9476978ad09ee7bf57,0e200975bc0ddc0f9f52ff75b468977e527f01dfd3a90798317f94284059a66b,053f077db917472395e458c5a6952ae6e22803c99d7119fbc4fb43af631cb707
27,source_fires_modulatory,9100000,rename_physical,reference,true,true,true,true,,true,false,3,1,1,0,0,1,5,1,3c97861a7a82db666006af294a7d687934dc903cb70a8f9476978ad09ee7bf57,0e200975bc0ddc0f9f52ff75b468977e527f01dfd3a90798317f94284059a66b,053f077db917472395e458c5a6952ae6e22803c99d7119fbc4fb43af631cb707
27,source_fires_modulatory,9100000,rename_physical,production,true,true,true,true,,true,false,3,1,1,0,0,1,5,1,3c97861a7a82db666006af294a7d687934dc903cb70a8f9476978ad09ee7bf57,0e200975bc0ddc0f9f52ff75b468977e527f01dfd3a90798317f94284059a66b,053f077db917472395e458c5a6952ae6e22803c99d7119fbc4fb43af631cb707
28,source_fires_modulatory,9100000,reverse_cells,reference,true,true,true,true,,true,false,3,1,1,0,0,1,5,1,3c97861a7a82db666006af294a7d687934dc903cb70a8f9476978ad09ee7bf57,0e200975bc0ddc0f9f52ff75b468977e527f01dfd3a90798317f94284059a66b,053f077db917472395e458c5a6952ae6e22803c99d7119fbc4fb43af631cb707
28,source_fires_modulatory,9100000,reverse_cells,production,true,true,true,true,,true,false,3,1,1,0,0,1,5,1,3c97861a7a82db666006af294a7d687934dc903cb70a8f9476978ad09ee7bf57,0e200975bc0ddc0f9f52ff75b468977e527f01dfd3a90798317f94284059a66b,053f077db917472395e458c5a6952ae6e22803c99d7119fbc4fb43af631cb707
