family,permutation,mechanics,replay_equal,cross_equal,baseline_equal,expected_firing,physical_work,tick,quiescent,pending,loads,trace_hash,case_pass
threshold_plus2_plus1,identity,reference,true,true,true,true,11,0,true,0,0,5971b982f084ef4aa34af45cfcad7493420ef5af0d2886cef99d2a9bbf0561b9,true
threshold_plus2_plus1,identity,production,true,true,true,true,11,0,true,0,0,5971b982f084ef4aa34af45cfcad7493420ef5af0d2886cef99d2a9bbf0561b9,true
threshold_plus2_plus1,reverse_input,reference,true,true,true,true,11,0,true,0,0,5971b982f084ef4aa34af45cfcad7493420ef5af0d2886cef99d2a9bbf0561b9,true
threshold_plus2_plus1,reverse_input,production,true,true,true,true,11,0,true,0,0,5971b982f084ef4aa34af45cfcad7493420ef5af0d2886cef99d2a9bbf0561b9,true
threshold_plus2_plus1,reverse_cell_insertion,reference,true,true,true,true,11,0,true,0,0,5971b982f084ef4aa34af45cfcad7493420ef5af0d2886cef99d2a9bbf0561b9,true
threshold_plus2_plus1,reverse_cell_insertion,production,true,true,true,true,11,0,true,0,0,5971b982f084ef4aa34af45cfcad7493420ef5af0d2886cef99d2a9bbf0561b9,true
threshold_plus2_plus1,reverse_arrow_insertion,reference,true,true,true,true,11,0,true,0,0,5971b982f084ef4aa34af45cfcad7493420ef5af0d2886cef99d2a9bbf0561b9,true
threshold_plus2_plus1,reverse_arrow_insertion,production,true,true,true,true,11,0,true,0,0,5971b982f084ef4aa34af45cfcad7493420ef5af0d2886cef99d2a9bbf0561b9,true
threshold_plus2_plus1,reverse_physical_names,reference,true,true,true,true,11,0,true,0,0,5971b982f084ef4aa34af45cfcad7493420ef5af0d2886cef99d2a9bbf0561b9,true
threshold_plus2_plus1,reverse_physical_names,production,true,true,true,true,11,0,true,0,0,5971b982f084ef4aa34af45cfcad7493420ef5af0d2886cef99d2a9bbf0561b9,true
threshold_plus2_plus1,random_physical_names,reference,true,true,true,true,11,0,true,0,0,5971b982f084ef4aa34af45cfcad7493420ef5af0d2886cef99d2a9bbf0561b9,true
threshold_plus2_plus1,random_physical_names,production,true,true,true,true,11,0,true,0,0,5971b982f084ef4aa34af45cfcad7493420ef5af0d2886cef99d2a9bbf0561b9,true
preexisting_state,identity,reference,true,true,true,true,21,0,true,0,0,69b2f50160b7e578a098c194fa011e4043f9d00134a99b941439608031055bbe,true
preexisting_state,identity,production,true,true,true,true,21,0,true,0,0,69b2f50160b7e578a098c194fa011e4043f9d00134a99b941439608031055bbe,true
preexisting_state,reverse_input,reference,true,true,true,true,21,0,true,0,0,69b2f50160b7e578a098c194fa011e4043f9d00134a99b941439608031055bbe,true
preexisting_state,reverse_input,production,true,true,true,true,21,0,true,0,0,69b2f50160b7e578a098c194fa011e4043f9d00134a99b941439608031055bbe,true
preexisting_state,reverse_cell_insertion,reference,true,true,true,true,21,0,true,0,0,69b2f50160b7e578a098c194fa011e4043f9d00134a99b941439608031055bbe,true
preexisting_state,reverse_cell_insertion,production,true,true,true,true,21,0,true,0,0,69b2f50160b7e578a098c194fa011e4043f9d00134a99b941439608031055bbe,true
preexisting_state,reverse_arrow_insertion,reference,true,true,true,true,21,0,true,0,0,69b2f50160b7e578a098c194fa011e4043f9d00134a99b941439608031055bbe,true
preexisting_state,reverse_arrow_insertion,production,true,true,true,true,21,0,true,0,0,69b2f50160b7e578a098c194fa011e4043f9d00134a99b941439608031055bbe,true
preexisting_state,reverse_physical_names,reference,true,true,true,true,21,0,true,0,0,69b2f50160b7e578a098c194fa011e4043f9d00134a99b941439608031055bbe,true
preexisting_state,reverse_physical_names,production,true,true,true,true,21,0,true,0,0,69b2f50160b7e578a098c194fa011e4043f9d00134a99b941439608031055bbe,true
preexisting_state,random_physical_names,reference,true,true,true,true,21,0,true,0,0,69b2f50160b7e578a098c194fa011e4043f9d00134a99b941439608031055bbe,true
preexisting_state,random_physical_names,production,true,true,true,true,21,0,true,0,0,69b2f50160b7e578a098c194fa011e4043f9d00134a99b941439608031055bbe,true
different_junctions,identity,reference,true,true,true,true,12,0,true,0,0,9db986d89b2b82551f705142ba59ef752c1a619f6929799300ea5f426b3156ec,true
different_junctions,identity,production,true,true,true,true,12,0,true,0,0,9db986d89b2b82551f705142ba59ef752c1a619f6929799300ea5f426b3156ec,true
different_junctions,reverse_input,reference,true,true,true,true,12,0,true,0,0,9db986d89b2b82551f705142ba59ef752c1a619f6929799300ea5f426b3156ec,true
different_junctions,reverse_input,production,true,true,true,true,12,0,true,0,0,9db986d89b2b82551f705142ba59ef752c1a619f6929799300ea5f426b3156ec,true
different_junctions,reverse_cell_insertion,reference,true,true,true,true,12,0,true,0,0,9db986d89b2b82551f705142ba59ef752c1a619f6929799300ea5f426b3156ec,true
different_junctions,reverse_cell_insertion,production,true,true,true,true,12,0,true,0,0,9db986d89b2b82551f705142ba59ef752c1a619f6929799300ea5f426b3156ec,true
different_junctions,reverse_arrow_insertion,reference,true,true,true,true,12,0,true,0,0,9db986d89b2b82551f705142ba59ef752c1a619f6929799300ea5f426b3156ec,true
different_junctions,reverse_arrow_insertion,production,true,true,true,true,12,0,true,0,0,9db986d89b2b82551f705142ba59ef752c1a619f6929799300ea5f426b3156ec,true
different_junctions,reverse_physical_names,reference,true,true,true,true,12,0,true,0,0,9db986d89b2b82551f705142ba59ef752c1a619f6929799300ea5f426b3156ec,true
different_junctions,reverse_physical_names,production,true,true,true,true,12,0,true,0,0,9db986d89b2b82551f705142ba59ef752c1a619f6929799300ea5f426b3156ec,true
different_junctions,random_physical_names,reference,true,true,true,true,12,0,true,0,0,9db986d89b2b82551f705142ba59ef752c1a619f6929799300ea5f426b3156ec,true
different_junctions,random_physical_names,production,true,true,true,true,12,0,true,0,0,9db986d89b2b82551f705142ba59ef752c1a619f6929799300ea5f426b3156ec,true
parallel_arrows,identity,reference,true,true,true,true,20,0,true,0,0,497c4a0b7fa1487e8734738c2a68af657afee695ed4339299efee347f4967f33,true
