arm,ordinal,form,stable_device,stable_returns,incidental_returns,crossings,work
micro-route-2-mirror,5,1,2,1,0,0,1118
micro-route-2-mirror,6,2,1,1,0,1,1138
micro-route-2-mirror,7,3,3,1,0,1,2133
micro-route-2-mirror,8,0,0,1,1,1,1934
micro-route-2-mirror,9,1,2,1,0,0,1531
micro-route-2-mirror,10,2,1,1,0,1,1453
micro-route-2-mirror,11,3,3,1,0,1,2567
micro-route-2-mirror,12,0,0,1,1,1,2319
micro-route-2-mirror,13,1,2,1,0,0,1877
micro-route-2-mirror,14,2,1,1,0,1,1840
micro-route-2-mirror,15,3,3,1,0,1,3157
micro-route-2-mirror,16,0,0,1,0,1,2638
micro-route-2-mirror,17,1,2,1,0,1,2156
micro-route-2-mirror,18,2,1,1,0,1,2180
micro-route-2-mirror,19,3,3,1,0,1,3766
micro-route-2-mirror,20,0,0,1,1,1,3180
micro-route-2-mirror,21,1,2,1,0,0,2609
micro-route-2-mirror,22,2,1,1,0,1,2531
micro-route-2-mirror,23,3,3,1,0,1,4248
micro-route-2-mirror,24,0,0,1,1,1,3683
micro-route-2-mirror,25,1,2,1,0,0,2900
micro-route-2-mirror,26,2,1,1,0,1,2920
micro-route-2-mirror,27,3,3,1,0,1,4725
micro-route-2-mirror,28,0,0,1,1,1,4040
micro-route-2-mirror,29,1,2,1,0,0,3313
micro-route-2-mirror,30,2,1,1,0,1,3235
micro-route-2-mirror,31,3,3,1,0,1,4997
micro-route-2-mirror,32,0,0,1,1,1,4425
micro-route-2-mirror,33,1,2,1,0,0,3659
micro-route-2-mirror,34,2,1,1,0,1,3622
micro-route-2-mirror,35,3,3,1,0,1,5749
micro-route-2-mirror,36,1,2,1,0,1,3849
micro-route-2-mirror,37,2,1,1,0,1,3802
micro-route-2-mirror,38,3,3,1,0,1,6108
