arm,seed,suite,scenario,namespace,updates_a,updates_b,resistance_a,resistance_b,coupling_a,coupling_b,live_a,live_b,crossings_a,crossings_b,generations,work,accepts,path_edges,firings,deallocations,bytes,fingerprint,permanent,quiescent,clauses,replay,passed
B,5227,dense,late-lawful-return,2009111352836096,0,0,0,1,1,1,false,true,1,0,a2|b1,175,0,3,5,1,2880,10723818819480544369,9628654250013782126,true,true|true|true|true|true|true|true|true,true,true
B,5227,dense,adjacent-renewed-upstream,2009111353884672,0,0,1,1,1,1,true,true,2,0,a1|b1,270,0,4,8,0,2880,1390898369202169863,70619970937466711,true,true|true|true|true|true|true|true|true,true,true
B,5227,px0,acquisition,2009111361224704,0,0,12,0,2,1,true,false,4,0,a1|b2,520,4,12,20,1,1088,6191647919785882627,6608328997766508682,true,true|true|true|true|true|true|true|true,true,true
B,5227,px0,probation,2009111362273280,0,0,0,0,2,1,false,false,1,0,a2|b2,107,1,3,5,2,1088,7820337912848874509,2119648113814592650,true,true|true|true|true|true|true|true|true,true,true
B,5227,px0,stable-return-specificity,2009111363321856,0,0,4,1,2,1,true,true,1,1,a1|b1,175,1,5,9,0,1088,6882131839467264399,5580173123321272616,true,true|true|true|true|true|true|true|true,true,true
B,5227,px0,forgetting,2009111364370432,0,0,0,0,2,1,false,false,4,0,a2|b2,538,4,12,20,2,1088,1100125961415080041,10366210880606967547,true,true|true|true|true|true|true|true|true,true,true
B,5227,px0,fresh-reproposal,2009111365419008,0,0,4,0,2,0,true,false,5,0,old2|fresh6,97,2,3,6,1,672,3702638742243105284,14546085253215452709,true,true|true|true|true|true|true|true|true,true,true
B,5227,px0,reacquisition,2009111366467584,0,0,11,0,2,0,true,false,15,0,old2|fresh6,342,8,10,16,1,672,1132406783639092991,3886336091150982432,true,true|true|true|true|true|true|true|true,true,true
B,5227,px1,support-a,2009111378001920,1,0,7,1,2,1,true,true,2,0,a1|b1,212,2,6,10,0,1088,18122120011662205323,9267235933673982958,true,true|true|true|true|true|true|true|true,true,true
B,5227,px1,support-b,2009111379050496,0,1,1,7,1,2,true,true,0,2,a1|b1,212,2,6,10,0,1088,9906446237732049363,1860757914445203734,true,true|true|true|true|true|true|true|true,true,true
B,5227,px1,no-support,2009111380099072,0,0,1,1,1,1,true,true,0,0,a1|b1,0,0,0,0,0,1088,7237091757737765098,8019232085279550378,true,true|true|true|true|true|true|true|true,true,true
B,5227,px1,participation-return-blocked,2009111381147648,0,0,0,1,1,1,false,true,1,0,a2|b1,131,0,4,7,1,1088,16911947656118343792,7333608651503358699,true,true|true|true|true|true|true|true|true,true,true
B,5227,px1,return-without-participation,2009111382196224,0,0,1,1,1,1,true,true,0,0,a1|b1,43,0,2,2,0,1088,1989565717401952380,3915750702773857413,true,true|true|true|true|true|true|true|true,true,true
B,5227,px1,joint-participation,2009111383244800,1,1,7,7,2,2,true,true,2,2,a1|b1,510,4,12,20,0,1088,1700934626921631937,15734941753877385598,true,true|true|true|true|true|true|true|true,true,true
B,5227,px2,forward-traversal-return,2009111394779136,1,0,7,1,2,1,true,true,2,0,a1|b1,212,2,6,10,0,1088,16994692196377056375,11325214261308653158,true,true|true|true|true|true|true|true|true,true,true
B,5227,px2,reverse-traversal-return,2009111395827712,0,1,1,7,1,2,true,true,0,2,a1|b1,212,2,6,10,0,1088,7559217789402786779,16369398154701692286,true,true|true|true|true|true|true|true|true,true,true
B,5227,px2,correlation-without-traversal,2009111396876288,0,0,0,0,1,1,false,false,0,0,a2|b2,382,0,12,12,2,1088,11094666582252562835,6118743902774226146,true,true|true|true|true|true|true|true|true,true,true
B,5227,px2,forward-return-blocked,2009111397924864,0,0,0,1,1,1,false,true,1,0,a2|b1,131,0,4,7,1,1088,3157572422632656596,13925031762439165395,true,true|true|true|true|true|true|true|true,true,true
B,5227,px2,joint-traversal-return,2009111398973440,1,1,7,7,2,2,true,true,2,2,a1|b1,510,4,12,20,0,1088,9124889606970541037,2827900688468217310,true,true|true|true|true|true|true|true|true,true,true
B,5227,px2,forward-with-wrong-way-observation,2009111400022016,1,0,6,0,2,1,true,false,2,0,a1|b2,454,2,12,16,1,1088,5990305979120164738,239551482772256800,true,true|true|true|true|true|true|true|true,true,true
