seed,mirror,initial_candidate_count,initial_proposals,initial_primitive_trace,initial_opportunity,initial_p,initial_candidate_crossings,initial_candidate_impulse,initial_effect,initial_p_trace,initial_effect_trace,initial_attribution,initial_credit,initial_after_first,initial_one_exposure_gap,initial_after_train,initial_after_gap,pre_reversal_heldout,pre_reversal_heldout_proposals,old_ids,old_generations,old_after_forgetting,old_live_after_forgetting,proposals_during_forgetting,reversed_proposals,reversed_primitive_trace,reversed_opportunity,reversed_p,reversed_candidate_crossings,reversed_candidate_impulse,reversed_effect,reversed_p_trace,reversed_effect_trace,reversed_attribution,reversed_credit,reversed_after_first,reversed_one_exposure_gap,reversed_after_train,reversed_after_gap,new_ids,new_generations,fresh_identity,old_still_dead,historical_counts,final_live_counts,post_reversal_heldout,post_reversal_heldout_proposals,total_proposals,deallocations,return_updates,work,bytes,fingerprint,permanent,quiescent,replay,passed
3301,false,0,2,2|2|2|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,3|0|0|0|0|3,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,4|0|0|0|0|4,0|0|0|0|0|0,6|0|0|0|0|6,2|0|0|0|0|2,1|0|0|0|0|1,0|1|1|1|1|0,ArrowId(100)|ArrowId(101),102|103,0|0,false|false,0,2,2|2|2|2,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|3|3|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|4|4|0|0,0|0|0|0|0|0,0|0|6|6|0|0,0|0|2|2|0|0,ArrowId(102)|ArrowId(103),104|105,true,true|true,1|0|1|1|0|1,0|0|1|1|0|0,0|0|1|1|0|0,1|1|0|0|1|1,4,6,88,20454,9824,11224524852815657371,7171455328297348012,true,true,true
3309,true,0,2,2|2|2|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,3|0|0|0|0|3,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,2|0|0|0|0|2,4|0|0|0|0|4,0|0|0|0|0|0,6|0|0|0|0|6,2|0|0|0|0|2,1|0|0|0|0|1,0|1|1|1|1|0,ArrowId(100)|ArrowId(101),102|103,0|0,false|false,0,2,2|2|2|2,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|3|3|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|2|2|0|0,0|0|4|4|0|0,0|0|0|0|0|0,0|0|6|6|0|0,0|0|2|2|0|0,ArrowId(102)|ArrowId(103),104|105,true,true|true,1|0|1|1|0|1,0|0|1|1|0|0,0|0|1|1|0|0,1|1|0|0|1|1,4,6,88,20454,9824,5613653235653118667,2485340218419374060,true,true,true
