row_type,protocol,mode,claim_eligible,passed,arm,seed_index,depth,correct,total,explicit_answers,queues_empty,activity_limit_hits,role_transfer_correct,role_transfer_total,false_bindings,ambiguous_bindings,fresh_lower_identities,fresh_activity_sources,expected_reflected_firings,used_reflected_arrows,bindings_erased,immutable_state_unchanged,permanent_fingerprint_unchanged,runtime_total,invocations,state_installations,provenance_events,provenance_relations,role_activations,reflected_arrow_evaluations,reflected_arrow_firings,binding_deliveries,direct_arrow_evaluations,direct_arrow_firings,direct_executor_calls,pre_resolved_routes,fallback_calls,oracle_calls,recognition_comparisons,binding_writes,binding_reads,failed_dereferences,cell_location_comparisons,lower_cells,spikes_enqueued,spikes_dequeued,queue_checks,relation_scans,identity_comparisons,current_updates,finishes,first_roles,first_success,competence,parity,acquisition_work,permanent_bytes,learned_roles,correct_arrows,gate,gate_status,workspaces_created,workspaces_destroyed,maximum_live_workspaces_per_cell,parallel_cells
runtime,reflected-grounding-rg0a-v1,definitive,true,true,shuffled-terminal-program,6,8,0,16,false,true,0,0,0,0,0,true,true,true,0,true,true,true,2208,16,16,208,208,160,128,0,0,0,0,0,0,0,0,880,320,16,16,112,32,32,32,32,0,0,0,0,,,,,,,,,,,,,,
runtime,reflected-grounding-rg0a-v1,definitive,true,true,oracle-binding-program,6,8,16,16,true,true,0,0,0,0,0,true,true,true,4,true,true,true,14080,16,16,208,208,0,416,416,416,0,0,0,0,0,16,0,320,832,0,3072,848,848,848,848,2304,2304,128,16,,,,,,,,,,,,,,
runtime,reflected-grounding-rg0a-v1,definitive,true,true,concrete,6,16,16,16,true,true,0,0,0,0,0,true,true,true,0,true,true,true,27200,16,16,0,0,0,0,0,0,800,800,16,0,0,0,0,0,0,0,5760,1616,1616,1616,1616,6528,6528,256,16,,,,,,,,,,,,,,
runtime,reflected-grounding-rg0a-v1,definitive,true,true,grounded-reflected,6,16,16,16,true,true,0,160,160,0,0,true,true,true,4,true,true,true,31360,16,16,208,208,160,800,800,800,0,0,0,0,0,0,880,320,1600,0,5760,1616,1616,1616,1616,6528,6528,256,16,,,,,,,,,,,,,,
runtime,reflected-grounding-rg0a-v1,definitive,true,true,no-bindings,6,16,0,16,false,true,0,0,0,160,0,true,true,true,0,true,true,true,1920,16,16,208,208,160,0,0,0,0,0,0,0,0,0,880,160,16,16,112,32,32,32,32,0,0,0,0,,,,,,,,,,,,,,
runtime,reflected-grounding-rg0a-v1,definitive,true,true,shuffled-bindings,6,16,0,16,false,true,1,0,0,0,0,true,true,true,4,true,true,true,18268,16,16,208,208,160,905,806,806,0,0,0,0,0,0,880,320,1623,11,5759,1637,1637,1637,1637,0,0,0,2,,,,,,,,,,,,,,
runtime,reflected-grounding-rg0a-v1,definitive,true,true,activity-only-grounding,6,16,0,16,false,true,0,0,0,160,0,true,true,true,0,true,true,true,464,16,16,160,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,112,32,32,32,32,0,0,0,0,,,,,,,,,,,,,,
runtime,reflected-grounding-rg0a-v1,definitive,true,true,random-reflected-program,6,16,0,16,false,true,0,0,0,0,0,true,true,true,1,true,true,true,2336,16,16,208,208,160,16,16,16,0,0,0,0,0,0,880,320,32,0,256,48,48,48,48,0,0,0,0,,,,,,,,,,,,,,
runtime,reflected-grounding-rg0a-v1,definitive,true,true,shuffled-terminal-program,6,16,0,16,false,true,0,0,0,0,0,true,true,true,0,true,true,true,2208,16,16,208,208,160,128,0,0,0,0,0,0,0,0,880,320,16,16,112,32,32,32,32,0,0,0,0,,,,,,,,,,,,,,
runtime,reflected-grounding-rg0a-v1,definitive,true,true,oracle-binding-program,6,16,16,16,true,true,0,0,0,0,0,true,true,true,4,true,true,true,30336,16,16,208,208,0,800,800,800,0,0,0,0,0,16,0,320,1600,0,5760,1616,1616,1616,1616,6528,6528,256,16,,,,,,,,,,,,,,
runtime,reflected-grounding-rg0a-v1,definitive,true,true,concrete,6,32,16,16,true,true,0,0,0,0,0,true,true,true,0,true,true,true,69696,16,16,0,0,0,0,0,0,1568,1568,16,0,0,0,0,0,0,0,11136,3152,3152,3152,3152,21120,21120,512,16,,,,,,,,,,,,,,
runtime,reflected-grounding-rg0a-v1,definitive,true,true,grounded-reflected,6,32,16,16,true,true,0,160,160,0,0,true,true,true,4,true,true,true,76160,16,16,208,208,160,1568,1568,1568,0,0,0,0,0,0,880,320,3136,0,11136,3152,3152,3152,3152,21120,21120,512,16,,,,,,,,,,,,,,
runtime,reflected-grounding-rg0a-v1,definitive,true,true,no-bindings,6,32,0,16,false,true,0,0,0,160,0,true,true,true,0,true,true,true,1920,16,16,208,208,160,0,0,0,0,0,0,0,0,0,880,160,16,16,112,32,32,32,32,0,0,0,0,,,,,,,,,,,,,,
