seed,stratum,scenario,namespace,u0_fires,u1_fires,p_fires,x_fires,world_fires,return_source_fires,u0_crossings,u1_crossings,candidate_crossings,effect_crossings,return_crossings,incoming_routes,candidate_resistance,candidate_coupling,candidate_live,candidate_eligible_until,return_updates,qualification_checks,qualification_accepts,path_edges,validity,claim,work,bytes,fingerprint,permanent,quiescent,replay,passed
4111,G3,renewed-upstream-no-return,1990120072806400,0|2,0|2,0|2,0|2,,,2,2,2,2,0,u0=ArrowId(6):(CellId(7), CellId(5)):c1:d0:g1|u1=ArrowId(5):(CellId(6), CellId(5)):c1:d0:g1|r=ArrowId(1):(CellId(2), CellId(0)):c1:d1:g1,1,1,true,6,0,0,0,4,true|true|true|true|true|true|true|true,true,148,832,14734629336635208379,6711666010018005411,true,true,true
4111,G3,completed-downstream-return,1990120089583616,0,0,0,0,1,1,1,1,1,1,1,u0=ArrowId(6):(CellId(7), CellId(5)):c1:d0:g1|u1=ArrowId(5):(CellId(6), CellId(5)):c1:d0:g1|r=ArrowId(1):(CellId(2), CellId(0)):c1:d1:g1,4,2,true,none,1,1,1,3,true|true|true|true|true|true|true|true,true,110,832,465710628321980207,9550188218983047601,true,true,true
4111,G3,independent-return-no-candidate,1990120106360832,,,,0,1,1,0,0,0,1,1,u0=ArrowId(6):(CellId(7), CellId(5)):c1:d0:g1|u1=ArrowId(5):(CellId(6), CellId(5)):c1:d0:g1|r=ArrowId(1):(CellId(2), CellId(0)):c1:d1:g1,1,1,true,none,0,0,0,1,true|true|true|true|true|true|true|true,true,68,832,9494033309455724080,3029043018891411935,true,true,true
4111,G3,late-downstream-return,1990120123138048,0,0,0,0,1,1,1,1,1,1,1,u0=ArrowId(6):(CellId(7), CellId(5)):c1:d0:g2|u1=ArrowId(5):(CellId(6), CellId(5)):c1:d0:g2|r=ArrowId(1):(CellId(2), CellId(0)):c1:d5:g1,0,1,false,none,0,0,0,3,true|true|true|true|true|true|true|true,true,118,832,9079317564980239797,8114250506151890361,true,true,true
4111,G3,simultaneous-upstream-and-return,1990120139915264,0|2,0|2,0|2,0|2,1,1,2,2,2,2,1,u0=ArrowId(6):(CellId(7), CellId(5)):c1:d0:g1|u1=ArrowId(5):(CellId(6), CellId(5)):c1:d0:g1|r=ArrowId(1):(CellId(2), CellId(0)):c1:d1:g1,4,2,true,6,1,1,1,5,true|true|true|true|true|true|true|true,true,197,832,1206369007539814280,15937703606006605817,true,true,true
4111,G3,upstream-execution-only,1990120156692480,0,0,0,0,,,1,1,1,1,0,u0=ArrowId(6):(CellId(7), CellId(5)):c1:d0:g1|u1=ArrowId(5):(CellId(6), CellId(5)):c1:d0:g1|r=ArrowId(1):(CellId(2), CellId(0)):c1:d1:g1,1,1,true,4,0,0,0,2,true|true|true|true|true|true|true|true,true,68,832,4781912336834832539,14152371507009370123,true,true,true
4127,G3,renewed-upstream-no-return,1990124367773696,0|2,0|2,0|2,0|2,,,2,2,2,2,0,u0=ArrowId(6):(CellId(7), CellId(5)):c1:d0:g1|u1=ArrowId(5):(CellId(6), CellId(5)):c1:d0:g1|r=ArrowId(1):(CellId(2), CellId(0)):c1:d1:g1,1,1,true,6,0,0,0,4,true|true|true|true|true|true|true|true,true,148,832,12619950051975008951,16208646812082481915,true,true,true
4127,G3,completed-downstream-return,1990124384550912,0,0,0,0,1,1,1,1,1,1,1,u0=ArrowId(6):(CellId(7), CellId(5)):c1:d0:g1|u1=ArrowId(5):(CellId(6), CellId(5)):c1:d0:g1|r=ArrowId(1):(CellId(2), CellId(0)):c1:d1:g1,4,2,true,none,1,1,1,3,true|true|true|true|true|true|true|true,true,110,832,1770268622794469107,3294349697699245397,true,true,true
4127,G3,independent-return-no-candidate,1990124401328128,,,,0,1,1,0,0,0,1,1,u0=ArrowId(6):(CellId(7), CellId(5)):c1:d0:g1|u1=ArrowId(5):(CellId(6), CellId(5)):c1:d0:g1|r=ArrowId(1):(CellId(2), CellId(0)):c1:d1:g1,1,1,true,none,0,0,0,1,true|true|true|true|true|true|true|true,true,68,832,15373521149616142860,10254326076121227083,true,true,true
4127,G3,late-downstream-return,1990124418105344,0,0,0,0,1,1,1,1,1,1,1,u0=ArrowId(6):(CellId(7), CellId(5)):c1:d0:g2|u1=ArrowId(5):(CellId(6), CellId(5)):c1:d0:g2|r=ArrowId(1):(CellId(2), CellId(0)):c1:d5:g1,0,1,false,none,0,0,0,3,true|true|true|true|true|true|true|true,true,118,832,14115841030245342237,2037769267286862873,true,true,true
4127,G3,simultaneous-upstream-and-return,1990124434882560,0|2,0|2,0|2,0|2,1,1,2,2,2,2,1,u0=ArrowId(6):(CellId(7), CellId(5)):c1:d0:g1|u1=ArrowId(5):(CellId(6), CellId(5)):c1:d0:g1|r=ArrowId(1):(CellId(2), CellId(0)):c1:d1:g1,4,2,true,6,1,1,1,5,true|true|true|true|true|true|true|true,true,197,832,18379974366186845132,14649852728737931305,true,true,true
4127,G3,upstream-execution-only,1990124451659776,0,0,0,0,,,1,1,1,1,0,u0=ArrowId(6):(CellId(7), CellId(5)):c1:d0:g1|u1=ArrowId(5):(CellId(6), CellId(5)):c1:d0:g1|r=ArrowId(1):(CellId(2), CellId(0)):c1:d1:g1,1,1,true,4,0,0,0,2,true|true|true|true|true|true|true|true,true,68,832,198111482238145051,14830149238881020551,true,true,true
