scenario,transfer,correspondence_resistance,continuation_resistance,training_branch_firings,training_outlet_firings,training_trace_arrivals,training_trace_firings,training_local_returns,training_extra_source_firings,heldout_branch_firings,heldout_outlet_firings,heldout_trace_arrivals,heldout_trace_firings,heldout_local_returns,heldout_effects,postgap_effects,heldout_extra_source_firings,postgap_extra_source_firings,heldout_quiescent,postgap_quiescent,correspondence_acquired,maturation_exact,postgap_exact,training_quiescent,duplicate_exact,work,fingerprint,passed
support-a,false,22|22,17|0,8|0,8|0,16|8,8|0,8|0,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,true,true,true,true,6805,9485206005359014694,true
support-a,true,22|22,17|0,8|0,8|0,16|8,8|0,8|0,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,true,true,true,true,6805,7949468047440917040,true
support-b,false,22|22,0|17,0|8,0|8,8|16,0|8,0|8,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,true,true,true,true,6797,1349983168656442794,true
support-b,true,22|22,0|17,0|8,0|8,8|16,0|8,0|8,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,true,true,true,true,6797,10543159202620661772,true
no-support,false,22|22,0|0,0|0,0|0,0|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4445,3300487459220548731,true
no-support,true,22|22,0|0,0|0,0|0,0|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4445,7623072998686044325,true
blocked-return,false,22|22,0|0,8|0,1|0,1|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,5207,13471876782694196981,false
blocked-return,true,22|22,0|0,8|0,1|0,1|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,5207,17944817543731052171,false
return-without-effect,false,22|22,0|0,0|0,0|0,8|8,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4955,707092623078421178,true
return-without-effect,true,22|22,0|0,0|0,0|0,8|8,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4955,17208393683616648864,true
joint,false,22|22,17|17,8|8,8|8,16|16,8|8,8|8,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,true,true,true,true,9072,15491078606545580840,false
joint,true,22|22,17|17,8|8,8|8,16|16,8|8,8|8,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,true,true,true,true,9072,10319216086263784782,false
