row_type,protocol,mode,claim_eligible,passed,workload,seed,depth,view,price_micros,uses_per_cycle,acquisition_work,installation_work,retained_bytes,maintenance_per_cycle,concrete_per_cycle,motif_per_cycle,gain_micros,break_even_cycles,break_even_invocations,horizon_cycles,horizon_invocations,delta_cost_micros,gate,gate_status
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,32,full-stack-from-blank,1000,1,10743845,0,6916,0,4356,4094,255084000,42119,42119,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,64,full-stack-from-blank,1000,1,10743845,0,6916,0,12740,11806,927084000,11589,11589,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,128,full-stack-from-blank,1000,1,10743845,0,6916,0,41796,39518,2271084000,4731,4731,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,balanced-six-depth-cycle,0,,full-stack-from-blank,1000,6,10743845,0,6916,0,61816,58963,2811504000,3822,22932,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,5,compiled-plus-motif-incremental,0,1,3786,0,308,0,468,773,-305000000,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,8,compiled-plus-motif-incremental,0,1,3786,0,308,0,756,998,-242000000,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,16,compiled-plus-motif-incremental,0,1,3786,0,308,0,1700,1774,-74000000,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,32,compiled-plus-motif-incremental,0,1,3786,0,308,0,4356,4094,262000000,15,15,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,64,compiled-plus-motif-incremental,0,1,3786,0,308,0,12740,11806,934000000,5,5,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,128,compiled-plus-motif-incremental,0,1,3786,0,308,0,41796,39518,2278000000,2,2,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,balanced-six-depth-cycle,0,,compiled-plus-motif-incremental,0,6,3786,0,308,0,61816,58963,2853000000,2,12,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,5,compiled-plus-motif-incremental,1,1,3786,0,308,0,468,773,-305000308,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,8,compiled-plus-motif-incremental,1,1,3786,0,308,0,756,998,-242000308,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,16,compiled-plus-motif-incremental,1,1,3786,0,308,0,1700,1774,-74000308,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,32,compiled-plus-motif-incremental,1,1,3786,0,308,0,4356,4094,261999692,15,15,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,64,compiled-plus-motif-incremental,1,1,3786,0,308,0,12740,11806,933999692,5,5,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,128,compiled-plus-motif-incremental,1,1,3786,0,308,0,41796,39518,2277999692,2,2,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,balanced-six-depth-cycle,0,,compiled-plus-motif-incremental,1,6,3786,0,308,0,61816,58963,2852998152,2,12,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,5,compiled-plus-motif-incremental,10,1,3786,0,308,0,468,773,-305003080,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,8,compiled-plus-motif-incremental,10,1,3786,0,308,0,756,998,-242003080,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,16,compiled-plus-motif-incremental,10,1,3786,0,308,0,1700,1774,-74003080,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,32,compiled-plus-motif-incremental,10,1,3786,0,308,0,4356,4094,261996920,15,15,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,64,compiled-plus-motif-incremental,10,1,3786,0,308,0,12740,11806,933996920,5,5,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,128,compiled-plus-motif-incremental,10,1,3786,0,308,0,41796,39518,2277996920,2,2,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,balanced-six-depth-cycle,0,,compiled-plus-motif-incremental,10,6,3786,0,308,0,61816,58963,2852981520,2,12,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,5,compiled-plus-motif-incremental,100,1,3786,0,308,0,468,773,-305030800,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,8,compiled-plus-motif-incremental,100,1,3786,0,308,0,756,998,-242030800,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,16,compiled-plus-motif-incremental,100,1,3786,0,308,0,1700,1774,-74030800,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,32,compiled-plus-motif-incremental,100,1,3786,0,308,0,4356,4094,261969200,15,15,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,64,compiled-plus-motif-incremental,100,1,3786,0,308,0,12740,11806,933969200,5,5,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,128,compiled-plus-motif-incremental,100,1,3786,0,308,0,41796,39518,2277969200,2,2,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,balanced-six-depth-cycle,0,,compiled-plus-motif-incremental,100,6,3786,0,308,0,61816,58963,2852815200,2,12,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,5,compiled-plus-motif-incremental,1000,1,3786,0,308,0,468,773,-305308000,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,8,compiled-plus-motif-incremental,1000,1,3786,0,308,0,756,998,-242308000,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,16,compiled-plus-motif-incremental,1000,1,3786,0,308,0,1700,1774,-74308000,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,32,compiled-plus-motif-incremental,1000,1,3786,0,308,0,4356,4094,261692000,15,15,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,64,compiled-plus-motif-incremental,1000,1,3786,0,308,0,12740,11806,933692000,5,5,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,128,compiled-plus-motif-incremental,1000,1,3786,0,308,0,41796,39518,2277692000,2,2,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,balanced-six-depth-cycle,0,,compiled-plus-motif-incremental,1000,6,3786,0,308,0,61816,58963,2851152000,2,12,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,5,motif-only-incremental,0,1,2638,0,148,0,468,773,-305000000,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,8,motif-only-incremental,0,1,2638,0,148,0,756,998,-242000000,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,16,motif-only-incremental,0,1,2638,0,148,0,1700,1774,-74000000,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,32,motif-only-incremental,0,1,2638,0,148,0,4356,4094,262000000,11,11,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,64,motif-only-incremental,0,1,2638,0,148,0,12740,11806,934000000,3,3,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,128,motif-only-incremental,0,1,2638,0,148,0,41796,39518,2278000000,2,2,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,balanced-six-depth-cycle,0,,motif-only-incremental,0,6,2638,0,148,0,61816,58963,2853000000,1,6,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,5,motif-only-incremental,1,1,2638,0,148,0,468,773,-305000148,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,8,motif-only-incremental,1,1,2638,0,148,0,756,998,-242000148,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,16,motif-only-incremental,1,1,2638,0,148,0,1700,1774,-74000148,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,32,motif-only-incremental,1,1,2638,0,148,0,4356,4094,261999852,11,11,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,64,motif-only-incremental,1,1,2638,0,148,0,12740,11806,933999852,3,3,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,128,motif-only-incremental,1,1,2638,0,148,0,41796,39518,2277999852,2,2,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,balanced-six-depth-cycle,0,,motif-only-incremental,1,6,2638,0,148,0,61816,58963,2852999112,1,6,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,5,motif-only-incremental,10,1,2638,0,148,0,468,773,-305001480,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,8,motif-only-incremental,10,1,2638,0,148,0,756,998,-242001480,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,16,motif-only-incremental,10,1,2638,0,148,0,1700,1774,-74001480,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,32,motif-only-incremental,10,1,2638,0,148,0,4356,4094,261998520,11,11,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,64,motif-only-incremental,10,1,2638,0,148,0,12740,11806,933998520,3,3,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,128,motif-only-incremental,10,1,2638,0,148,0,41796,39518,2277998520,2,2,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,balanced-six-depth-cycle,0,,motif-only-incremental,10,6,2638,0,148,0,61816,58963,2852991120,1,6,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,5,motif-only-incremental,100,1,2638,0,148,0,468,773,-305014800,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,8,motif-only-incremental,100,1,2638,0,148,0,756,998,-242014800,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,16,motif-only-incremental,100,1,2638,0,148,0,1700,1774,-74014800,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,32,motif-only-incremental,100,1,2638,0,148,0,4356,4094,261985200,11,11,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,64,motif-only-incremental,100,1,2638,0,148,0,12740,11806,933985200,3,3,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,128,motif-only-incremental,100,1,2638,0,148,0,41796,39518,2277985200,2,2,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,balanced-six-depth-cycle,0,,motif-only-incremental,100,6,2638,0,148,0,61816,58963,2852911200,1,6,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,5,motif-only-incremental,1000,1,2638,0,148,0,468,773,-305148000,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,8,motif-only-incremental,1000,1,2638,0,148,0,756,998,-242148000,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,16,motif-only-incremental,1000,1,2638,0,148,0,1700,1774,-74148000,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,32,motif-only-incremental,1000,1,2638,0,148,0,4356,4094,261852000,11,11,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,64,motif-only-incremental,1000,1,2638,0,148,0,12740,11806,933852000,3,3,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,0,128,motif-only-incremental,1000,1,2638,0,148,0,41796,39518,2277852000,2,2,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,balanced-six-depth-cycle,0,,motif-only-incremental,1000,6,2638,0,148,0,61816,58963,2852112000,1,6,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,5,full-stack-from-blank,0,1,4455874,0,6916,0,468,773,-305000000,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,8,full-stack-from-blank,0,1,4455874,0,6916,0,756,998,-242000000,,,,,,,
