protocol,mode,claim_eligible,cell,passed,blank_fp,acquired_fp,reversed_fp,bootstrap_fp,learned_targets,changed_targets,acquired_resistance,old_final_resistance,trained_outputs,crossed_outputs,singleton_outputs,changed_outputs,old_outputs,full_deallocation,bootstrap,self_evidence,controls,ambiguity,replay,marginals,quiescent,work,persistent_bytes,arrow_count
adc58816e9f78634879c16140de2bb508c5f11261a13d871063e1aa0d68d019f,PROBE,false,primary,false,4961b4266646a5d1,711828e115e4bbed,48238f88a2c252bd,8a4d1643842dd607,c1001000|c1001001,c1001003|c1001002,138,164,2,0,0,2,2,true,true,true,true,true,true,true,true,23382,2176,16
adc58816e9f78634879c16140de2bb508c5f11261a13d871063e1aa0d68d019f,PROBE,false,mirror,false,0cfc489c46626cc1,3347cd5f84b89ae3,9cbd7da5aace4fcd,54c748d77b943efd,c2001000|c2001001,c2001003|c2001002,138,164,2,0,0,2,2,true,true,true,true,true,true,true,true,23382,2176,16
adc58816e9f78634879c16140de2bb508c5f11261a13d871063e1aa0d68d019f,PROBE,false,allocation-reverse,false,666b4408d3691355,70f24b53dc1336e7,86095c30a3e4a0e9,e1b3a2541bee47b9,c3001000|c3001001,c3001003|c3001002,138,164,2,0,0,2,2,true,true,true,true,true,true,true,true,23382,2176,16
adc58816e9f78634879c16140de2bb508c5f11261a13d871063e1aa0d68d019f,PROBE,false,permuted,false,f858b04d74773d61,31956adbc9ed69fd,80489fb839de6115,85511b553f26f4a7,c4001000|c4001001,c4001003|c4001002,138,164,2,0,0,2,2,true,true,true,true,true,true,true,true,23382,2176,16
