stratum,world,namespace,traversals,consequence_firings,trace_firings,return_arrivals,outward_crossings,resistance_before,resistance_after,live_after,heldout_crossings,fresh_live_paths,distractor_firings,quiescent,local_return_updates,pressure_updates,deallocations,work,persistent_bytes,fingerprint,duplicate_exact,passed
G0,left,27950841856,24|0,24|24,24|24,24|24,24|24,3|3,29|0,true|false,1|0,0|0,0,true,93,695,1,9306,2224,6538277300930869753,true,true
G0,right,27951890432,0|24,24|24,24|24,24|24,24|24,3|3,0|29,false|true,0|1,0|0,0,true,93,695,1,9306,2224,16058825691854719017,true,true
G0,both,27952939008,24|24,24|24,24|24,24|24,24|24,3|3,29|29,true|true,1|1,0|0,0,true,186,696,0,11763,2224,7400553905137670155,true,true
G0,correlation,27953987584,0|0,24|24,24|24,24|24,24|24,3|3,0|0,false|false,0|0,0|0,0,true,0,694,2,7224,2224,15587418469343099743,true,true
G0,crossed-return,27955036160,24|0,1|24,1|24,0|1,1|24,3|3,0|0,false|false,0|0,0|0,0,true,0,606,2,6095,2160,477532477606270375,true,true
G0,no-return,27956084736,24|0,1|24,1|24,0|0,1|24,3|3,0|0,false|false,0|0,0|0,0,true,0,582,2,5893,2096,14756367171073538943,true,true
G0,left-dominant,27957133312,24|6,24|19,24|19,24|19,24|19,3|3,29|0,true|false,1|0,0|0,0,true,94,688,1,9257,2224,15016862742789510540,true,true
G0,right-dominant,27958181888,6|24,19|24,19|24,19|24,19|24,3|3,0|29,false|true,0|1,0|0,0,true,94,688,1,9252,2224,14786705754659463112,true,true
G0,left-then-right,27959230464,12|13,24|25,24|25,24|25,24|25,3|3,0|18,false|true,0|1,0|1,0,true,63,747,2,10000,2224,1378271863379826952,true,true
G0,right-then-left,27960279040,13|12,25|24,25|24,25|24,25|24,3|3,18|0,true|false,1|0,1|0,0,true,63,747,2,10000,2224,1775806911975076522,true,true
G0,left-observational-overload,27961327616,24|0,24|72,24|72,24|72,24|72,3|3,28|0,true|false,1|0,0|0,0,true,93,1444,1,17159,2224,16883309574874489013,true,true
G0,right-observational-overload,27962376192,0|24,72|24,72|24,72|24,72|24,3|3,0|28,false|true,0|1,0|0,0,true,93,1444,1,17159,2224,13287276681926588027,true,true
G1,left,27967619072,24|0,24|24,24|24,24|24,24|24,3|3,26|0,true|false,1|0,0|0,192,true,93,1415,1,31242,3504,7933018450635556610,true,true
G1,right,27968667648,0|24,24|24,24|24,24|24,24|24,3|3,0|26,false|true,0|1,0|0,192,true,93,1415,1,31242,3504,17641616059281917874,true,true
G1,both,27969716224,24|24,24|24,24|24,24|24,24|24,3|3,26|26,true|true,1|1,0|0,192,true,186,1430,0,34865,3504,596881791217614772,true,true
G1,correlation,27970764800,0|0,24|24,24|24,24|24,24|24,3|3,0|0,false|false,0|0,0|0,192,true,0,1400,2,27994,3504,13474528899924801435,true,true
G1,crossed-return,27971813376,24|0,1|24,1|24,0|1,1|24,3|3,0|0,false|false,0|0,0|0,192,true,0,1217,2,25882,3440,18254011983463759155,true,true
G1,no-return,27972861952,24|0,1|24,1|24,0|0,1|24,3|3,0|0,false|false,0|0,0|0,192,true,0,1184,2,25287,3376,15913780608690237518,true,true
G1,left-dominant,27973910528,24|6,24|19,24|19,24|19,24|19,3|3,26|0,true|false,1|0,0|0,192,true,94,1409,1,31122,3504,925050180161630183,true,true
G1,right-dominant,27974959104,6|24,19|24,19|24,19|24,19|24,3|3,0|26,false|true,0|1,0|0,192,true,94,1409,1,31117,3504,9483314243839299189,true,true
G1,left-then-right,27976007680,12|13,24|25,24|25,24|25,24|25,3|3,0|16,false|true,0|1,0|1,192,true,63,1471,2,32425,3504,6014174141111841905,true,true
G1,right-then-left,27977056256,13|12,25|24,25|24,25|24,25|24,3|3,16|0,true|false,1|0,1|0,192,true,63,1471,2,32425,3504,5219718215887580181,true,true
G1,left-observational-overload,27978104832,24|0,24|72,24|72,24|72,24|72,3|3,25|0,true|false,1|0,0|0,192,true,93,2100,1,41335,3504,16562134634401975743,true,true
G1,right-observational-overload,27979153408,0|24,72|24,72|24,72|24,72|24,3|3,0|25,false|true,0|1,0|0,192,true,93,2100,1,41335,3504,18066096224915064515,true,true
G2,left,27984396288,24|0,24|24,24|24,24|24,24|24,3|3,24|0,true|false,1|0,0|0,576,true,93,2249,1,106764,6064,6323624447356239381,true,true
G2,right,27985444864,0|24,24|24,24|24,24|24,24|24,3|3,0|24,false|true,0|1,0|0,576,true,93,2249,1,106764,6064,10510038168182945847,true,true
G2,both,27986493440,24|24,24|24,24|24,24|24,24|24,3|3,24|24,true|true,1|1,0|0,576,true,186,2260,0,112687,6064,7481090231381695900,true,true
G2,correlation,27987542016,0|0,24|24,24|24,24|24,24|24,3|3,0|0,false|false,0|0,0|0,576,true,0,2238,2,101216,6064,7603917235251037883,true,true
G2,crossed-return,27988590592,24|0,1|24,1|24,0|1,1|24,3|3,0|0,false|false,0|0,0|0,576,true,0,2140,2,96837,6000,4212320124302421518,true,true
G2,no-return,27989639168,24|0,1|24,1|24,0|0,1|24,3|3,0|0,false|false,0|0,0|0,576,true,0,2106,2,95449,5936,3851843685793028581,true,true
G2,left-dominant,27990687744,24|6,24|19,24|19,24|19,24|19,3|3,24|0,true|false,1|0,0|0,576,true,94,2244,1,106501,6064,7672311653770552567,true,true
G2,right-dominant,27991736320,6|24,19|24,19|24,19|24,19|24,3|3,0|24,false|true,0|1,0|0,576,true,94,2244,1,106496,6064,5450154522947822881,true,true
G2,left-then-right,27992784896,12|13,24|25,24|25,24|25,24|25,3|3,0|15,false|true,0|1,0|1,576,true,63,2302,2,108923,6064,5468507151551040923,true,true
G2,right-then-left,27993833472,13|12,25|24,25|24,25|24,25|24,3|3,15|0,true|false,1|0,1|0,576,true,63,2302,2,108923,6064,13022060509660281909,true,true
G2,left-observational-overload,27994882048,24|0,24|72,24|72,24|72,24|72,3|3,23|0,true|false,1|0,0|0,576,true,93,3373,1,121904,6064,7052560869860714329,true,true
G2,right-observational-overload,27995930624,0|24,72|24,72|24,72|24,72|24,3|3,0|23,false|true,0|1,0|0,576,true,93,3373,1,121904,6064,10739131806558574527,true,true
G3,left,28001173504,24|0,24|24,24|24,24|24,24|24,3|3,22|0,true|false,1|0,0|0,1152,true,93,3736,1,300923,9904,17174166240460499158,true,true
G3,right,28002222080,0|24,24|24,24|24,24|24,24|24,3|3,0|22,false|true,0|1,0|0,1152,true,93,3736,1,300923,9904,16579133055124381136,true,true
G3,both,28003270656,24|24,24|24,24|24,24|24,24|24,3|3,22|22,true|true,1|1,0|0,1152,true,186,3750,0,310305,9904,3339032346595944535,true,true
G3,correlation,28004319232,0|0,24|24,24|24,24|24,24|24,3|3,0|0,false|false,0|0,0|0,1152,true,0,3722,2,291916,9904,5798168669007305337,true,true
G3,crossed-return,28005367808,24|0,1|24,1|24,0|1,1|24,3|3,0|0,false|false,0|0,0|0,1152,true,0,3486,2,285311,9840,7935101351256896730,true,true
