seed,mirror,reverse_cells,reverse_arrows,spacing,world,namespace,initial_fingerprint,after_trigger_fingerprint,trigger_firings,b_firings,closure_firings,transient_firings,output_firings,positive_arrivals,negative_arrivals,negative_tick,closure_tick,output_tick,trigger_quiescent,final_quiescent,deallocations,complete_fingerprint,permanent_fingerprint,work,storage,duplicate_exact,passed
3,true,true,false,10,b-tick-1-after-trigger,0x644100000,0xdcdbfdc4afe30f23,0xc3f006b0f79113d6,1,1,1,0,0,2,1,1,2,-1,true,true,0,0xa0be39fac8a6270c,0xaa9bb12e08311363,48,496,true,true
3,true,true,false,10,b-tick-2-before-closure,0x644200000,0xe10a35db0821d298,0x6734b36c48125a99,1,1,1,0,0,2,1,2,2,-1,true,true,0,0xb3551dfe82fbcaf2,0x123a25f02cfc2cf8,48,496,true,true
3,true,true,false,10,b-tick-2-after-closure,0x644300000,0xd0a34d00a4f7315f,0xc4e0507597a07db6,1,1,1,1,1,2,1,2,2,2,true,true,0,0x570b0daf32f5373f,0xeeab48faa75e9482,66,496,true,true
3,true,true,false,10,b-tick-3-after-output,0x644400000,0xcd121842636c52a5,0xf89d95ae8f881e30,1,1,1,1,1,2,1,3,2,2,true,true,0,0xdc946be2a7bbfb41,0x3fc690c9517be77c,66,496,true,true
3,true,true,false,10,b-blocked,0x644500000,0xd0a9d2b5bc368d00,0xa19486213a4e9021,1,1,1,1,1,2,0,-1,2,2,true,true,0,0x682d6dcd164ccd54,0xb4c7e5d590887680,57,496,true,true
3,true,true,false,10,b-stale,0x644600000,0xb6e915f75dbac4ca,0x5befafe602f956cb,1,1,1,1,1,2,0,-1,2,2,true,true,1,0x5320ff03d641073b,0x23c3d4cc12f1b6c9,71,496,true,true
4,false,false,true,10,b-absent-through-closure,0x645000000,0xd32831017247dc62,0x38c17f3e4df4d3a7,1,0,1,1,1,2,0,-1,2,2,true,true,0,0xc936fa599d55cd4b,0xa9b4c40919025cf2,46,496,true,true
4,false,false,true,10,b-tick-1-after-trigger,0x645100000,0xf90b039a048e0732,0x895fae5bc607cc97,1,1,1,0,0,2,1,1,2,-1,true,true,0,0x4e002d07290b4f59,0xdf24a1a6906f18a2,47,496,true,true
4,false,false,true,10,b-tick-2-before-closure,0x645200000,0xd728511cfb85f345,0x5dba874f055a0064,1,1,1,0,0,2,1,2,2,-1,true,true,0,0xfbaa70906bcb2b43,0xc08ed881fcc2b715,48,496,true,true
4,false,false,true,10,b-tick-2-after-closure,0x645300000,0x35e69cc4511be256,0x6be62d34c487e7a7,1,1,1,1,1,2,1,2,2,2,true,true,0,0xfdc00d2413f1e622,0xaf496a3591628e23,66,496,true,true
4,false,false,true,10,b-tick-3-after-output,0x645400000,0x31a52d1fbfdaa1c8,0x5a71fc66db54f42d,1,1,1,1,1,2,1,3,2,2,true,true,0,0x6e911acfc666d460,0x894e7544887b5321,66,496,true,true
4,false,false,true,10,b-blocked,0x645500000,0xf5a94b8ba83ea6ed,0xaf7785f8625e0524,1,1,1,1,1,2,0,-1,2,2,true,true,0,0xc04971a7f5d3c67d,0x4d34d585522ee81d,56,496,true,true
4,false,false,true,10,b-stale,0x645600000,0xca2a266d814fd3ab,0x8a5b47024f465e7a,1,1,1,1,1,2,0,-1,2,2,true,true,1,0x96412a52b1798246,0x5baa5511bca285dc,71,496,true,true
5,true,false,true,10,b-absent-through-closure,0x646000000,0x9846847a4fbc39a1,0x46e3bae71e29d56c,1,0,1,1,1,2,0,-1,2,2,true,true,0,0x83ca2b25416396b0,0x64e92e62a4216d21,46,496,true,true
5,true,false,true,10,b-tick-1-after-trigger,0x646100000,0x8e72c0669554351,0x233b8ed997df687c,1,1,1,0,0,2,1,1,2,-1,true,true,0,0xf6ec8660b15f8b02,0xb573559c6e802ef1,47,496,true,true
5,true,false,true,10,b-tick-2-before-closure,0x646200000,0x6d32e7387ecd194e,0xe93f1f00076b4adf,1,1,1,0,0,2,1,2,2,-1,true,true,0,0x1b5c04f3e64b3750,0x1cb6ffb9d9fb5c8e,48,496,true,true
5,true,false,true,10,b-tick-2-after-closure,0x646300000,0x15438f107dc174f1,0x92e7485ada0e8d08,1,1,1,1,1,2,1,2,2,2,true,true,0,0xa5416ec03d700861,0xf0cccdd2e4f6fe68,66,496,true,true
5,true,false,true,10,b-tick-3-after-output,0x646400000,0xc494cfa79877dc7f,0x8d86f14b2d8a2052,1,1,1,1,1,2,1,3,2,2,true,true,0,0x32f010c5f14af573,0x58c6a0bb6f530b42,66,496,true,true
5,true,false,true,10,b-blocked,0x646500000,0x56aadc452e96bc6e,0xac15e493bce9f31f,1,1,1,1,1,2,0,-1,2,2,true,true,0,0x48ea8c7a7670774e,0x88a20aae164e4a0e,56,496,true,true
5,true,false,true,10,b-stale,0x646600000,0x80536af61131fbd4,0xab6fee1f6da9ec25,1,1,1,1,1,2,0,-1,2,2,true,true,1,0x56996875d7f6dd39,0xbe13f5a1a6cc0893,71,496,true,true
6,false,true,true,10,b-absent-through-closure,0x647000000,0x94b151cb93205268,0xcd0a011a7e12e925,1,0,1,1,1,2,0,-1,2,2,true,true,0,0xac4d9275df9c4d65,0xcc4ec4e394636318,46,496,true,true
6,false,true,true,10,b-tick-1-after-trigger,0x647100000,0x40b83f3e66909b18,0x81282e9d1e124e15,1,1,1,0,0,2,1,1,2,-1,true,true,0,0x76695075b549b06f,0x188a589aa1062328,48,496,true,true
6,false,true,true,10,b-tick-2-before-closure,0x647200000,0xb1f8f2dda6d59303,0xa7fb80eb684889f2,1,1,1,0,0,2,1,2,2,-1,true,true,0,0xc2eb0b211be8a331,0xd8ea26e309607273,48,496,true,true
6,false,true,true,10,b-tick-2-after-closure,0x647300000,0xe490c893b03bc848,0xed5c416e9153ea09,1,1,1,1,1,2,1,2,2,2,true,true,0,0xac61ec0b09132c34,0x996bbdca02c2a901,66,496,true,true
6,false,true,true,10,b-tick-3-after-output,0x647400000,0x552522222ef9f202,0xba4b69ab2bdb085f,1,1,1,1,1,2,1,3,2,2,true,true,0,0xff84dca87e54cd3a,0xeb21e556265b306f,66,496,true,true
6,false,true,true,10,b-blocked,0x647500000,0xdfeddfbdd4c7dd8b,0xd6734ecbe28bee52,1,1,1,1,1,2,0,-1,2,2,true,true,0,0x8468f20b3568c4c7,0x46b739fbff9fd05b,57,496,true,true
6,false,true,true,10,b-stale,0x647600000,0xb2ffa75155f52d6d,0x2da3ccc772590b2c,1,1,1,1,1,2,0,-1,2,2,true,true,1,0x818161788cd858cc,0xa82319fc8a496c66,71,496,true,true
