stratum,world,namespace,traversals,consequence_firings,trace_firings,return_arrivals,outward_crossings,resistance_before,resistance_after,live_after,heldout_crossings,fresh_live_paths,distractor_firings,quiescent,local_return_updates,pressure_updates,deallocations,work,persistent_bytes,fingerprint,duplicate_exact,passed
G2,left-then-right,27455913984,12|13,24|25,24|25,24|27,24|25,3|3,0|15,false|true,0|1,0|1,576,true,63,2302,2,108913,6064,17713292462819261179,true,false
G2,right-then-left,27456962560,13|12,25|24,25|24,27|24,25|24,3|3,15|0,true|false,1|0,1|0,576,true,63,2302,2,108913,6064,15710498163098916245,true,false
G2,left-observational-overload,27458011136,24|0,24|72,24|72,24|72,24|72,3|3,23|0,true|false,1|0,0|0,576,true,93,3373,1,121904,6064,8403611644399831289,true,true
G2,right-observational-overload,27459059712,0|24,72|24,72|24,72|24,72|24,3|3,0|23,false|true,0|1,0|0,576,true,93,3373,1,121904,6064,2800580809868812703,true,true
G3,left,27464302592,24|0,24|24,24|24,24|24,24|24,3|3,22|0,true|false,1|0,0|0,1152,true,93,3736,1,300923,9904,9432819816336094966,true,true
G3,right,27465351168,0|24,24|24,24|24,24|24,24|24,3|3,0|22,false|true,0|1,0|0,1152,true,93,3736,1,300923,9904,14146464092788513840,true,true
G3,both,27466399744,24|24,24|24,24|24,24|24,24|24,3|3,22|22,true|true,1|1,0|0,1152,true,186,3750,0,310305,9904,10648274252647865527,true,true
G3,correlation,27467448320,0|0,24|24,24|24,24|24,24|24,3|3,0|0,false|false,0|0,0|0,1152,true,0,3722,2,291916,9904,11691234984504461465,true,true
G3,crossed-return,27468496896,24|0,1|24,1|24,0|1,1|24,3|3,0|0,false|false,0|0,0|0,1152,true,0,3486,2,285311,9840,1440369177309654522,true,true
G3,no-return,27469545472,24|0,1|24,1|24,0|0,1|24,3|3,0|0,false|false,0|0,0|0,1152,true,0,3384,2,282727,9776,15881834959599119837,true,true
G3,left-dominant,27470594048,24|6,24|19,24|19,24|19,24|19,3|3,22|0,true|false,1|0,0|0,1152,true,94,3730,1,300443,9904,12332110914076736946,true,true
G3,right-dominant,27471642624,6|24,19|24,19|24,19|24,19|24,3|3,0|22,false|true,0|1,0|0,1152,true,94,3730,1,300438,9904,6519286255776904742,true,true
G3,left-then-right,27472691200,12|13,24|13,24|13,24|15,24|13,3|3,0|0,false|false,0|0,0|0,1152,true,48,3787,3,296389,9904,4265929696615733362,true,false
G3,right-then-left,27473739776,13|12,13|24,13|24,15|24,13|24,3|3,0|0,false|false,0|0,0|0,1152,true,48,3787,3,296389,9904,14573743340338753546,true,false
G3,left-observational-overload,27474788352,24|0,24|72,24|72,24|72,24|72,3|3,20|0,true|false,1|0,0|0,1152,true,93,5405,1,323520,9904,12400942211234566981,true,true
G3,right-observational-overload,27475836928,0|24,72|24,72|24,72|24,72|24,3|3,0|20,false|true,0|1,0|0,1152,true,93,5405,1,323520,9904,16155682420136252571,true,true
