cell,namespace,load,useful,distance,mirrored,reversed_allocation,reversed_insertion,initial_proposals,primary_return_updates,expected_return_updates,useful_live,distractor_live,held_crossings,useful_min_resistance,distractor_max_resistance,recurrent_distractor_proposals,return_free_proposals,return_free_updates,return_free_live,late_return_updates,late_return_live,outside_proposals,outside_crossings,withheld_dead,recurrent_live,stale_dead,replacement_live,replacement_crossings,old_generation,new_generation,evaluator_shuffle_inert,permuted_original_live,permuted_returned_live,quiescent,persistent_bytes,work,fingerprint,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,duplicate_exact,passed
0,570000000,32,4,1,false,false,false,36,18,18,4,0,4,1,0,24,6,0,0,0,0,0,0,false,3,false,false,1,2,2,true,0,4,true,13856,18932,22d04f765e728089,true,true,true,true,true,true,true,true,false,true,true,true,true,false
1,571000000,64,4,1,true,false,false,68,18,18,4,0,4,1,0,24,6,0,0,0,0,0,0,false,3,false,false,1,2,2,true,0,4,true,24096,45044,5f7532f86013c0b0,true,true,true,true,true,true,true,true,false,true,true,true,true,false
2,572000000,128,4,1,false,true,false,132,18,18,4,0,4,1,0,24,6,0,0,0,0,0,0,false,3,false,false,1,2,2,true,0,4,true,44576,134132,29eee3066733c45e,true,true,true,true,true,true,true,true,false,true,true,true,true,false
3,573000000,32,8,1,true,true,false,40,36,36,8,0,8,1,0,24,6,0,0,0,0,0,0,false,7,false,false,1,2,2,true,0,8,true,15136,29858,3caa4daa61deff0d,true,true,true,true,true,true,true,true,false,true,true,true,true,false
4,574000000,64,8,1,false,false,true,72,36,36,8,0,8,1,0,24,6,0,0,0,0,0,0,false,7,false,false,1,73,73,true,0,8,true,25376,61378,b180af9a4396153c,true,true,true,true,true,true,true,true,false,true,true,true,true,false
5,575000000,128,8,1,true,false,true,136,36,36,8,0,8,1,0,24,6,0,0,0,0,0,0,false,7,false,false,1,137,137,true,0,8,true,45856,161218,7828d914cd1136d6,true,true,true,true,true,true,true,true,false,true,true,true,true,false
6,576000000,32,4,2,false,true,true,36,18,18,4,0,4,1,0,24,6,0,0,0,0,0,0,false,3,false,false,1,37,37,true,0,4,true,13856,18941,bae1496f62cc1e9e,true,true,true,true,true,true,true,true,false,true,true,true,true,false
7,577000000,64,4,2,true,true,true,68,18,18,4,0,4,1,0,24,6,0,0,0,0,0,0,false,3,false,false,1,69,69,true,0,4,true,24096,45053,74dc290e14f30ebf,true,true,true,true,true,true,true,true,false,true,true,true,true,false
8,578000000,128,4,2,false,false,false,132,18,18,4,0,4,1,0,24,6,0,0,0,0,0,0,false,3,false,false,1,2,2,true,0,4,true,44576,134125,18e9d710362532c9,true,true,true,true,true,true,true,true,false,true,true,true,true,false
9,579000000,32,8,2,true,false,false,40,36,36,8,0,8,1,0,24,6,0,0,0,0,0,0,false,7,false,false,1,2,2,true,0,8,true,15136,29851,d5cb8995e7899d22,true,true,true,true,true,true,true,true,false,true,true,true,true,false
10,57a000000,64,8,2,false,true,false,72,36,36,8,0,8,1,0,24,6,0,0,0,0,0,0,false,7,false,false,1,2,2,true,0,8,true,25376,61339,dbc5815de59b040b,true,true,true,true,true,true,true,true,false,true,true,true,true,false
11,57b000000,128,8,2,true,true,false,136,36,36,8,0,8,1,0,24,6,0,0,0,0,0,0,false,7,false,false,1,2,2,true,0,8,true,45856,161179,d6ad3973cc8f1865,true,true,true,true,true,true,true,true,false,true,true,true,true,false
