row_id,candidate,stage,family,spec_fingerprint,seed,mirror,reverse_insertion,threshold,coupling,load,spacing,train_spacing,allocation,genuine,expected_effect,learning_work,execution_work,queue_work,delivered,generation_checks,temporary_peak_count,temporary_peak_bytes_lower_bound,temporary_accounting,persistent_bytes,arrow_records,live_structures,proposals,deallocations,return_updates,eligibility_writes,pressure_updates,locus_firings,effect_firings,transmissions,crossings,false_conjunction,resistance_start,resistance_end,coupling_start,coupling_end,reversal_cost,deallocation_cost,reacquisition_cost,timing_tolerance,dense_attribution_ok,recursion_depth,heldout_reuse,replay_equal,naturally_quiescent,runaway,complete_fingerprint,permanent_fingerprint,row_pass
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d5-tr2-a2,CJ-B,probe,timing_transfer,5231339914739747887,1101,false,false,2,1,0,5,2,2,true,false,25,14,2,5,5,2,80,LOWER_BOUND,272,2,0,0,0,0,0,2,0,0,0,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,1823269947368664912,3313311511266726765,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d-1-tr4-a2,CJ-B,probe,timing_transfer,4979450129510239161,1101,false,false,2,1,0,-1,4,2,true,false,25,14,2,5,5,2,80,LOWER_BOUND,272,2,0,0,0,0,0,2,0,0,0,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,10695157093130761632,3313311511266726765,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d0-tr4-a2,CJ-B,probe,timing_transfer,12945375960177440737,1101,false,false,2,1,0,0,4,2,true,false,25,35,2,7,7,2,80,LOWER_BOUND,272,2,0,0,0,0,2,2,0,1,2,1,false,0,0,0,0,0,0,0,1,false,0,true,false,true,false,5485089784097226473,3313311511266726765,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d1-tr4-a2,CJ-B,probe,timing_transfer,15784665794114011815,1101,false,false,2,1,0,1,4,2,true,false,25,14,2,5,5,2,80,LOWER_BOUND,272,2,0,0,0,0,0,2,0,0,0,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,17713674293280518284,3313311511266726765,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d2-tr4-a2,CJ-B,probe,timing_transfer,15424472880598072953,1101,false,false,2,1,0,2,4,2,true,false,25,14,2,5,5,2,80,LOWER_BOUND,272,2,0,0,0,0,0,2,0,0,0,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,16109137365612108215,3313311511266726765,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d3-tr4-a2,CJ-B,probe,timing_transfer,16730401560145936451,1101,false,false,2,1,0,3,4,2,true,false,25,14,2,5,5,2,80,LOWER_BOUND,272,2,0,0,0,0,0,2,0,0,0,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,12836182954200161814,3313311511266726765,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d4-tr4-a2,CJ-B,probe,timing_transfer,2521952401003816993,1101,false,false,2,1,0,4,4,2,true,false,25,14,2,5,5,2,80,LOWER_BOUND,272,2,0,0,0,0,0,2,0,0,0,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,15040055326430371689,3313311511266726765,true
coverage-correction-v2-timing-transfer-s1101-m0-r0-t2-c1-l0-d5-tr4-a2,CJ-B,probe,timing_transfer,17032691472307675863,1101,false,false,2,1,0,5,4,2,true,false,25,14,2,5,5,2,80,LOWER_BOUND,272,2,0,0,0,0,0,2,0,0,0,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,1823269947368664912,3313311511266726765,true
coverage-correction-v2-contemporary-reversal-s1101-m0-r0-t2-c1-l0-d0-tr0-a2,CJ-B,probe,shared_control,16992723679763138523,1101,false,false,2,1,0,0,0,2,true,true,420,130,38,33,33,4,160,LOWER_BOUND,912,9,2,3,3,8,16,13,2,2,16,8,false,1,5,1,2,548,5,43,0,false,0,true,false,true,false,13592689025637745656,10792069263439256589,false
coverage-correction-v2-burst-4-s1101-m0-r0-t2-c2-l0-d1-tr0-a2,CJ-B,probe,same_source_bursts,13536086236328990790,1101,false,false,2,2,0,1,0,2,false,false,0,140,18,12,12,4,160,LOWER_BOUND,272,2,0,0,0,6,8,0,4,4,8,4,true,0,0,0,0,0,0,0,0,false,0,false,false,true,false,63957063456211682,16401529386817084706,false
