seed,stratum,scenario,namespace,schedule_class,arrival_order,first_use_delay,o1_first_observed_dead_wait,correspondence_resistance,directional_live_paths,directional_min_resistance,directional_max_resistance,training_continuation_firings,training_consequence_firings,training_trace_arrivals,training_trace_firings,training_local_returns,training_effects,training_distractor_firings,training_source_refiring,heldout_continuation_firings,heldout_consequence_firings,heldout_trace_arrivals,heldout_trace_firings,heldout_local_returns,heldout_effects,postgap_effects,heldout_source_refiring,postgap_source_refiring,training_quiescent,heldout_quiescent,postgap_quiescent,work,fingerprint,duplicate_exact,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,passed
10,G2,adversarial-correlation-reverse-traversal,0x5e8000000,reverse*24,normal,20,30,45|45,0|3,0|40,0|40,0|24,72|24,144|96,72|24,72|24,72|24,576,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,165389,7257625396027737723,true,true,true,true,true,true,true,true,true,true,true,true
11,G3,forward-participation,0x5f2000000,forward*24,reverse,21,30,45|45,4|0,40|0,40|0,24|0,24|24,48|48,24|24,24|24,24|24,1152,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,365565,9612309231561164281,true,true,true,true,true,true,true,true,true,true,true,true
11,G3,reverse-participation,0x5f3000000,reverse*24,reverse,21,30,45|45,0|4,0|40,0|40,0|24,24|24,48|48,24|24,24|24,24|24,1152,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,365565,17203109585286964137,true,true,true,true,true,true,true,true,true,true,true,true
11,G3,correlation-only,0x5f4000000,no-traversal*24,reverse,21,30,45|45,0|0,0|0,0|0,0|0,24|24,48|48,24|24,24|24,24|24,1152,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,359009,7760882696672280460,true,true,true,true,true,true,true,true,true,true,true,true
11,G3,participation-without-return,0x5f5000000,forward*24,reverse,21,30,46|46,0|0,0|0,0|0,24|0,1|24,1|24,0|0,0|0,1|24,1152,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,346768,5798789229049586760,true,true,true,true,true,true,true,true,true,true,true,true
11,G3,joint-participation,0x5f6000000,joint*24,reverse,21,30,45|45,4|4,40|40,40|40,24|24,24|24,48|48,24|24,24|24,24|24,1152,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,372808,16073885241445852209,true,true,true,true,true,true,true,true,true,true,true,true
11,G3,adversarial-correlation-forward-traversal,0x5f7000000,forward*24,reverse,21,30,45|45,4|0,40|0,40|0,24|0,24|72,96|144,24|72,24|72,24|72,1152,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,395492,9848014841075309941,true,true,true,true,true,true,true,true,true,true,true,true
11,G3,adversarial-correlation-reverse-traversal,0x5f8000000,reverse*24,reverse,21,30,45|45,0|4,0|40,0|40,0|24,72|24,144|96,72|24,72|24,72|24,1152,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,395540,6932672234549972325,true,true,true,true,true,true,true,true,true,true,true,true
12,G0,forward-participation,0x602000000,forward*24,normal,18,30,46|46,1|0,41|0,41|0,24|0,24|24,48|48,24|24,24|24,24|24,0,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,22873,6611389561471128336,true,true,true,true,true,true,true,true,true,true,true,true
12,G0,reverse-participation,0x603000000,reverse*24,normal,18,30,46|46,0|1,0|41,0|41,0|24,24|24,48|48,24|24,24|24,24|24,0,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,22873,15155759051816198954,true,true,true,true,true,true,true,true,true,true,true,true
12,G0,correlation-only,0x604000000,no-traversal*24,normal,18,30,46|46,0|0,0|0,0|0,0|0,24|24,48|48,24|24,24|24,24|24,0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,21187,1028188688994062516,true,true,true,true,true,true,true,true,true,true,true,true
12,G0,participation-without-return,0x605000000,forward*24,normal,18,30,46|46,0|0,0|0,0|0,24|0,1|24,1|24,0|0,0|0,1|24,0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,16174,6762160624260558933,true,true,true,true,true,true,true,true,true,true,true,true
12,G0,joint-participation,0x606000000,joint*24,normal,18,30,46|46,1|1,41|41,41|41,24|24,24|24,48|48,24|24,24|24,24|24,0,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,24814,2746337276657743464,true,true,true,true,true,true,true,true,true,true,true,true
12,G0,adversarial-correlation-forward-traversal,0x607000000,forward*24,normal,18,30,46|46,1|0,41|0,41|0,24|0,24|72,96|144,24|72,24|72,24|72,0,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,35070,11488751554943234317,true,true,true,true,true,true,true,true,true,true,true,true
12,G0,adversarial-correlation-reverse-traversal,0x608000000,reverse*24,normal,18,30,46|46,0|1,0|41,0|41,0|24,72|24,144|96,72|24,72|24,72|24,0,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,35118,11238439603254587923,true,true,true,true,true,true,true,true,true,true,true,true
13,G1,forward-participation,0x612000000,forward*24,reverse,19,30,46|46,2|0,41|0,41|0,24|0,24|24,48|48,24|24,24|24,24|24,192,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,52031,11398607203212810436,true,true,true,true,true,true,true,true,true,true,true,true
13,G1,reverse-participation,0x613000000,reverse*24,reverse,19,30,46|46,0|2,0|41,0|41,0|24,24|24,48|48,24|24,24|24,24|24,192,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,52031,14093121325423533384,true,true,true,true,true,true,true,true,true,true,true,true
13,G1,correlation-only,0x614000000,no-traversal*24,reverse,19,30,46|46,0|0,0|0,0|0,0|0,24|24,48|48,24|24,24|24,24|24,192,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,49259,15026086242243957535,true,true,true,true,true,true,true,true,true,true,true,true
13,G1,participation-without-return,0x615000000,forward*24,reverse,19,30,46|46,0|0,0|0,0|0,24|0,1|24,1|24,0|0,0|0,1|24,192,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,43121,5153765524681492023,true,true,true,true,true,true,true,true,true,true,true,true
13,G1,joint-participation,0x616000000,joint*24,reverse,19,30,46|46,2|2,41|41,41|41,24|24,24|24,48|48,24|24,24|24,24|24,192,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,55154,260581628495324234,true,true,true,true,true,true,true,true,true,true,true,true
13,G1,adversarial-correlation-forward-traversal,0x617000000,forward*24,reverse,19,30,45|45,2|0,40|0,40|0,24|0,24|72,96|144,24|72,24|72,24|72,192,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,67478,14211706679622668157,true,true,true,true,true,true,true,true,true,true,true,true
13,G1,adversarial-correlation-reverse-traversal,0x618000000,reverse*24,reverse,19,30,45|45,0|2,0|40,0|40,0|24,72|24,144|96,72|24,72|24,72|24,192,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,67526,6348639518820401451,true,true,true,true,true,true,true,true,true,true,true,true
14,G2,forward-participation,0x622000000,forward*24,normal,20,30,46|46,3|0,41|0,41|0,24|0,24|24,48|48,24|24,24|24,24|24,576,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,143951,6251374560312826028,true,true,true,true,true,true,true,true,true,true,true,true
14,G2,reverse-participation,0x623000000,reverse*24,normal,20,30,46|46,0|3,0|41,0|41,0|24,24|24,48|48,24|24,24|24,24|24,576,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,143951,3566814017832998236,true,true,true,true,true,true,true,true,true,true,true,true
14,G2,correlation-only,0x624000000,no-traversal*24,normal,20,30,46|46,0|0,0|0,0|0,0|0,24|24,48|48,24|24,24|24,24|24,576,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,139637,4638395112990712860,true,true,true,true,true,true,true,true,true,true,true,true
14,G2,participation-without-return,0x625000000,forward*24,normal,20,30,46|46,0|0,0|0,0|0,24|0,1|24,1|24,0|0,0|0,1|24,576,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,131051,2062149903712291433,true,true,true,true,true,true,true,true,true,true,true,true
14,G2,joint-participation,0x626000000,joint*24,normal,20,30,46|46,3|3,41|41,41|41,24|24,24|24,48|48,24|24,24|24,24|24,576,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,148760,7059007362035457931,true,true,true,true,true,true,true,true,true,true,true,true
14,G2,adversarial-correlation-forward-traversal,0x627000000,forward*24,normal,20,30,45|45,3|0,40|0,40|0,24|0,24|72,96|144,24|72,24|72,24|72,576,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,165341,17392842167695371425,true,true,true,true,true,true,true,true,true,true,true,true
14,G2,adversarial-correlation-reverse-traversal,0x628000000,reverse*24,normal,20,30,45|45,0|3,0|40,0|40,0|24,72|24,144|96,72|24,72|24,72|24,576,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,165389,6536339445824588929,true,true,true,true,true,true,true,true,true,true,true,true
15,G3,forward-participation,0x632000000,forward*24,reverse,21,30,45|45,4|0,40|0,40|0,24|0,24|24,48|48,24|24,24|24,24|24,1152,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,365565,13279388475627540035,true,true,true,true,true,true,true,true,true,true,true,true
15,G3,reverse-participation,0x633000000,reverse*24,reverse,21,30,45|45,0|4,0|40,0|40,0|24,24|24,48|48,24|24,24|24,24|24,1152,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,365565,6600925079512926715,true,true,true,true,true,true,true,true,true,true,true,true
15,G3,correlation-only,0x634000000,no-traversal*24,reverse,21,30,45|45,0|0,0|0,0|0,0|0,24|24,48|48,24|24,24|24,24|24,1152,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,359009,5972467231432758298,true,true,true,true,true,true,true,true,true,true,true,true
15,G3,participation-without-return,0x635000000,forward*24,reverse,21,30,46|46,0|0,0|0,0|0,24|0,1|24,1|24,0|0,0|0,1|24,1152,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,346768,7377238779860488954,true,true,true,true,true,true,true,true,true,true,true,true
15,G3,joint-participation,0x636000000,joint*24,reverse,21,30,45|45,4|4,40|40,40|40,24|24,24|24,48|48,24|24,24|24,24|24,1152,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,372808,7336685501179505287,true,true,true,true,true,true,true,true,true,true,true,true
15,G3,adversarial-correlation-forward-traversal,0x637000000,forward*24,reverse,21,30,45|45,4|0,40|0,40|0,24|0,24|72,96|144,24|72,24|72,24|72,1152,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,395492,9906650443348334183,true,true,true,true,true,true,true,true,true,true,true,true
15,G3,adversarial-correlation-reverse-traversal,0x638000000,reverse*24,reverse,21,30,45|45,0|4,0|40,0|40,0|24,72|24,144|96,72|24,72|24,72|24,1152,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,395540,8966865093565822055,true,true,true,true,true,true,true,true,true,true,true,true
