stage,seed,control,maturity,ratio,phase_offset,budget,incumbent_side,incumbent_route,alternative_route,scheduled_incumbent,scheduled_alternative,executed_incumbent,executed_alternative,returned_incumbent,returned_alternative,unresolved,m6_obs_incumbent,m6_obs_alternative,m6_support_incumbent,m6_support_alternative,m6_margin_incumbent,m6_margin_alternative,m6_eligible_incumbent,m6_eligible_alternative,m5_support_incumbent,m5_support_alternative,m5_rejection_incumbent,m5_rejection_alternative,m5_score_incumbent,m5_score_alternative,live_incumbent,live_alternative,abstentions,applications,independent_side0,independent_side1,class,schedule_exact,exposure_transferred,duplicate_exact
MICRO,1910000000,baseline,0,2:1,0,900,0,0,1,300,600,300,600,300,600,0,300,600,82,600,7,600,true,true,0,141,70,0,-70,141,1,4,689,211,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,0,2:1,0,4500,0,0,1,1500,3000,1500,3000,1500,3000,0,1500,3000,379,3000,3,3000,true,true,0,779,389,0,-389,779,1,4,3332,1168,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,0,2:1,0,9000,0,0,1,3000,6000,3000,6000,3000,6000,0,3000,6000,756,6000,7,6000,true,true,0,1647,823,0,-823,1647,1,4,6530,2470,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,0,2:1,0,18000,0,0,1,6000,12000,6000,12000,6000,12000,0,6000,12000,1503,12000,2,12000,true,true,0,3417,1708,0,-1708,3417,1,4,12875,5125,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,0,4:1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,SUBTHRESHOLD,true,true,true
MICRO,1910000000,baseline,0,4:1,0,90,0,0,1,18,72,18,72,18,72,0,18,72,8,72,3,72,true,true,0,25,6,0,-6,25,1,4,59,31,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,0,4:1,0,900,0,0,1,180,720,180,720,180,720,0,180,720,48,720,1,720,false,true,0,365,91,0,-91,365,1,4,444,456,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,0,4:1,0,4500,0,0,1,900,3600,900,3600,900,3600,0,900,3600,225,3600,0,3600,false,true,0,1429,357,0,-357,1429,1,4,2714,1786,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,0,4:1,0,9000,0,0,1,1800,7200,1800,7200,1800,7200,0,1800,7200,451,7200,1,7200,false,true,0,2873,718,0,-718,2873,1,4,5409,3591,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,0,4:1,0,18000,0,0,1,3600,14400,3600,14400,3600,14400,0,3600,14400,902,14400,1,14400,false,true,0,5701,1425,0,-1425,5701,1,4,10874,7126,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,0,8:1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,SUBTHRESHOLD,true,true,true
MICRO,1910000000,baseline,0,8:1,0,90,0,0,1,10,80,10,80,10,80,0,10,80,5,80,1,80,false,true,0,69,8,0,-8,69,1,4,13,77,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,0,8:1,0,900,0,0,1,100,800,100,800,100,800,0,100,800,37,800,4,800,true,true,0,325,40,0,-40,325,1,4,535,365,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,0,8:1,0,4500,0,0,1,500,4000,500,4000,500,4000,0,500,4000,139,4000,9,4000,true,true,0,437,54,0,-54,437,1,4,4009,491,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,0,8:1,0,9000,0,0,1,1000,8000,1000,8000,1000,8000,0,1000,8000,263,8000,9,8000,true,true,0,1141,142,0,-142,1141,1,4,7717,1283,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,0,8:1,0,18000,0,0,1,2000,16000,2000,16000,2000,16000,0,2000,16000,525,16000,21,16000,true,true,0,2005,250,0,-250,2005,1,4,15745,2255,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,2,1:8,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,2,0,false,false,0,0,0,0,0,0,4,4,2,0,4,4,MIXED,true,true,true
MICRO,1910000000,baseline,2,1:8,0,90,0,0,1,80,10,80,10,80,10,0,82,10,22,10,0,10,false,true,16,5,36,2,-20,3,4,4,33,59,4,4,MIXED,true,true,true
MICRO,1910000000,baseline,2,1:8,0,900,0,0,1,800,100,800,100,800,100,0,802,100,208,100,6,100,true,true,16,19,153,2,-137,17,1,4,712,190,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,2,1:8,0,4500,0,0,1,4000,500,4000,500,4000,500,0,4002,500,1014,500,16,500,true,true,16,81,636,2,-620,79,1,4,3767,735,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,2,1:8,0,9000,0,0,1,8000,1000,8000,1000,8000,1000,0,8002,1000,2008,1000,2,1000,true,true,16,187,1441,2,-1425,185,1,4,7356,1646,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,2,1:8,0,18000,0,0,1,16000,2000,16000,2000,16000,2000,0,16002,2000,4028,2000,9,2000,true,true,16,347,2677,2,-2661,345,1,4,14960,3042,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,2,1:4,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,2,0,false,false,0,0,0,0,0,0,4,4,2,0,4,4,MIXED,true,true,true
MICRO,1910000000,baseline,2,1:4,0,90,0,0,1,72,18,72,18,72,18,0,74,18,22,18,3,18,true,true,11,6,20,2,-9,4,4,4,53,39,4,4,MIXED,true,true,true
MICRO,1910000000,baseline,2,1:4,0,900,0,0,1,720,180,720,180,720,180,0,722,180,184,180,2,180,true,true,11,97,368,2,-357,95,1,4,424,478,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,2,1:4,0,4500,0,0,1,3600,900,3600,900,3600,900,0,3602,900,903,900,3,900,true,true,11,354,1320,2,-1309,352,1,4,2815,1687,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,2,1:4,0,9000,0,0,1,7200,1800,7200,1800,7200,1800,0,7202,1800,1803,1800,1,1800,false,true,11,712,2657,2,-2646,710,1,4,5620,3382,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,2,1:4,0,18000,0,0,1,14400,3600,14400,3600,14400,3600,0,14402,3600,3603,3600,1,3600,false,true,11,1434,5348,2,-5337,1432,1,4,11207,6795,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,2,1:2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,2,0,false,false,0,0,0,0,0,0,4,4,2,0,4,4,MIXED,true,true,true
MICRO,1910000000,baseline,2,1:2,0,90,0,0,1,60,30,60,30,60,30,0,62,30,18,30,2,30,true,true,4,5,11,1,-7,4,4,4,71,21,4,4,MIXED,true,true,true
MICRO,1910000000,baseline,2,1:2,0,900,0,0,1,600,300,600,300,600,300,0,602,300,157,300,5,300,true,true,4,15,30,1,-26,14,1,4,852,50,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,2,1:2,0,4500,0,0,1,3000,1500,3000,1500,3000,1500,0,3002,1500,761,1500,13,1500,true,true,4,45,100,1,-96,44,1,4,4352,150,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,2,1:2,0,9000,0,0,1,6000,3000,6000,3000,6000,3000,0,6002,3000,1507,3000,3,3000,true,true,4,92,206,1,-202,91,1,4,8699,303,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,2,1:2,0,18000,0,0,1,12000,6000,12000,6000,12000,6000,0,12002,6000,3007,6000,8,6000,true,true,4,170,385,1,-381,169,1,4,17442,560,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,2,1:1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,2,0,false,false,0,0,0,0,0,0,4,4,2,0,4,4,MIXED,true,true,true
MICRO,1910000000,baseline,2,1:1,0,90,0,0,1,45,45,45,45,45,45,0,47,45,15,45,4,45,true,true,0,7,6,0,-6,7,4,4,79,13,4,4,MIXED,true,true,true
MICRO,1910000000,baseline,2,1:1,0,900,0,0,1,450,450,450,450,450,450,0,452,450,115,450,2,450,true,true,0,96,95,0,-95,96,1,4,711,191,0,4,ALTERNATIVE,true,true,true
