seed,stratum,scenario,correspondence_resistance,continuation_resistance,training_branch_firings,training_outlet_firings,training_trace_arrivals,training_trace_firings,training_local_returns,training_extra_source_firings,heldout_branch_firings,heldout_outlet_firings,heldout_trace_arrivals,heldout_trace_firings,heldout_local_returns,heldout_effects,postgap_effects,heldout_extra_source_firings,postgap_extra_source_firings,heldout_quiescent,postgap_quiescent,correspondence_acquired,maturation_exact,postgap_exact,training_quiescent,duplicate_exact,work,fingerprint,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,passed
3,S3,no-support,23|23,0|0,0|0,0|0,0|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4419,12195149122560770564,true,true,true,true,true,true,true,true,true,true,true,true,true,true
3,S3,blocked-return,23|23,0|0,8|0,1|0,1|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,5183,11479299470439539420,true,true,true,true,true,true,true,true,true,true,true,true,true,true
3,S3,return-without-effect,23|23,0|0,0|0,0|0,8|8,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4929,16657289582584722320,true,true,true,true,true,true,true,true,true,true,true,true,true,true
3,S3,joint,23|23,18|18,8|8,8|8,16|16,8|8,8|8,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,true,true,true,true,9044,1406474795131235852,true,true,true,true,true,true,true,true,true,true,true,true,true,true
4,S4,support-a,21|21,16|0,8|0,8|0,16|8,8|0,8|0,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,true,true,true,true,6832,1205671932507607523,true,true,true,true,true,true,true,true,true,true,true,true,true,true
4,S4,support-b,21|21,0|16,0|8,0|8,8|16,0|8,0|8,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,true,true,true,true,6824,17569418701956016965,true,true,true,true,true,true,true,true,true,true,true,true,true,true
4,S4,no-support,21|21,0|0,0|0,0|0,0|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4471,2776521427551359576,true,true,true,true,true,true,true,true,true,true,true,true,true,true
4,S4,blocked-return,21|21,0|0,8|0,1|0,1|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,5231,16705531173258580268,true,true,true,true,true,true,true,true,true,true,true,true,true,true
4,S4,return-without-effect,21|21,0|0,0|0,0|0,8|8,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4981,16574849250204544462,true,true,true,true,true,true,true,true,true,true,true,true,true,true
4,S4,joint,21|21,16|16,8|8,8|8,16|16,8|8,8|8,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,true,true,true,true,9100,11736785495288580614,true,true,true,true,true,true,true,true,true,true,true,true,true,true
5,S5,support-a,21|21,16|0,8|0,8|0,16|8,8|0,8|0,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,true,true,true,true,6832,17653398484445161829,true,true,true,true,true,true,true,true,true,true,true,true,true,true
5,S5,support-b,21|21,0|16,0|8,0|8,8|16,0|8,0|8,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,true,true,true,true,6824,18052419994744899055,true,true,true,true,true,true,true,true,true,true,true,true,true,true
5,S5,no-support,21|21,0|0,0|0,0|0,0|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4471,13103860007584958950,true,true,true,true,true,true,true,true,true,true,true,true,true,true
5,S5,blocked-return,21|21,0|0,8|0,1|0,1|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,5231,8923533945490548930,true,true,true,true,true,true,true,true,true,true,true,true,true,true
5,S5,return-without-effect,21|21,0|0,0|0,0|0,8|8,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4981,6155265033992040928,true,true,true,true,true,true,true,true,true,true,true,true,true,true
5,S5,joint,21|21,16|16,8|8,8|8,16|16,8|8,8|8,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,true,true,true,true,9100,4101297082946463788,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6,S0,support-a,22|22,17|0,8|0,8|0,16|8,8|0,8|0,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,true,true,true,true,6805,8569816220399071642,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6,S0,support-b,22|22,0|17,0|8,0|8,8|16,0|8,0|8,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,true,true,true,true,6797,7586327243164199746,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6,S0,no-support,22|22,0|0,0|0,0|0,0|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4445,17516507605161169275,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6,S0,blocked-return,22|22,0|0,8|0,1|0,1|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,5207,10778827876868161577,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6,S0,return-without-effect,22|22,0|0,0|0,0|0,8|8,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4955,6617969751632010846,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6,S0,joint,22|22,17|17,8|8,8|8,16|16,8|8,8|8,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,true,true,true,true,9072,8981710770580356328,true,true,true,true,true,true,true,true,true,true,true,true,true,true
7,S1,support-a,22|22,17|0,8|0,8|0,16|8,8|0,8|0,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,true,true,true,true,6805,6634446991579463816,true,true,true,true,true,true,true,true,true,true,true,true,true,true
7,S1,support-b,22|22,0|17,0|8,0|8,8|16,0|8,0|8,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,true,true,true,true,6797,8909878964949169076,true,true,true,true,true,true,true,true,true,true,true,true,true,true
7,S1,no-support,22|22,0|0,0|0,0|0,0|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4445,8146926808240742329,true,true,true,true,true,true,true,true,true,true,true,true,true,true
7,S1,blocked-return,22|22,0|0,8|0,1|0,1|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,5207,11679921875729385651,true,true,true,true,true,true,true,true,true,true,true,true,true,true
7,S1,return-without-effect,22|22,0|0,0|0,0|0,8|8,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4955,14791433794779755484,true,true,true,true,true,true,true,true,true,true,true,true,true,true
7,S1,joint,22|22,17|17,8|8,8|8,16|16,8|8,8|8,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,true,true,true,true,9072,12417244105925996638,true,true,true,true,true,true,true,true,true,true,true,true,true,true
8,S2,support-a,23|23,18|0,8|0,8|0,16|8,8|0,8|0,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,true,true,true,true,6778,11939561147336732041,true,true,true,true,true,true,true,true,true,true,true,true,true,true
8,S2,support-b,23|23,0|18,0|8,0|8,8|16,0|8,0|8,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,true,true,true,true,6770,14147951097159845227,true,true,true,true,true,true,true,true,true,true,true,true,true,true
8,S2,no-support,23|23,0|0,0|0,0|0,0|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4419,9324948702360825278,true,true,true,true,true,true,true,true,true,true,true,true,true,true
8,S2,blocked-return,23|23,0|0,8|0,1|0,1|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,5183,3236739354255190370,true,true,true,true,true,true,true,true,true,true,true,true,true,true
8,S2,return-without-effect,23|23,0|0,0|0,0|0,8|8,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4929,8075494736051505194,true,true,true,true,true,true,true,true,true,true,true,true,true,true
8,S2,joint,23|23,18|18,8|8,8|8,16|16,8|8,8|8,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,true,true,true,true,9044,13988453232308333170,true,true,true,true,true,true,true,true,true,true,true,true,true,true
9,S3,support-a,23|23,18|0,8|0,8|0,16|8,8|0,8|0,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,true,true,true,true,6778,16599619846392577299,true,true,true,true,true,true,true,true,true,true,true,true,true,true
9,S3,support-b,23|23,0|18,0|8,0|8,8|16,0|8,0|8,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,true,true,true,true,6770,1399464820335908565,true,true,true,true,true,true,true,true,true,true,true,true,true,true
9,S3,no-support,23|23,0|0,0|0,0|0,0|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4419,16742960037803944808,true,true,true,true,true,true,true,true,true,true,true,true,true,true
9,S3,blocked-return,23|23,0|0,8|0,1|0,1|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,5183,3382140961056956772,true,true,true,true,true,true,true,true,true,true,true,true,true,true
9,S3,return-without-effect,23|23,0|0,0|0,0|0,8|8,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4929,16948640135080916580,true,true,true,true,true,true,true,true,true,true,true,true,true,true
9,S3,joint,23|23,18|18,8|8,8|8,16|16,8|8,8|8,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,true,true,true,true,9044,15419814485172911200,true,true,true,true,true,true,true,true,true,true,true,true,true,true
10,S4,support-a,21|21,16|0,8|0,8|0,16|8,8|0,8|0,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,true,true,true,true,6832,6245619695240275815,true,true,true,true,true,true,true,true,true,true,true,true,true,true
10,S4,support-b,21|21,0|16,0|8,0|8,8|16,0|8,0|8,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,true,true,true,true,6824,5690920770723751717,true,true,true,true,true,true,true,true,true,true,true,true,true,true
10,S4,no-support,21|21,0|0,0|0,0|0,0|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4471,6817152761740706216,true,true,true,true,true,true,true,true,true,true,true,true,true,true
10,S4,blocked-return,21|21,0|0,8|0,1|0,1|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,5231,10611753715895562000,true,true,true,true,true,true,true,true,true,true,true,true,true,true
10,S4,return-without-effect,21|21,0|0,0|0,0|0,8|8,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4981,6166961814490431998,true,true,true,true,true,true,true,true,true,true,true,true,true,true
10,S4,joint,21|21,16|16,8|8,8|8,16|16,8|8,8|8,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,true,true,true,true,9100,3166573950956763174,true,true,true,true,true,true,true,true,true,true,true,true,true,true
11,S5,support-a,21|21,16|0,8|0,8|0,16|8,8|0,8|0,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,true,true,true,true,6832,17573947923347271301,true,true,true,true,true,true,true,true,true,true,true,true,true,true
11,S5,support-b,21|21,0|16,0|8,0|8,8|16,0|8,0|8,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,true,true,true,true,6824,16905113387251106811,true,true,true,true,true,true,true,true,true,true,true,true,true,true
11,S5,no-support,21|21,0|0,0|0,0|0,0|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4471,14301652845910318522,true,true,true,true,true,true,true,true,true,true,true,true,true,true
11,S5,blocked-return,21|21,0|0,8|0,1|0,1|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,5231,5163366505820268466,true,true,true,true,true,true,true,true,true,true,true,true,true,true
11,S5,return-without-effect,21|21,0|0,0|0,0|0,8|8,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4981,3690475414028136580,true,true,true,true,true,true,true,true,true,true,true,true,true,true
11,S5,joint,21|21,16|16,8|8,8|8,16|16,8|8,8|8,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,true,true,true,true,9100,13600619911002942632,true,true,true,true,true,true,true,true,true,true,true,true,true,true
12,S0,support-a,22|22,17|0,8|0,8|0,16|8,8|0,8|0,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,true,true,true,true,6805,4034411914821082318,true,true,true,true,true,true,true,true,true,true,true,true,true,true
12,S0,support-b,22|22,0|17,0|8,0|8,8|16,0|8,0|8,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,true,true,true,true,6797,683154923522176966,true,true,true,true,true,true,true,true,true,true,true,true,true,true
12,S0,no-support,22|22,0|0,0|0,0|0,0|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4445,6904603425727794191,true,true,true,true,true,true,true,true,true,true,true,true,true,true
12,S0,blocked-return,22|22,0|0,8|0,1|0,1|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,5207,15832892249852426717,true,true,true,true,true,true,true,true,true,true,true,true,true,true
