stage,seed,productive_route,maturation,schedule,budget,realized_0,realized_1,returned_0,returned_1,live_0,live_1,m6_obs_0,m6_obs_1,m6_support_0,m6_support_1,m6_margin_0,m6_margin_1,m6_eligible_0,m6_eligible_1,m5_support_0,m5_support_1,m5_rejection_0,m5_rejection_1,m5_score_0,m5_score_1,abstentions,applications,independent_0,independent_1,edge,reversed
PROBE,1700000000,0,32,E0-B-only,4,0,4,0,4,4,4,32,4,32,4,32,4,true,true,29,0,0,3,29,-3,4,32,4,4,credit edge,true
PROBE,1700000000,0,32,E0-B-only,16,0,16,0,16,4,1,32,16,32,16,32,16,true,true,29,0,0,3,29,-3,16,32,8,0,credit edge,false
PROBE,1700000000,0,32,E0-B-only,64,0,64,0,64,4,1,32,64,32,64,32,64,true,true,29,0,0,3,29,-3,64,32,8,0,credit edge,false
PROBE,1700000000,0,32,E0-B-only,1024,0,1024,0,1024,4,1,32,1024,32,1024,32,1024,true,true,29,0,0,3,29,-3,1024,32,8,0,credit edge,false
PROBE,1700000000,0,32,E0-B-only,10000,0,10000,0,10000,4,1,32,10000,32,10000,32,10000,true,true,29,0,0,3,29,-3,10000,32,8,0,credit edge,false
PROBE,1700000000,0,32,E1-paired,0,0,0,0,0,4,4,32,0,32,0,32,0,true,false,29,0,0,0,29,0,3,29,4,4,execution edge,true
PROBE,1700000000,0,32,E1-paired,4,4,4,4,4,4,1,36,4,32,4,30,4,true,true,32,0,0,3,32,-3,5,35,8,0,credit edge,false
PROBE,1700000000,0,32,E1-paired,16,16,16,16,16,4,1,48,16,32,16,24,16,true,true,32,0,0,3,32,-3,29,35,8,0,credit edge,false
PROBE,1700000000,0,32,E1-paired,64,64,64,64,64,4,1,96,64,32,64,0,64,false,true,32,3,4,3,28,0,118,42,8,0,formation edge,false
PROBE,1700000000,0,32,E1-paired,1024,838,1210,838,1210,1,4,870,1210,419,1210,0,1210,false,true,32,1149,778,3,-746,1146,118,1962,0,8,none,true
PROBE,1700000000,0,32,E1-paired,10000,838,19162,838,19162,1,4,870,19162,419,19162,0,19162,false,true,32,19101,778,3,-746,19098,118,19914,0,8,none,true
