seed,reverse,reflect,initial_candidates,phase_primitive_trace,phase_opportunity,phase_p,phase_candidate,phase_candidate_impulse,phase_output,phase_p_trace,phase_output_trace_arrivals,phase_output_trace_impulse,phase_output_trace,phase_attribution,phase_credit,phase_proposals,after_first,after_train,one_exposure_death,final_resistance,candidate_ids,candidate_generations,ab_reuse,c_alone,xc_gapped,xc_reuse,d_alone,yd_gapped,full_reuse,work,bytes,fingerprint,permanent,quiescent,replay,passed
8209,false,false,0,2|2|0|0;2|2|2|0;2|2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,3|0|0;4|3|0;4|4|3,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,4|0|0;4|4|0;4|4|4,4|0|0;4|4|0;4|4|4,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,1|1|1,4|0|0;8|4|0;12|8|4,6|0|0;10|6|0;14|10|6,0|0|0,13|9|5,ArrowId(49)|ArrowId(50)|ArrowId(51),51|52|53,prim=1|1|0|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~pt=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~m=0|0|0~credit=0|0|0~prop=0~q=true,prim=0|0|1|0~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~pt=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~m=0|0|0~credit=0|0|0~prop=0~q=true,prim=1|1|1|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~pt=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~m=0|0|0~credit=0|0|0~prop=0~q=true,prim=1|1|1|0~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~pt=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~m=0|0|0~credit=0|0|0~prop=0~q=true,prim=0|0|0|1~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~pt=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~m=0|0|0~credit=0|0|0~prop=0~q=true,prim=1|1|1|1~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~pt=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~m=0|0|0~credit=0|0|0~prop=0~q=true,prim=1|1|1|1~o=1|1|1~p=1|1|1~cand=1|1|1~imp=2|2|2~out=1|1|1~pt=0|0|0~arr=2|2|2~timp=2|2|2~trace=1|1|1~m=0|0|0~credit=0|0|0~prop=0~q=true,15098,5200,16579833072013116692,14766753259018608717,true,true,false
8219,true,false,0,2|2|0|0;2|2|2|0;2|2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,3|0|0;4|3|0;4|4|3,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,4|0|0;4|4|0;4|4|4,4|0|0;4|4|0;4|4|4,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,1|1|1,4|0|0;8|4|0;12|8|4,6|0|0;10|6|0;14|10|6,0|0|0,13|9|5,ArrowId(49)|ArrowId(50)|ArrowId(51),51|52|53,prim=1|1|0|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~pt=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~m=0|0|0~credit=0|0|0~prop=0~q=true,prim=0|0|1|0~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~pt=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~m=0|0|0~credit=0|0|0~prop=0~q=true,prim=1|1|1|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~pt=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~m=0|0|0~credit=0|0|0~prop=0~q=true,prim=1|1|1|0~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~pt=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~m=0|0|0~credit=0|0|0~prop=0~q=true,prim=0|0|0|1~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~pt=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~m=0|0|0~credit=0|0|0~prop=0~q=true,prim=1|1|1|1~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~pt=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~m=0|0|0~credit=0|0|0~prop=0~q=true,prim=1|1|1|1~o=1|1|1~p=1|1|1~cand=1|1|1~imp=2|2|2~out=1|1|1~pt=0|0|0~arr=2|2|2~timp=2|2|2~trace=1|1|1~m=0|0|0~credit=0|0|0~prop=0~q=true,15098,5200,8367561151013026686,11385288269579882743,true,true,false
8221,false,true,0,2|2|0|0;2|2|2|0;2|2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,3|0|0;4|3|0;4|4|3,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,4|0|0;4|4|0;4|4|4,4|0|0;4|4|0;4|4|4,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,1|1|1,4|0|0;8|4|0;12|8|4,6|0|0;10|6|0;14|10|6,0|0|0,13|9|5,ArrowId(49)|ArrowId(50)|ArrowId(51),51|52|53,prim=1|1|0|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~pt=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~m=0|0|0~credit=0|0|0~prop=0~q=true,prim=0|0|1|0~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~pt=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~m=0|0|0~credit=0|0|0~prop=0~q=true,prim=1|1|1|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~pt=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~m=0|0|0~credit=0|0|0~prop=0~q=true,prim=1|1|1|0~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~pt=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~m=0|0|0~credit=0|0|0~prop=0~q=true,prim=0|0|0|1~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~pt=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~m=0|0|0~credit=0|0|0~prop=0~q=true,prim=1|1|1|1~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~pt=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~m=0|0|0~credit=0|0|0~prop=0~q=true,prim=1|1|1|1~o=1|1|1~p=1|1|1~cand=1|1|1~imp=2|2|2~out=1|1|1~pt=0|0|0~arr=2|2|2~timp=2|2|2~trace=1|1|1~m=0|0|0~credit=0|0|0~prop=0~q=true,15098,5200,7784683713089379194,6054967606972345531,true,true,false
8231,true,true,0,2|2|0|0;2|2|2|0;2|2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,3|0|0;4|3|0;4|4|3,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,4|0|0;4|4|0;4|4|4,4|0|0;4|4|0;4|4|4,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,2|0|0;2|2|0;2|2|2,1|1|1,4|0|0;8|4|0;12|8|4,6|0|0;10|6|0;14|10|6,0|0|0,13|9|5,ArrowId(49)|ArrowId(50)|ArrowId(51),51|52|53,prim=1|1|0|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~pt=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~m=0|0|0~credit=0|0|0~prop=0~q=true,prim=0|0|1|0~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~pt=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~m=0|0|0~credit=0|0|0~prop=0~q=true,prim=1|1|1|0~o=1|0|0~p=1|0|0~cand=1|0|0~imp=2|0|0~out=1|0|0~pt=0|0|0~arr=2|0|0~timp=2|0|0~trace=1|0|0~m=0|0|0~credit=0|0|0~prop=0~q=true,prim=1|1|1|0~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~pt=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~m=0|0|0~credit=0|0|0~prop=0~q=true,prim=0|0|0|1~o=0|0|0~p=0|0|0~cand=0|0|0~imp=0|0|0~out=0|0|0~pt=0|0|0~arr=0|0|0~timp=0|0|0~trace=0|0|0~m=0|0|0~credit=0|0|0~prop=0~q=true,prim=1|1|1|1~o=1|1|0~p=1|1|0~cand=1|1|0~imp=2|2|0~out=1|1|0~pt=0|0|0~arr=2|2|0~timp=2|2|0~trace=1|1|0~m=0|0|0~credit=0|0|0~prop=0~q=true,prim=1|1|1|1~o=1|1|1~p=1|1|1~cand=1|1|1~imp=2|2|2~out=1|1|1~pt=0|0|0~arr=2|2|2~timp=2|2|2~trace=1|1|1~m=0|0|0~credit=0|0|0~prop=0~q=true,15098,5200,16885632133102224256,1757348019302504673,true,true,false
