kind,arm,stable,incidental,stable_returns,incidental_returns,stable_devices_used,stable_max_resistance,incidental_final_max_resistance,stable_effects,incidental_effects,incidental_eventually_dead,duplicate_exact,naturally_quiescent,contexts,work,persistent_bytes,passed
specificity,micro-phase-2-direct,2,0,27,6,4,56,1,1,0,true,true,true,27,31898,8336,true
specificity,micro-phase-3-mirror,0,2,43,8,4,71,1,1,0,true,true,true,43,90382,18416,true
specificity,micro-route-1-direct,1,2,31,6,4,61,1,1,0,true,true,true,31,47124,11952,true
specificity,micro-route-2-mirror,2,1,39,8,4,57,1,1,0,true,true,true,39,111060,25712,true
recurring,recurring-route-0-direct,0,1,24,19,0,0,0,1,1,false,true,true,24,42925,0,true
recurring,recurring-route-1-mirrored,0,1,19,24,0,0,0,1,1,false,true,true,24,42925,0,true
absent,absent-return-direct,0,1,0,0,0,0,0,0,0,false,true,true,24,5960,0,true
absent,absent-return-mirror,0,1,0,0,0,0,0,0,0,false,true,true,24,5960,0,true
switch,stability-switch-continuous,0,1,96,329,0,0,0,0,1,false,true,true,24,5105083,0,true
