variant,namespace,route_occurrences,training_port_firings,training_site_firings,training_effects,trained_support,crossed_support,heldout_old_effects,heldout_new_effects,singleton_once_effects,repeated_a_effects,repeated_b_effects,repeated_a_support_before,repeated_a_support_after,reversal_port_firings,reversal_old_effects,reversal_new_effects,post_old_effects,post_new_effects,post_old_support,post_new_support,too_late,correlation_only,no_return,absent_opportunity,stale_opportunity,ambiguity_three,ambiguity_four,fresh_alternative_old,fresh_alternative_new,source_refirings,quiescent,work,persistent_bytes,fingerprint,duplicate_exact,claims,first_failure,passed
primary,0xa31000000000,7|7|7|7,21|21|21|21,6|0|0|0|0|6,6|0|0|0|0|6,11|11;11|11,0|0;0|0,1|1,0|0,0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,11|11,17|11,21|21|21|21,2|2,6|6,0|0,1|1,0|1;1|0,11|11;11|11,0,0,0,0,0,3,6,0,2,0,true,53879,6752,2693689831904342339,true,11110011,P4,false
mirrored-reversed,0xa32000000000,7|7|7|7,21|21|21|21,6|0|0|0|0|6,6|0|0|0|0|6,11|11;11|11,0|0;0|0,1|1,0|0,0|0|0|0,1|0|0|0|0|0,1|0|0|0|0|0,11|11,17|11,21|21|21|21,2|2,6|6,0|0,1|1,0|1;1|0,11|11;11|11,0,0,0,0,0,3,6,0,2,0,true,53862,6752,1789342953007162903,true,11110011,P4,false
