name,route_strength,direction_strength,continuations,consequences,traces,route_returns,local_arrivals,local_impulse,effects,local_resistance,local_live,trained_local_impulse,crossed_local_impulse,trained_after,crossed_after,quiescent,extra_source_firings,duplicate_exact,arrow_count,persistent_bytes,permanent_fingerprint,complete_fingerprint,work
positive,23|23|23|23,18|18|18|18,12|12|12|12,12|12|12|12,12|12|12|12,12|12|12|12,12|12|12|12,23|23|23|23,12|12|12|12,0|17|0|0;17|0|0|0;0|0|0|17;0|0|17|0,false|true|false|false;true|false|false|false;false|false|false|true;false|false|true|false,2|2|2|2,3|3|3|3,0|17|0|0;17|0|0|0;0|0|0|17;0|0|17|0,0|17|0|4;17|0|4|0;0|4|0|17;4|0|17|0,true,0,true,56,5976,7984578555478695071,5637909980014286711,159752
opportunity-absent,23|23|23|23,18|18|18|18,12|12|12|12,12|12|12|12,12|12|12|12,12|12|12|12,0|0|0|0,0|0|0|0,12|12|12|12,0|0|0|0;0|0|0|0;0|0|0|0;0|0|0|0,false|false|false|false;false|false|false|false;false|false|false|false;false|false|false|false,,,,,true,0,,52,5104,11191425779826198118,5669645275255474943,131854
late-arrival,22|22|22|22,17|17|17|17,12|12|12|12,12|12|12|12,12|12|12|12,12|12|12|12,0|0|0|0,0|0|0|0,12|12|12|12,0|0|0|0;0|0|0|0;0|0|0|0;0|0|0|0,false|false|false|false;false|false|false|false;false|false|false|false;false|false|false|false,,,,,true,0,,100,8792,4574837185287189804,7558587122534216082,147874
temporal-spacing,20|20|20|20,15|15|15|15,12|12|12|12,12|12|12|12,12|12|12|12,12|12|12|12,0|0|0|0,0|0|0|0,12|12|12|12,0|0|0|0;0|0|0|0;0|0|0|0;0|0|0|0,false|false|false|false;false|false|false|false;false|false|false|false;false|false|false|false,,,,,true,0,,52,5720,14743660880146106952,12254428049004673867,145109
correlation-only,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|12|24,0|0|23|46,0|0|0|0,0|0|0|0;0|0|0|0;0|0|0|0;0|0|0|0,false|false|false|false;false|false|false|false;false|false|false|false;false|false|false|false,,,,,true,0,,65,6808,16629399848959484166,11934387951655271270,11901703
single-occurrence-stale,10|10|10|10,5|5|5|5,1|1|1|1,1|1|1|1,1|1|1|1,1|1|1|1,1|1|1|1,1|1|1|1,1|1|1|1,0|0|0|0;0|0|0|0;0|0|0|0;0|0|0|0,false|false|false|false;false|false|false|false;false|false|false|false;false|false|false|false,,,,,true,0,,56,5976,13199527786122761110,4399407740563308874,3254
