stratum,world,namespace,traversals,consequence_firings,trace_firings,return_arrivals,outward_crossings,resistance_before,resistance_after,live_after,heldout_crossings,distractor_firings,quiescent,local_return_updates,pressure_updates,deallocations,work,persistent_bytes,fingerprint,duplicate_exact,passed
G2,left-observational-overload,26921140224,24|0,24|72,24|72,24|72,24|72,3|3,23|0,true|false,1|0,576,true,93,3269,1,118632,5840,15926706494432789110,true,true
G2,right-observational-overload,26922188800,0|24,72|24,72|24,72|24,72|24,3|3,0|23,false|true,0|1,576,true,93,3269,1,118632,5840,5274699214075542004,true,true
G3,left,26927431680,24|0,24|24,24|24,24|24,24|24,3|3,22|0,true|false,1|0,1152,true,93,3666,1,295765,9680,5648721323932820233,true,true
G3,right,26928480256,0|24,24|24,24|24,24|24,24|24,3|3,0|22,false|true,0|1,1152,true,93,3666,1,295765,9680,4918525238691427743,true,true
G3,both,26929528832,24|24,24|24,24|24,24|24,24|24,3|3,22|22,true|true,1|1,1152,true,186,3680,0,305051,9680,7375254585489204824,true,true
G3,correlation,26930577408,0|0,24|24,24|24,24|24,24|24,3|3,0|0,false|false,0|0,1152,true,0,3652,2,286854,9680,544058494040178838,true,true
G3,crossed-return,26931625984,24|0,1|24,1|24,0|1,1|24,3|3,0|0,false|false,0|0,1152,true,0,3420,2,280295,9616,12275361067654213189,true,true
G3,no-return,26932674560,24|0,1|24,1|24,0|0,1|24,3|3,0|0,false|false,0|0,1152,true,0,3320,2,277713,9552,17087909430961276100,true,true
G3,left-dominant,26933723136,24|6,24|19,24|19,24|19,24|19,3|3,22|0,true|false,1|0,1152,true,94,3660,1,295291,9680,12141655165865584809,true,false
G3,right-dominant,26934771712,6|24,19|24,19|24,19|24,19|24,3|3,0|22,false|true,0|1,1152,true,94,3660,1,295286,9680,14652557440106835441,true,false
G3,left-then-right,26935820288,12|12,24|12,24|12,24|12,24|12,3|3,0|0,false|false,0|0,1152,true,45,3645,2,289169,9680,18275114845515240200,true,false
G3,right-then-left,26936868864,12|12,12|24,12|24,12|24,12|24,3|3,0|0,false|false,0|0,1152,true,45,3645,2,289169,9680,15842057188668767524,true,false
G3,left-observational-overload,26937917440,24|0,24|72,24|72,24|72,24|72,3|3,20|0,true|false,1|0,1152,true,93,5295,1,317938,9680,491736928421735542,true,true
G3,right-observational-overload,26938966016,0|24,72|24,72|24,72|24,72|24,3|3,0|20,false|true,0|1,1152,true,93,5295,1,317938,9680,18330178239763035524,true,true
