stratum,scenario,correspondence_resistance,directional_live_paths,directional_min_resistance,directional_max_resistance,training_continuation_firings,training_consequence_firings,training_trace_arrivals,training_trace_firings,training_local_returns,training_effects,training_distractor_firings,training_extra_arrival_firings,heldout_continuation_firings,heldout_consequence_firings,heldout_trace_arrivals,heldout_trace_firings,heldout_local_returns,heldout_effects,postgap_effects,heldout_extra_arrival_firings,postgap_extra_arrival_firings,training_quiescent,heldout_quiescent,postgap_quiescent,lifecycle_first_effects,lifecycle_first_extra_arrival_firings,lifecycle_first_quiescent,lifecycle_old_direction_live,lifecycle_old_direction_stale,lifecycle_old_correspondence_live,lifecycle_old_correspondence_stale,lifecycle_stale_effects,lifecycle_stale_extra_arrival_firings,lifecycle_stale_quiescent,lifecycle_fresh_correspondence,lifecycle_fresh_direction_ids,work,fingerprint,duplicate_exact,passed
G1,adversarial-correlation-forward-traversal,45|45,2|0,40|0,40|0,24|0,24|72,96|144,24|72,24|72,24|72,192,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,0|0,0,false,0|0,false,0|0,false,0|0,0,false,0|0,false,67478,16410320576069991831,true,true
G1,adversarial-correlation-reverse-traversal,45|45,0|2,0|40,0|40,0|24,72|24,144|96,72|24,72|24,72|24,192,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,0|0,0,false,0|0,false,0|0,false,0|0,0,false,0|0,false,67526,345980678759809853,true,true
G1,interleaved-forward-first,46|46,2|0,5|0,5|0,12|12,24|12,48|36,24|12,24|12,24|12,192,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,0|0,0,false,0|0,false,0|0,false,0|0,0,false,0|0,false,49630,10187892661740009107,true,false
G1,interleaved-reverse-first,46|46,0|2,0|5,0|5,12|12,12|24,36|48,12|24,12|24,12|24,192,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,0|0,0,false,0|0,false,0|0,false,0|0,0,false,0|0,false,49618,11963357315722263553,true,false
G1,lifecycle-forward-to-reverse,44|44,0|0,0|0,0|0,0|24,24|0,48|24,24|0,24|0,24|0,192,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,1|0,0,true,0|0,true,0|0,true,0|0,0,true,1|1,true,103611,1145717994148839122,true,false
G1,lifecycle-reverse-to-forward,44|44,0|0,0|0,0|0,24|0,0|24,24|48,0|24,0|24,0|24,192,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,0|1,0,true,0|0,true,0|0,true,0|0,0,true,1|1,true,103587,4636226318423360784,true,false
G2,forward-participation,46|46,3|0,41|0,41|0,24|0,24|24,48|48,24|24,24|24,24|24,576,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,0|0,0,false,0|0,false,0|0,false,0|0,0,false,0|0,false,143951,828560018202002958,true,true
G2,reverse-participation,46|46,0|3,0|41,0|41,0|24,24|24,48|48,24|24,24|24,24|24,576,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,0|0,0,false,0|0,false,0|0,false,0|0,0,false,0|0,false,143951,12922123401150703414,true,true
G2,correlation-only,46|46,0|0,0|0,0|0,0|0,24|24,48|48,24|24,24|24,24|24,576,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,0|0,0,false,0|0,false,0|0,false,0|0,0,false,0|0,false,139637,10534424570914142366,true,true
G2,joint-participation,46|46,3|3,41|41,41|41,24|24,24|24,48|48,24|24,24|24,24|24,576,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,0|0,0,false,0|0,false,0|0,false,0|0,0,false,0|0,false,148760,16821909583225273659,true,true
G2,participation-without-return,46|46,0|0,0|0,0|0,24|0,1|24,1|24,0|0,0|0,1|24,576,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,0|0,0,false,0|0,false,0|0,false,0|0,0,false,0|0,false,131051,644719864355198193,true,true
G2,adversarial-correlation-forward-traversal,45|45,3|0,40|0,40|0,24|0,24|72,96|144,24|72,24|72,24|72,576,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,0|0,0,false,0|0,false,0|0,false,0|0,0,false,0|0,false,165341,7581830014970944019,true,true
G2,adversarial-correlation-reverse-traversal,45|45,0|3,0|40,0|40,0|24,72|24,144|96,72|24,72|24,72|24,576,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,0|0,0,false,0|0,false,0|0,false,0|0,0,false,0|0,false,165389,9628376107391861003,true,true
G2,interleaved-forward-first,46|46,3|0,5|0,5|0,12|12,24|12,48|36,24|12,24|12,24|12,576,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,0|0,0,false,0|0,false,0|0,false,0|0,0,false,0|0,false,140746,14438493061149383546,true,false
G2,interleaved-reverse-first,46|46,0|3,0|5,0|5,12|12,12|24,36|48,12|24,12|24,12|24,576,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,0|0,0,false,0|0,false,0|0,false,0|0,0,false,0|0,false,140734,5655897278178430404,true,false
G2,lifecycle-forward-to-reverse,43|43,0|0,0|0,0|0,0|24,24|0,48|24,24|0,24|0,24|0,576,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,1|0,0,true,0|0,true,0|0,true,0|0,0,true,1|1,true,296440,14398365412059196824,true,false
G2,lifecycle-reverse-to-forward,43|43,0|0,0|0,0|0,24|0,0|24,24|48,0|24,0|24,0|24,576,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,0|1,0,true,0|0,true,0|0,true,0|0,0,true,1|1,true,296416,2662622716582905130,true,false
G3,forward-participation,45|45,4|0,40|0,40|0,24|0,24|24,48|48,24|24,24|24,24|24,1152,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,0|0,0,false,0|0,false,0|0,false,0|0,0,false,0|0,false,365565,209647657864978497,true,true
G3,reverse-participation,45|45,0|4,0|40,0|40,0|24,24|24,48|48,24|24,24|24,24|24,1152,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,0|0,0,false,0|0,false,0|0,false,0|0,0,false,0|0,false,365565,893298022542194865,true,true
G3,correlation-only,45|45,0|0,0|0,0|0,0|0,24|24,48|48,24|24,24|24,24|24,1152,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,0|0,0,false,0|0,false,0|0,false,0|0,0,false,0|0,false,359009,2605445846973874580,true,true
G3,joint-participation,45|45,4|4,40|40,40|40,24|24,24|24,48|48,24|24,24|24,24|24,1152,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,0|0,0,false,0|0,false,0|0,false,0|0,0,false,0|0,false,372808,11915208755650361711,true,true
G3,participation-without-return,46|46,0|0,0|0,0|0,24|0,1|24,1|24,0|0,0|0,1|24,1152,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,0|0,0,false,0|0,false,0|0,false,0|0,0,false,0|0,false,346768,5896874440787573442,true,true
G3,adversarial-correlation-forward-traversal,45|45,4|0,40|0,40|0,24|0,24|72,96|144,24|72,24|72,24|72,1152,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,0|0,0,false,0|0,false,0|0,false,0|0,0,false,0|0,false,395492,16291844546389844717,true,true
G3,adversarial-correlation-reverse-traversal,45|45,0|4,0|40,0|40,0|24,72|24,144|96,72|24,72|24,72|24,1152,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,0|0,0,false,0|0,false,0|0,false,0|0,0,false,0|0,false,395540,13755352127573462661,true,true
G3,interleaved-forward-first,45|45,4|0,4|0,4|0,12|12,24|12,48|36,24|12,24|12,24|12,1152,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,0|0,0,false,0|0,false,0|0,false,0|0,0,false,0|0,false,361208,2829078218833792942,true,false
G3,interleaved-reverse-first,45|45,0|4,0|4,0|4,12|12,12|24,36|48,12|24,12|24,12|24,1152,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,0|0,0,false,0|0,false,0|0,false,0|0,0,false,0|0,false,361196,5999106686032741936,true,false
G3,lifecycle-forward-to-reverse,42|42,0|0,0|0,0|0,0|24,24|0,48|24,24|0,24|0,24|0,1152,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,1|0,0,true,0|0,true,0|0,true,0|0,0,true,1|1,true,754276,5904528764535868015,true,false
G3,lifecycle-reverse-to-forward,42|42,0|0,0|0,0|0,24|0,0|24,24|48,0|24,0|24,0|24,1152,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,0|1,0,true,0|0,true,0|0,true,0|0,0,true,1|1,true,754252,14946555466044959177,true,false
