name,namespace,stage,route_resistance,route_live,incoming_resistance,incoming_live,training_source_firings,training_local_firings,training_outward,held_out_local_firings,held_out_outward,permanent_fingerprint,complete_fingerprint,arrow_count,persistent_bytes,duplicate_exact,queue_comparisons,spikes_delivered,generation_checks,state_updates,threshold_checks,firings,arrow_checks,spikes_emitted,local_eligibility_writes,local_return_updates,ordinary_pressure_updates,local_structural_proposals,physical_deallocations,work
main-with-swap,41624272896,initial,0|0|33:0|0|33:0|0|33:0|0|33,false|false|true:false|false|true:false|false|true:false|false|true,33|33|0|0|0|0|0|0|0|0|33|33,true|true|false|false|false|false|false|false|false|false|true|true,16|16|16|16|16|16|16|16|16|16|16|16,16|0|0|0|0|16,16|0|0|0|0|16,1|0|0|0|0|0:1|0|0|0|0|1:1|0|0|0|0|1:1|0|0|0|0|1:1|0|0|0|0|1:0|0|0|0|0|1,1|0|0|0|0|0:1|0|0|0|0|1:1|0|0|0|0|1:1|0|0|0|0|1:1|0|0|0|0|1:0|0|0|0|0|1,6983986226853808167,440243485100603276,162,12144,true,146260,818,818,818,818,380,43320,366,366,172,882,120,128,195266
main-with-swap,41624272896,swap,0|39|72:0|41|72:0|41|72:0|39|72,false|true|true:false|true|true:false|true|true:false|true|true,72|72|0|0|39|39|41|41|0|0|72|72,true|true|false|false|true|true|true|true|false|false|true|true,20|20|20|20|20|20|20|20|20|20|20|20,40|0|19|20|0|40,40|0|19|20|0|40,1|0|1|1|0|0:1|0|1|1|0|1:1|0|1|0|0|1:1|0|0|1|0|1:1|0|1|1|0|1:0|0|1|1|0|1,1|0|1|1|0|0:1|0|1|1|0|1:1|0|1|0|0|1:1|0|0|1|0|1:1|0|1|1|0|1:0|0|1|1|0|1,18232183226809575356,157506207653739017,248,17648,true,289902,1273,1273,1231,1231,630,135719,717,717,425,1000,86,82,434286
layout-order-identity-replica,41641050112,initial,0|0|33:0|0|33:0|0|33:0|0|33,false|false|true:false|false|true:false|false|true:false|false|true,33|33|0|0|0|0|0|0|0|0|33|33,true|true|false|false|false|false|false|false|false|false|true|true,16|16|16|16|16|16|16|16|16|16|16|16,16|0|0|0|0|16,16|0|0|0|0|16,1|0|0|0|0|0:1|0|0|0|0|1:1|0|0|0|0|1:1|0|0|0|0|1:1|0|0|0|0|1:0|0|0|0|0|1,1|0|0|0|0|0:1|0|0|0|0|1:1|0|0|0|0|1:1|0|0|0|0|1:1|0|0|0|0|1:0|0|0|0|0|1,14801980560510738757,11939948256811264214,162,12144,true,146260,818,818,818,818,380,43320,366,366,172,882,120,128,195266
spacing-replica,41657827328,initial,0|0|27:0|0|27:0|0|25:0|0|25,false|false|true:false|false|true:false|false|true:false|false|true,27|27|0|0|0|0|0|0|0|0|25|25,true|true|false|false|false|false|false|false|false|false|true|true,16|16|16|16|16|16|16|16|16|16|16|16,16|0|0|0|0|16,16|0|0|0|0|16,1|0|0|0|0|0:1|0|0|0|0|1:1|0|0|0|0|1:1|0|0|0|0|1:1|0|0|0|0|1:0|0|0|0|0|1,1|0|0|0|0|0:1|0|0|0|0|1:1|0|0|0|0|1:1|0|0|0|0|1:1|0|0|0|0|1:0|0|0|0|0|1,11104012301192870283,2924332386364700758,164,12272,true,146065,818,818,794,794,380,44039,366,366,167,1089,122,130,195948
stable-alternative,41674604544,initial,0|0|33:0|0|33:0|0|33:0|0|33,false|false|true:false|false|true:false|false|true:false|false|true,0|0|0|0|33|33|33|33|0|0|0|0,false|false|false|false|true|true|true|true|false|false|false|false,16|16|16|16|16|16|16|16|16|16|16|16,0|0|16|16|0|0,0|0|16|16|0|0,0|0|1|1|0|0:0|0|1|1|0|0:0|0|1|0|0|0:0|0|0|1|0|0:0|0|1|1|0|0:0|0|1|1|0|0,0|0|1|1|0|0:0|0|1|1|0|0:0|0|1|0|0|0:0|0|0|1|0|0:0|0|1|1|0|0:0|0|1|1|0|0,10510551099640042978,11861021018015292989,162,12144,true,146260,818,818,818,818,380,43320,366,366,172,882,120,128,195266
correlated-without-participation,41691381760,initial,0|0|0:0|0|0:0|0|0:0|0|0,false|false|false:false|false|false:false|false|false:false|false|false,0|0|0|0|0|0|0|0|0|0|0|0,false|false|false|false|false|false|false|false|false|false|false|false,0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0,0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0,13618426835212899753,13200042592455419924,42,4464,true,766,104,104,104,104,104,4368,36,36,0,492,0,12,6230
participation-blocked-return,41708158976,initial,0|0|0:0|0|0:0|0|0:0|0|0,false|false|false:false|false|false:false|false|false:false|false|false,0|0|0|0|0|0|0|0|0|0|0|0,false|false|false|false|false|false|false|false|false|false|false|false,16|16|16|16|16|16|16|16|16|16|16|16,16|0|0|0|0|16,16|0|0|0|0|16,0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0,0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0,3965578743058752868,933182241898108023,222,15984,true,132750,712,712,712,712,360,52560,260,260,0,512,180,192,189922
absent-opportunity,41724936192,initial,0|0|0:0|0|0:0|0|0:0|0|0,false|false|false:false|false|false:false|false|false:false|false|false,0|0|0|0|0|0|0|0|0|0|0|0,false|false|false|false|false|false|false|false|false|false|false|false,16|16|16|16|16|16|16|16|16|16|16|16,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0,0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0,5226652210619082881,15095335828614910067,30,3696,true,46750,488,488,488,488,488,14640,228,228,0,672,0,0,64958
stale-field,41741713408,initial,0|0|0:0|0|0:0|0|0:0|0|0,false|false|false:false|false|false:false|false|false:false|false|false,0|0|0|0|0|0|0|0|0|0|0|0,false|false|false|false|false|false|false|false|false|false|false|false,0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0,0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0:0|0|0|0|0|0,2871057748018530930,10978768044195400824,42,4464,true,270,72,72,72,72,72,3024,36,36,0,42,0,12,3780
ambiguous-three,41758490624,initial,0|33|33:0|33|33:0|33|33:0|0|0,false|true|true:false|true|true:false|true|true:false|false|false,33|33|33|33|0|0|33|33|0|0|0|0,true|true|true|true|false|false|true|true|false|false|false|false,16|16|16|16|16|16|16|16|16|16|16|16,16|16|0|16|0|0,16|16|0|16|0|0,1|1|0|1|0|0:1|1|0|1|0|0:1|1|0|0|0|0:1|1|0|1|0|0:1|0|0|1|0|0:0|1|0|1|0|0,1|1|0|1|0|0:1|1|0|1|0|0:1|1|0|0|0|0:1|1|0|1|0|0:1|0|0|1|0|0:0|1|0|1|0|0,9794057779361155498,10704404849580067177,132,10224,true,147767,871,871,871,871,406,38925,435,435,258,897,90,96,192793
