name,namespace,correspondence_resistance,directional_resistance,directional_live,training_continuations,training_consequences,training_traces,training_returns,training_effects,trained_effects,crossed_effects,gapped_effects,singleton_effects,post_gap_effects,trained_hub,crossed_hub,gapped_hub,singleton_hub,training_quiescent,held_out_quiescent,extra_source_firings,permanent_fingerprint,complete_fingerprint,arrow_count,persistent_bytes,duplicate_exact,queue_comparisons,spikes_delivered,generation_checks,state_updates,threshold_checks,firings,arrow_checks,spikes_emitted,local_eligibility_writes,local_return_updates,ordinary_pressure_updates,local_structural_proposals,physical_deallocations,work
reference-a,31188844544,22|22|22|22,17|17|17|17,true|true|true|true,12|12|12|12,12|12|12|12,12|12|12|12,12|12|12|12,12|12|12|12,1|1|0|0,1|0|1|0,1|1|0|0,1|0|0|0,1|1|0|0,1,1,2,1,true,true,0,8180684759214203967,7661377793589810534,56,5408,true,110770,1195,1195,1195,1195,547,30354,833,833,394,2235,4,0,150750
reference-b,31457280000,22|22|22|22,17|17|17|17,true|true|true|true,12|12|12|12,12|12|12|12,12|12|12|12,12|12|12|12,12|12|12|12,1|0|1|0,1|1|0|0,1|0|1|0,1|0|0|0,1|0|1|0,1,1,2,1,true,true,0,10225375987027705475,14892993317553051966,56,5408,true,110766,1195,1195,1195,1195,547,30354,833,833,394,2235,4,0,150746
replica-a,35483811840,22|22|22|22,17|17|17|17,true|true|true|true,12|12|12|12,12|12|12|12,12|12|12|12,12|12|12|12,12|12|12|12,1|1|0|0,1|0|1|0,1|1|0|0,1|0|0|0,1|1|0|0,1,1,2,1,true,true,0,2886972719554039225,14772867611245640588,56,5408,true,110770,1195,1195,1195,1195,547,30354,833,833,394,2235,4,0,150750
replica-b,35752247296,22|22|22|22,17|17|17|17,true|true|true|true,12|12|12|12,12|12|12|12,12|12|12|12,12|12|12|12,12|12|12|12,1|0|1|0,1|1|0|0,1|0|1|0,1|0|0|0,1|0|1|0,1,1,2,1,true,true,0,18355471727440988077,5559277599078799172,56,5408,true,110766,1195,1195,1195,1195,547,30354,833,833,394,2235,4,0,150746
blocked-return,31725715456,22|22|22|22,0|0|0|0,false|false|false|false,12|12|12|12,1|1|1|1,0|0|0|0,0|0|0|0,1|1|1|1,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0,0,0,0,true,true,0,12525903239109324289,8785419115456734908,52,5152,true,73277,802,802,802,802,354,18130,440,440,97,1915,4,4,97869
subthreshold,31994150912,9|9|9|9,4|4|4|4,true|true|true|true,1|1|1|1,1|1|1|1,1|1|1|1,1|1|1|1,1|1|1|1,1|1|0|0,1|0|1|0,1|1|0|0,1|0|0|0,0|0|0|0,1,1,2,1,true,true,0,8390682749365617965,8305546283405820451,56,5408,true,7700,389,389,389,389,166,9018,247,247,80,1035,4,4,20057
