stage,row,namespace,positions,cell_order,identity_rotation,reverse_arrows,reverse_spikes,delay,skew,phase_pattern,first_firings,second_firings,joint_firings,joint_expected,refractory_suppressed,blocked_outputs,stale_outputs,absent_outputs,threshold2_outputs,naturally_quiescent,replay_exact,external_spikes,source_firings,convergence_firings,downstream_firings,crossings,deallocations,proposals,cells,arrows,persistent_bytes,work,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,claims,passed
GATE v1,15,0xc30000f00000,16|-16|0|-48,2|3|1|0,1,true,true,1,4,2,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1345,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,16,0xc30001000000,-32|32|0|96,3|2|0|1,2,false,true,2,4,0,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1344,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,17,0xc30001100000,64|-64|0|-192,0|2|3|1,3,false,true,3,4,1,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1347,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,18,0xc30001200000,-8|8|0|24,1|2|0|3,0,true,false,4,0,2,1|0|1|1,0|1|1|1,1|1|1|1,1,true,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,13,13,13,4,0,92,65,8576,1293,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,19,0xc30001300000,16|-16|0|-48,2|0|3|1,1,true,false,5,0,0,1|0|1|1,0|1|1|1,1|1|1|1,1,true,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,13,13,13,4,0,92,65,8576,1297,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,20,0xc30001400000,-32|32|0|96,3|0|1|2,2,false,false,0,0,1,1|0|1|1,0|1|1|1,1|1|1|1,1,true,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,13,13,13,4,0,92,65,8576,1317,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,21,0xc30001500000,64|-64|0|-192,3|2|1|0,3,false,true,1,0,2,1|0|1|1,0|1|1|1,1|1|1|1,1,true,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,13,13,13,4,0,92,65,8576,1279,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,22,0xc30001600000,-8|8|0|24,0|3|1|2,0,true,true,2,0,0,1|0|1|1,0|1|1|1,1|1|1|1,1,true,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,13,13,13,4,0,92,65,8576,1277,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,23,0xc30001700000,16|-16|0|-48,1|2|3|0,1,true,true,3,0,1,1|0|1|1,0|1|1|1,1|1|1|1,1,true,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,13,13,13,4,0,92,65,8576,1301,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,24,0xc30001800000,-32|32|0|96,2|1|0|3,2,false,false,4,1,2,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1341,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,25,0xc30001900000,64|-64|0|-192,3|0|2|1,3,false,false,5,1,0,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1348,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,26,0xc30001a00000,-8|8|0|24,0|1|2|3,0,true,false,0,1,1,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1341,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,27,0xc30001b00000,16|-16|0|-48,0|3|2|1,1,true,true,1,1,2,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1344,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,28,0xc30001c00000,-32|32|0|96,1|3|0|2,2,false,true,2,1,0,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1327,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,29,0xc30001d00000,64|-64|0|-192,2|1|3|0,3,false,true,3,1,1,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1334,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,30,0xc30001e00000,-8|8|0|24,3|1|0|2,0,true,false,4,2,2,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1340,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,31,0xc30001f00000,16|-16|0|-48,0|1|3|2,1,true,false,5,2,0,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1345,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,32,0xc30002000000,-32|32|0|96,1|0|2|3,2,false,false,0,2,1,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1339,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,33,0xc30002100000,64|-64|0|-192,1|3|2|0,3,false,true,1,2,2,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1337,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,34,0xc30002200000,-8|8|0|24,2|3|0|1,0,true,true,2,2,0,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1344,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,35,0xc30002300000,16|-16|0|-48,3|1|2|0,1,true,true,3,2,1,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1333,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
