stage,seed,control,maturity,ratio,phase_offset,budget,incumbent_side,incumbent_route,alternative_route,scheduled_incumbent,scheduled_alternative,executed_incumbent,executed_alternative,returned_incumbent,returned_alternative,unresolved,m6_obs_incumbent,m6_obs_alternative,m6_support_incumbent,m6_support_alternative,m6_margin_incumbent,m6_margin_alternative,m6_eligible_incumbent,m6_eligible_alternative,m5_support_incumbent,m5_support_alternative,m5_rejection_incumbent,m5_rejection_alternative,m5_score_incumbent,m5_score_alternative,live_incumbent,live_alternative,abstentions,applications,independent_side0,independent_side1,class,schedule_exact,exposure_transferred,duplicate_exact
PROBE,1900000000,baseline,32,1:1,0,900,0,0,1,450,450,450,450,450,450,0,482,450,145,450,32,450,true,true,33,0,0,3,33,-3,4,1,896,36,4,0,INCUMBENT_LOCK,true,true,true
PROBE,1900000000,baseline,32,1:1,0,4500,0,0,1,2250,2250,2250,2250,2250,2250,0,2282,2250,595,2250,30,2250,true,true,33,0,0,3,33,-3,4,1,4496,36,4,0,INCUMBENT_LOCK,true,true,true
PROBE,1900000000,baseline,32,1:1,0,9000,0,0,1,4500,4500,4500,4500,4500,4500,0,4532,4500,1155,4500,25,4500,true,true,33,0,0,3,33,-3,4,1,8996,36,4,0,INCUMBENT_LOCK,true,true,true
PROBE,1900000000,baseline,32,1:1,0,18000,0,0,1,9000,9000,9000,9000,9000,9000,0,9032,9000,2272,9000,12,9000,true,true,33,0,0,3,33,-3,4,1,17996,36,4,0,INCUMBENT_LOCK,true,true,true
PROBE,1900000000,baseline,32,4:1,0,0,0,0,1,0,0,0,0,0,0,0,32,0,32,0,32,0,true,false,29,0,0,0,29,0,4,4,3,29,4,4,MIXED,true,true,true
PROBE,1900000000,baseline,32,4:1,0,90,0,0,1,18,72,18,72,18,72,0,50,72,40,72,35,72,true,true,30,0,0,3,30,-3,4,1,89,33,4,0,INCUMBENT_LOCK,true,true,true
PROBE,1900000000,baseline,32,4:1,0,900,0,0,1,180,720,180,720,180,720,0,212,720,75,720,27,720,true,true,30,0,0,3,30,-3,4,1,899,33,4,0,INCUMBENT_LOCK,true,true,true
PROBE,1900000000,baseline,32,4:1,0,4500,0,0,1,900,3600,900,3600,900,3600,0,932,3600,257,3600,32,3600,true,true,30,0,0,3,30,-3,4,1,4499,33,4,0,INCUMBENT_LOCK,true,true,true
PROBE,1900000000,baseline,32,4:1,0,9000,0,0,1,1800,7200,1800,7200,1800,7200,0,1832,7200,481,7200,30,7200,true,true,30,0,0,3,30,-3,4,1,8999,33,4,0,INCUMBENT_LOCK,true,true,true
PROBE,1900000000,baseline,32,4:1,0,18000,0,0,1,3600,14400,3600,14400,3600,14400,0,3632,14400,929,14400,27,14400,true,true,30,0,0,3,30,-3,4,1,17999,33,4,0,INCUMBENT_LOCK,true,true,true
PROBE,1900000000,baseline,128,1:4,0,0,0,0,1,0,0,0,0,0,0,0,128,0,128,0,128,0,true,false,125,0,0,0,125,0,4,1,3,125,4,0,INCUMBENT_LOCK,true,true,true
PROBE,1900000000,baseline,128,1:4,0,90,0,0,1,72,18,72,18,72,18,0,200,18,144,18,122,18,true,true,141,0,0,3,141,-3,4,1,74,144,4,0,INCUMBENT_LOCK,true,true,true
PROBE,1900000000,baseline,128,1:4,0,900,0,0,1,720,180,720,180,720,180,0,848,180,303,180,119,180,true,true,141,0,0,3,141,-3,4,1,884,144,4,0,INCUMBENT_LOCK,true,true,true
PROBE,1900000000,baseline,128,1:4,0,4500,0,0,1,3600,900,3600,900,3600,900,0,3728,900,1029,900,129,900,true,true,141,0,0,3,141,-3,4,1,4484,144,4,0,INCUMBENT_LOCK,true,true,true
PROBE,1900000000,baseline,128,1:4,0,9000,0,0,1,7200,1800,7200,1800,7200,1800,0,7328,1800,1929,1800,127,1800,true,true,141,0,0,3,141,-3,4,1,8984,144,4,0,INCUMBENT_LOCK,true,true,true
PROBE,1900000000,baseline,128,1:4,0,18000,0,0,1,14400,3600,14400,3600,14400,3600,0,14528,3600,3727,3600,124,3600,true,true,141,0,0,3,141,-3,4,1,17984,144,4,0,INCUMBENT_LOCK,true,true,true
PROBE,1900000000,baseline,128,1:1,0,0,0,0,1,0,0,0,0,0,0,0,128,0,128,0,128,0,true,false,125,0,0,0,125,0,4,1,3,125,4,0,INCUMBENT_LOCK,true,true,true
PROBE,1900000000,baseline,128,1:1,0,90,0,0,1,45,45,45,45,45,45,0,173,45,141,45,130,45,true,true,129,0,0,3,129,-3,4,1,86,132,4,0,INCUMBENT_LOCK,true,true,true
