index,namespace,initial,current,spacing,stride,distractor_load,incidental_form,reverse_allocation,mirrored_layout,device_order,stable_opportunities,stable_completed,sparse_opportunities,sparse_completed,stable_final_resistance,sparse_final_resistance,first_b_execution_context,b_executable_contexts,final_b_effects,final_a_effects,first_deallocation_context,stable_deallocation_delay,sparse_deallocation_delay,proposals,deallocations,queue_comparisons,work,diagnostic_probe_work,complete_fingerprint,permanent_fingerprint,prefix_ok,duplicate_exact,naturally_quiescent
27,0x140d80000,0,1,13,25,44,3,true,true,2-3-0-1,35,35,8,6,61,0,0,35,1,0,0,610,10,644,642,21017,225282,145820,15609954795944516749,18153193080847079253,true,true,true
28,0x140e00000,1,2,13,25,48,1,false,false,0-3-2-1,35,35,8,6,61,0,0,35,1,0,0,610,10,695,693,23095,255844,167470,17988912630551526241,7494008255846053858,true,true,true
29,0x140e80000,2,0,13,25,48,2,false,true,3-0-1-2,35,35,8,7,61,0,0,35,1,0,0,610,10,689,685,23368,247946,161009,15066192386940074567,4819171487501290742,true,true,true
30,0x140f00000,0,1,13,25,48,3,true,false,0-3-2-1,35,35,8,6,61,0,0,35,1,0,0,610,10,695,693,23264,240571,155553,8033714061909705378,5122525831439112701,true,true,true
31,0x140f80000,1,2,13,25,48,0,true,true,3-0-1-2,35,35,8,6,61,0,0,35,1,0,0,610,10,703,701,23120,248437,154871,2942391002880100406,6429048757375099642,true,true,true
32,0x141000000,2,0,13,27,32,0,false,false,3-2-1-0,35,35,8,6,61,0,0,35,1,0,0,610,10,516,514,15758,190102,119212,1711408166544728201,1538716264746256576,true,true,true
33,0x141080000,0,1,13,27,32,1,false,true,2-3-0-1,35,35,8,6,61,0,0,35,1,0,0,610,10,508,506,15742,194307,127971,13927420778230435572,11212352992136125156,true,true,true
34,0x141100000,1,2,13,27,32,2,true,false,3-2-1-0,35,35,8,7,61,0,0,35,1,0,0,610,10,502,498,15812,188630,123293,10611646315969355035,13098268999797494663,true,true,true
35,0x141180000,2,0,13,27,32,3,true,true,2-3-0-1,35,35,8,6,61,0,0,35,1,0,0,610,10,508,506,15830,184443,119852,6562221656234418933,4702875376004980675,true,true,true
36,0x141200000,0,1,13,27,36,1,false,false,0-3-2-1,35,35,8,6,61,0,0,35,1,0,0,610,10,559,557,17554,211037,138742,2898010839898453222,15849942130592147291,true,true,true
37,0x141280000,1,2,13,27,36,2,false,true,3-0-1-2,35,35,8,7,61,0,0,35,1,0,0,610,10,553,549,17636,204754,133577,17672867022965195428,1884461440249564159,true,true,true
38,0x141300000,2,0,13,27,36,3,true,false,0-3-2-1,35,35,8,6,61,0,0,35,1,0,0,610,10,559,557,17669,199396,129585,10366185708291082043,9981242272606750438,true,true,true
39,0x141380000,0,1,13,27,36,0,true,true,3-0-1-2,35,35,8,6,61,0,0,35,1,0,0,610,10,567,565,17552,205659,128935,595789467912763839,748929500704285403,true,true,true
40,0x141400000,1,2,13,27,44,2,false,false,1-0-3-2,35,35,8,7,61,0,0,35,1,0,0,610,10,638,634,21028,231611,150724,7322388150449533028,17207688562228114544,true,true,true
41,0x141480000,2,0,13,27,44,3,false,true,0-1-2-3,35,35,8,6,61,0,0,35,1,0,0,610,10,644,642,21056,224998,145817,2750240978408226594,6294550903471380180,true,true,true
42,0x141500000,0,1,13,27,44,0,true,false,1-0-3-2,35,35,8,6,61,0,0,35,1,0,0,610,10,652,650,20945,232272,145143,6416690750300111319,17795751941462805222,true,true,true
43,0x141580000,1,2,13,27,44,1,true,true,0-1-2-3,35,35,8,6,61,0,0,35,1,0,0,610,10,644,642,20866,238916,156692,12876941215944477274,7855250422758976171,true,true,true
44,0x141600000,2,0,13,27,48,3,false,false,2-1-0-3,35,35,8,6,61,0,0,35,1,0,0,610,10,695,693,23285,240870,155560,9508588077311619222,8470852257837674323,true,true,true
45,0x141680000,0,1,13,27,48,0,false,true,1-2-3-0,35,35,8,6,61,0,0,35,1,0,0,610,10,703,701,23174,248741,154872,8830227012838311492,5463359476348861264,true,true,true
46,0x141700000,1,2,13,27,48,1,true,false,2-1-0-3,35,35,8,6,61,0,0,35,1,0,0,610,10,695,693,23110,255543,167467,12541147507536255376,5179141321241133236,true,true,true
47,0x141780000,2,0,13,27,48,2,true,true,1-2-3-0,35,35,8,7,61,0,0,35,1,0,0,610,10,689,685,23374,247632,161014,6396394531637480535,9359156007245295974,true,true,true
48,0x141800000,0,1,13,28,32,2,false,false,1-0-3-2,35,35,8,7,61,0,0,35,1,0,0,610,10,502,498,15860,188845,123292,1846860305818860627,14402233917904035495,true,true,true
49,0x141880000,1,2,13,28,32,3,false,true,0-1-2-3,35,35,8,6,61,0,0,35,1,0,0,610,10,508,506,15737,184225,119849,3406577463279025128,8112479309392398838,true,true,true
50,0x141900000,2,0,13,28,32,0,true,false,1-0-3-2,35,35,8,6,61,0,0,35,1,0,0,610,10,516,514,15770,189905,119207,15757852459851905471,3284964504079078082,true,true,true
