stage,row,namespace,positions,cell_order,identity_rotation,reverse_arrows,reverse_spikes,delay,skew,phase_pattern,first_firings,second_firings,joint_firings,joint_expected,refractory_suppressed,blocked_outputs,stale_outputs,absent_outputs,threshold2_outputs,naturally_quiescent,replay_exact,external_spikes,source_firings,convergence_firings,downstream_firings,crossings,deallocations,proposals,cells,arrows,persistent_bytes,work,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,claims,passed
definitive,15,0xc40000f00000,-8|8|0|24,0|1|2|3,2,false,false,3,0,0,1|0|1|1,0|1|1|1,1|1|1|1,1,true,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,13,13,13,4,0,92,65,8576,1277,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,16,0xc40001000000,16|-16|0|-48,0|3|2|1,3,true,false,4,0,1,1|0|1|1,0|1|1|1,1|1|1|1,1,true,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,13,13,13,4,0,92,65,8576,1317,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,17,0xc40001100000,-32|32|0|96,1|3|0|2,0,true,false,5,0,2,1|0|1|1,0|1|1|1,1|1|1|1,1,true,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,13,13,13,4,0,92,65,8576,1297,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,18,0xc40001200000,64|-64|0|-192,2|1|3|0,1,false,true,0,1,0,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1338,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,19,0xc40001300000,-8|8|0|24,3|1|0|2,2,false,true,1,1,1,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1345,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,20,0xc40001400000,16|-16|0|-48,0|1|3|2,3,true,true,2,1,2,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1329,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,21,0xc40001500000,-32|32|0|96,1|0|2|3,0,true,false,3,1,0,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1331,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,22,0xc40001600000,64|-64|0|-192,1|3|2|0,1,false,false,4,1,1,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1346,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,23,0xc40001700000,-8|8|0|24,2|3|0|1,2,false,false,5,1,2,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1345,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,24,0xc40001800000,16|-16|0|-48,3|1|2|0,3,true,true,0,2,0,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1336,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
