row_id,candidate,stage,family,spec_fingerprint,seed,mirror,reverse_insertion,threshold,coupling,load,spacing,train_spacing,allocation,genuine,expected_effect,learning_work,execution_work,queue_work,delivered,generation_checks,temporary_peak_count,temporary_peak_bytes_lower_bound,temporary_accounting,persistent_bytes,arrow_records,live_structures,proposals,deallocations,return_updates,eligibility_writes,pressure_updates,locus_firings,effect_firings,transmissions,crossings,false_conjunction,resistance_start,resistance_end,coupling_start,coupling_end,reversal_cost,deallocation_cost,reacquisition_cost,timing_tolerance,dense_attribution_ok,recursion_depth,heldout_reuse,replay_equal,naturally_quiescent,runaway,complete_fingerprint,permanent_fingerprint,row_pass
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d5-tr2-a2,CJ-E,gate,timing_transfer,3456756080225894456,1307,false,false,2,1,0,5,2,2,true,false,35,18,2,8,8,2,80,LOWER_BOUND,272,2,0,0,0,1,3,3,0,0,NA,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,4448640115013632922,3237896780919964896,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d-1-tr4-a2,CJ-E,gate,timing_transfer,3229542864705819494,1307,false,false,2,1,0,-1,4,2,true,false,35,19,3,8,8,2,80,LOWER_BOUND,272,2,0,0,0,1,3,3,0,0,NA,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,15127353430035889846,3237896780919964896,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d0-tr4-a2,CJ-E,gate,timing_transfer,3639862050988136420,1307,false,false,2,1,0,0,4,2,true,false,35,30,2,9,9,2,80,LOWER_BOUND,272,2,0,0,0,1,4,3,0,1,NA,1,false,0,0,0,0,0,0,0,1,false,0,true,false,true,false,9764699636791829030,3237896780919964896,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d1-tr4-a2,CJ-E,gate,timing_transfer,6905061257468357192,1307,false,false,2,1,0,1,4,2,true,false,35,18,2,8,8,2,80,LOWER_BOUND,272,2,0,0,0,1,3,3,0,0,NA,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,2505241919603149666,3237896780919964896,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d2-tr4-a2,CJ-E,gate,timing_transfer,15420210846381276584,1307,false,false,2,1,0,2,4,2,true,false,35,18,2,8,8,2,80,LOWER_BOUND,272,2,0,0,0,1,3,3,0,0,NA,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,4111723784747781560,3237896780919964896,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d3-tr4-a2,CJ-E,gate,timing_transfer,10498215226536973404,1307,false,false,2,1,0,3,4,2,true,false,35,18,2,8,8,2,80,LOWER_BOUND,272,2,0,0,0,1,3,3,0,0,NA,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,11524081567029185098,3237896780919964896,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d4-tr4-a2,CJ-E,gate,timing_transfer,5592134732253933380,1307,false,false,2,1,0,4,4,2,true,false,35,18,2,8,8,2,80,LOWER_BOUND,272,2,0,0,0,1,3,3,0,0,NA,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,17869707576083701324,3237896780919964896,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l0-d5-tr4-a2,CJ-E,gate,timing_transfer,12840544146326874576,1307,false,false,2,1,0,5,4,2,true,false,35,18,2,8,8,2,80,LOWER_BOUND,272,2,0,0,0,1,3,3,0,0,NA,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,4448640115013632922,3237896780919964896,true
coverage-correction-v2-contemporary-reversal-s1307-m0-r0-t2-c1-l0-d0-tr0-a2,CJ-E,gate,shared_control,13304157059339300550,1307,false,false,2,1,0,0,0,2,true,true,613,240,166,61,61,4,160,LOWER_BOUND,848,8,2,2,0,40,44,8,2,4,NA,12,false,1,15,1,2,853,0,145,0,false,0,false,false,true,false,3435617146137497736,17792961183063101165,false
coverage-correction-v2-burst-4-s1307-m0-r0-t2-c1-l4-d1-tr0-a2,CJ-E,gate,same_source_bursts,14836814779565620879,1307,false,false,2,1,4,1,0,2,false,false,0,67,12,8,8,4,160,LOWER_BOUND,272,2,0,0,0,3,4,0,0,0,NA,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,17408472829844299909,4529935801872501089,true
