arm,seed,suite,scenario,namespace,updates_a,updates_b,resistance_a,resistance_b,coupling_a,coupling_b,live_a,live_b,crossings_a,crossings_b,generations,work,accepts,path_edges,firings,deallocations,bytes,fingerprint,permanent,quiescent,clauses,replay,passed
C,5201,px2,joint-traversal-return,2009104419651584,1,1,7,7,2,2,true,true,2,2,a1|b1,518,4,0,20,0,992,8063456401888600203,16839212145174036586,true,true|true|true|true|true|true|true|true,true,true
C,5201,px2,forward-with-wrong-way-observation,2009104420700160,1,0,6,0,2,1,true,false,2,0,a1|b2,452,2,0,16,1,992,3129490432849191411,5300685414135636092,true,true|true|true|true|true|true|true|true,true,true
C,5201,px2,reverse-with-wrong-way-observation,2009104421748736,0,1,0,6,1,2,false,true,0,2,a2|b1,452,2,0,16,1,992,6213305251190642787,4070501859314221400,true,true|true|true|true|true|true|true|true,true,true
C,5209,dense,unrelated-nearby-no-lawful-return,2009106512609280,0,0,1,1,1,1,true,true,1,0,a1|b1,175,0,0,5,0,2784,9385345880766629455,8342121238715724241,true,true|true|true|true|true|true|true|true,true,true
C,5209,dense,lawful-return-in-dense-world,2009106513657856,1,0,4,1,2,1,true,true,1,0,a1|b1,176,1,0,5,0,2784,3338000381602103562,11098912590495853967,true,true|true|true|true|true|true|true|true,true,true
C,5209,dense,other-candidate-return,2009106514706432,0,0,1,1,1,1,true,true,1,0,a1|b1,173,0,0,5,0,2784,2800063911429594712,3779763368064040593,true,true|true|true|true|true|true|true|true,true,true
C,5209,dense,both-traverse-one-return,2009106515755008,1,0,4,1,2,1,true,true,1,1,a1|b1,324,1,0,9,0,2784,12593527460390004463,9885082056069192783,true,true|true|true|true|true|true|true|true,true,true
C,5209,dense,both-traverse-both-return,2009106516803584,1,1,4,4,2,2,true,true,1,1,a1|b1,374,2,0,10,0,2784,7678634837771798620,12870884502287178689,true,true|true|true|true|true|true|true|true,true,true
C,5209,dense,cross-and-distractors-no-return,2009106517852160,0,0,1,1,1,1,true,true,2,1,a1|b1,1256,0,0,25,0,2784,6573525046231391186,333576803126285201,true,true|true|true|true|true|true|true|true,true,true
C,5209,dense,lawful-return-with-all-distractors,2009106518900736,1,0,4,1,2,1,true,true,2,1,a1|b1,1259,1,0,25,0,2784,10665442758827148492,14518189742595318831,true,true|true|true|true|true|true|true|true,true,true
C,5209,dense,return-without-candidate,2009106519949312,0,0,1,1,1,1,true,true,0,0,a1|b1,35,0,0,1,0,2784,4418460189358297035,14058681683828365777,true,true|true|true|true|true|true|true|true,true,true
C,5209,dense,late-lawful-return,2009106520997888,0,0,0,1,1,1,false,true,1,0,a2|b1,177,0,0,5,1,2784,16102275179987729770,1053978390164463258,true,true|true|true|true|true|true|true|true,true,true
C,5209,dense,adjacent-renewed-upstream,2009106522046464,0,0,1,1,1,1,true,true,2,0,a1|b1,276,0,0,8,0,2784,9240234045865250401,5825233540309759249,true,true|true|true|true|true|true|true|true,true,true
C,5209,px0,acquisition,2009106529386496,0,0,12,0,2,1,true,false,4,0,a1|b2,528,4,0,20,1,992,14242438029982543526,5494073756088844048,true,true|true|true|true|true|true|true|true,true,true
C,5209,px0,probation,2009106530435072,0,0,0,0,2,1,false,false,1,0,a2|b2,109,1,0,5,2,992,183470494493973349,5688836585622704794,true,true|true|true|true|true|true|true|true,true,true
C,5209,px0,stable-return-specificity,2009106531483648,0,0,4,1,2,1,true,true,1,1,a1|b1,180,1,0,9,0,992,291633849939378820,11307019957946887584,true,true|true|true|true|true|true|true|true,true,true
C,5209,px0,forgetting,2009106532532224,0,0,0,0,2,1,false,false,4,0,a2|b2,546,4,0,20,2,992,13419057741465784903,3540216328986315897,true,true|true|true|true|true|true|true|true,true,true
C,5209,px0,fresh-reproposal,2009106533580800,0,0,1,0,1,0,true,false,4,0,old2|fresh6,85,0,0,6,1,560,10702927553872097526,12415707799565152228,true,true|true|true|true|true|true|true|true,true,true
C,5209,px0,reacquisition,2009106534629376,0,0,11,0,2,0,true,false,11,0,old2|fresh6,280,4,0,16,1,560,9216353239176891610,9780737750967860088,true,true|true|true|true|true|true|true|true,true,true
C,5209,px1,support-a,2009106546163712,1,0,7,1,2,1,true,true,2,0,a1|b1,216,2,0,10,0,992,12424433719591140208,13763857994998796102,true,true|true|true|true|true|true|true|true,true,true
C,5209,px1,support-b,2009106547212288,0,1,1,7,1,2,true,true,0,2,a1|b1,216,2,0,10,0,992,18298626877279579908,1816266389353090558,true,true|true|true|true|true|true|true|true,true,true
C,5209,px1,no-support,2009106548260864,0,0,1,1,1,1,true,true,0,0,a1|b1,0,0,0,0,0,992,7552686244503029068,17249745833401260364,true,true|true|true|true|true|true|true|true,true,true
C,5209,px1,participation-return-blocked,2009106549309440,0,0,0,1,1,1,false,true,1,0,a2|b1,136,0,0,7,1,992,3256230136785051392,1337454340665447743,true,true|true|true|true|true|true|true|true,true,true
C,5209,px1,return-without-participation,2009106550358016,0,0,1,1,1,1,true,true,0,0,a1|b1,41,0,0,2,0,992,9273847064596959569,1558951179250597035,true,true|true|true|true|true|true|true|true,true,true
C,5209,px1,joint-participation,2009106551406592,1,1,7,7,2,2,true,true,2,2,a1|b1,518,4,0,20,0,992,8630622566925050257,4495296830568140132,true,true|true|true|true|true|true|true|true,true,true
C,5209,px2,forward-traversal-return,2009106562940928,1,0,7,1,2,1,true,true,2,0,a1|b1,216,2,0,10,0,992,11652989838455872038,9754446661722061288,true,true|true|true|true|true|true|true|true,true,true
C,5209,px2,reverse-traversal-return,2009106563989504,0,1,1,7,1,2,true,true,0,2,a1|b1,216,2,0,10,0,992,8242762986573998954,1550119377946939576,true,true|true|true|true|true|true|true|true,true,true
C,5209,px2,correlation-without-traversal,2009106565038080,0,0,0,0,1,1,false,false,0,0,a2|b2,370,0,0,12,2,992,11155449191927254421,15700041993261058298,true,true|true|true|true|true|true|true|true,true,true
C,5209,px2,forward-return-blocked,2009106566086656,0,0,0,1,1,1,false,true,1,0,a2|b1,136,0,0,7,1,992,4943907669393450774,17793771475634318809,true,true|true|true|true|true|true|true|true,true,true
C,5209,px2,joint-traversal-return,2009106567135232,1,1,7,7,2,2,true,true,2,2,a1|b1,518,4,0,20,0,992,16515493569435704971,7626557382631429482,true,true|true|true|true|true|true|true|true,true,true
C,5209,px2,forward-with-wrong-way-observation,2009106568183808,1,0,6,0,2,1,true,false,2,0,a1|b2,452,2,0,16,1,992,5277117683056186611,3898627581370884988,true,true|true|true|true|true|true|true|true,true,true
C,5209,px2,reverse-with-wrong-way-observation,2009106569232384,0,1,0,6,1,2,false,true,0,2,a2|b1,452,2,0,16,1,992,5180771469221329251,14395365947301779544,true,true|true|true|true|true|true|true|true,true,true
C,5227,dense,unrelated-nearby-no-lawful-return,2009111344447488,0,0,1,1,1,1,true,true,1,0,a1|b1,175,0,0,5,0,2784,9699193498396009986,9407736430019570096,true,true|true|true|true|true|true|true|true,true,true
