family,permutation,mechanics,replay_equal,cross_equal,baseline_equal,expected_firing,physical_work,tick,quiescent,pending,loads,trace_hash,case_pass
threshold_plus2_plus1,identity,production,true,true,true,true,11,0,true,0,0,634af463eec1f36870f0939526966725bfa79112a27bc9dfc86643b131154475,true
threshold_plus2_plus1,reverse_input,reference,true,true,true,true,11,0,true,0,0,634af463eec1f36870f0939526966725bfa79112a27bc9dfc86643b131154475,true
threshold_plus2_plus1,reverse_input,production,true,true,true,true,11,0,true,0,0,634af463eec1f36870f0939526966725bfa79112a27bc9dfc86643b131154475,true
threshold_plus2_plus1,reverse_cell_insertion,reference,true,true,true,true,11,0,true,0,0,634af463eec1f36870f0939526966725bfa79112a27bc9dfc86643b131154475,true
threshold_plus2_plus1,reverse_cell_insertion,production,true,true,true,true,11,0,true,0,0,634af463eec1f36870f0939526966725bfa79112a27bc9dfc86643b131154475,true
threshold_plus2_plus1,reverse_arrow_insertion,reference,true,true,true,true,11,0,true,0,0,634af463eec1f36870f0939526966725bfa79112a27bc9dfc86643b131154475,true
threshold_plus2_plus1,reverse_arrow_insertion,production,true,true,true,true,11,0,true,0,0,634af463eec1f36870f0939526966725bfa79112a27bc9dfc86643b131154475,true
threshold_plus2_plus1,reverse_physical_names,reference,true,true,true,true,11,0,true,0,0,634af463eec1f36870f0939526966725bfa79112a27bc9dfc86643b131154475,true
threshold_plus2_plus1,reverse_physical_names,production,true,true,true,true,11,0,true,0,0,634af463eec1f36870f0939526966725bfa79112a27bc9dfc86643b131154475,true
threshold_plus2_plus1,random_physical_names,reference,true,true,true,true,11,0,true,0,0,634af463eec1f36870f0939526966725bfa79112a27bc9dfc86643b131154475,true
threshold_plus2_plus1,random_physical_names,production,true,true,true,true,11,0,true,0,0,634af463eec1f36870f0939526966725bfa79112a27bc9dfc86643b131154475,true
preexisting_state,identity,reference,true,true,true,true,21,0,true,0,0,04890fe3065173744a741c71a59984827de3f55a845c36f0c6df1ed0ed2465c1,true
preexisting_state,identity,production,true,true,true,true,21,0,true,0,0,04890fe3065173744a741c71a59984827de3f55a845c36f0c6df1ed0ed2465c1,true
preexisting_state,reverse_input,reference,true,true,true,true,21,0,true,0,0,04890fe3065173744a741c71a59984827de3f55a845c36f0c6df1ed0ed2465c1,true
preexisting_state,reverse_input,production,true,true,true,true,21,0,true,0,0,04890fe3065173744a741c71a59984827de3f55a845c36f0c6df1ed0ed2465c1,true
