case_id,root,creation_phase,family,mechanics,points,trace_hash,physical_work,drive,modulation,updates,proposals,deallocations,qlp,final_tick,body_hash,quiescent,partition_equal,target_fires,predicate_pass
63,4200000,2,traversal_cannot_alter_forgetting,reference,0@2:1/4/0/0/1|1/4/0/0/1;9@11:1/4/9/12571524225/1|1/4/9/0/1;39@41:1/1/9/1813536193/1|1/1/9/0/1;40@42:0/0/0/0/0|0/0/0/0/0,a09823d163171ee331922ea8fd5e89c49e5027aa3d05707e3793370551755943,10,8,0,0,0,2,0,42,fff7325ba23a1ebf2d619c7529846eb13b8b3dc8e37cc37e44dfa71091639494,1,1,0,1
63,4200000,2,traversal_cannot_alter_forgetting,production,0@2:1/4/0/0/1|1/4/0/0/1;9@11:1/4/9/12571524225/1|1/4/9/0/1;39@41:1/1/9/1813536193/1|1/1/9/0/1;40@42:0/0/0/0/0|0/0/0/0/0,a09823d163171ee331922ea8fd5e89c49e5027aa3d05707e3793370551755943,10,8,0,0,0,2,0,42,fff7325ba23a1ebf2d619c7529846eb13b8b3dc8e37cc37e44dfa71091639494,1,1,0,1
64,4200000,2,host_time_partition_invariance,reference,0@2:1/4/0/0/1;37@39:1/1/7/0/1;40@42:0/0/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1,0,0,0,0,1,0,42,937012a09d3fa498193d1df46566801df896706a2f12d00f91d9449133efa6be,1,1,0,1
64,4200000,2,host_time_partition_invariance,production,0@2:1/4/0/0/1;37@39:1/1/7/0/1;40@42:0/0/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1,0,0,0,0,1,0,42,937012a09d3fa498193d1df46566801df896706a2f12d00f91d9449133efa6be,1,1,0,1
65,4200000,2,local_death_blocks_stale_delivery,reference,0@2:1/1/0/0/1;15@17:0/0/0/0/0,9cae84dd9b6e1d10e372e1e7625cfe736791df8ebee199458bfb9b3cca2852eb,2,1,0,0,0,1,0,17,6ceaf000bfb5740793d3ae6daefab19adffdd5a49245dfc0ba5b51c3f67e44e3,1,1,0,1
65,4200000,2,local_death_blocks_stale_delivery,production,0@2:1/1/0/0/1;15@17:0/0/0/0/0,9cae84dd9b6e1d10e372e1e7625cfe736791df8ebee199458bfb9b3cca2852eb,2,1,0,0,0,1,0,17,6ceaf000bfb5740793d3ae6daefab19adffdd5a49245dfc0ba5b51c3f67e44e3,1,1,0,1
66,4200000,3,phase_free_weak_lifetime,reference,0@3:1/1/0/0/1;1@4:1/1/1/0/1;9@12:1/1/9/0/1;10@13:0/0/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1,0,0,0,0,1,0,13,937012a09d3fa498193d1df46566801df896706a2f12d00f91d9449133efa6be,1,1,0,1
66,4200000,3,phase_free_weak_lifetime,production,0@3:1/1/0/0/1;1@4:1/1/1/0/1;9@12:1/1/9/0/1;10@13:0/0/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1,0,0,0,0,1,0,13,937012a09d3fa498193d1df46566801df896706a2f12d00f91d9449133efa6be,1,1,0,1
67,4200000,3,resistance_scales_lifetime,reference,0@3:1/1/0/0/1|1/2/0/0/1|1/4/0/0/1;9@12:1/1/9/0/1|1/2/9/0/1|1/4/9/0/1;10@13:0/0/0/0/0|1/1/0/0/1|1/3/0/0/1;19@22:0/0/0/0/0|1/1/9/0/1|1/3/9/0/1;20@23:0/0/0/0/0|0/0/0/0/0|1/2/0/0/1;39@42:0/0/0/0/0|0/0/0/0/0|1/1/9/0/1;40@43:0/0/0/0/0|0/0/0/0/0|0/0/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,3,0,0,0,0,3,0,43,49d5306fa1f70834e4c49872b7f3a4a4ad00af465127b2e92bbd01a1ed2f8b8b,1,1,0,1
67,4200000,3,resistance_scales_lifetime,production,0@3:1/1/0/0/1|1/2/0/0/1|1/4/0/0/1;9@12:1/1/9/0/1|1/2/9/0/1|1/4/9/0/1;10@13:0/0/0/0/0|1/1/0/0/1|1/3/0/0/1;19@22:0/0/0/0/0|1/1/9/0/1|1/3/9/0/1;20@23:0/0/0/0/0|0/0/0/0/0|1/2/0/0/1;39@42:0/0/0/0/0|0/0/0/0/0|1/1/9/0/1;40@43:0/0/0/0/0|0/0/0/0/0|0/0/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,3,0,0,0,0,3,0,43,49d5306fa1f70834e4c49872b7f3a4a4ad00af465127b2e92bbd01a1ed2f8b8b,1,1,0,1
68,4200000,3,traversal_cannot_alter_forgetting,reference,0@3:1/4/0/0/1|1/4/0/0/1;9@12:1/4/9/12571524225/1|1/4/9/0/1;39@42:1/1/9/1813536193/1|1/1/9/0/1;40@43:0/0/0/0/0|0/0/0/0/0,cdffb41896b5e73154e06cf688447c90126056b93b8c3940134d41b706634e4a,10,8,0,0,0,2,0,43,fff7325ba23a1ebf2d619c7529846eb13b8b3dc8e37cc37e44dfa71091639494,1,1,0,1
68,4200000,3,traversal_cannot_alter_forgetting,production,0@3:1/4/0/0/1|1/4/0/0/1;9@12:1/4/9/12571524225/1|1/4/9/0/1;39@42:1/1/9/1813536193/1|1/1/9/0/1;40@43:0/0/0/0/0|0/0/0/0/0,cdffb41896b5e73154e06cf688447c90126056b93b8c3940134d41b706634e4a,10,8,0,0,0,2,0,43,fff7325ba23a1ebf2d619c7529846eb13b8b3dc8e37cc37e44dfa71091639494,1,1,0,1
69,4200000,3,host_time_partition_invariance,reference,0@3:1/4/0/0/1;37@40:1/1/7/0/1;40@43:0/0/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1,0,0,0,0,1,0,43,937012a09d3fa498193d1df46566801df896706a2f12d00f91d9449133efa6be,1,1,0,1
69,4200000,3,host_time_partition_invariance,production,0@3:1/4/0/0/1;37@40:1/1/7/0/1;40@43:0/0/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1,0,0,0,0,1,0,43,937012a09d3fa498193d1df46566801df896706a2f12d00f91d9449133efa6be,1,1,0,1
70,4200000,3,local_death_blocks_stale_delivery,reference,0@3:1/1/0/0/1;15@18:0/0/0/0/0,834f2e9cd51599b448e4704fcc29fed7c00410cf413ad88d5b68f55ffdf63c18,2,1,0,0,0,1,0,18,6ceaf000bfb5740793d3ae6daefab19adffdd5a49245dfc0ba5b51c3f67e44e3,1,1,0,1
70,4200000,3,local_death_blocks_stale_delivery,production,0@3:1/1/0/0/1;15@18:0/0/0/0/0,834f2e9cd51599b448e4704fcc29fed7c00410cf413ad88d5b68f55ffdf63c18,2,1,0,0,0,1,0,18,6ceaf000bfb5740793d3ae6daefab19adffdd5a49245dfc0ba5b51c3f67e44e3,1,1,0,1
