profile,mechanics,index,context,stage,role,contact,arrow,coupling,resistance,participation
CORE1-B,reference,3,430,consequence,outgoing,10332,24604,4294967296,1717986919,2916000000
CORE1-B,reference,3,430,consequence,outgoing,10332,24605,-4294967296,1717986919,2916000000
CORE1-B,reference,3,430,consequence,outgoing,10336,10336,4294967296,268435456000,3110400000
CORE1-B,reference,3,430,probe,direct,none,24580,4294967296,3006477108,3538944000
CORE1-B,reference,3,430,probe,direct,none,24581,-4294967296,3006477108,3538944000
CORE1-B,reference,3,430,probe,outgoing,10332,24580,4294967296,3006477108,3538944000
CORE1-B,reference,3,430,probe,outgoing,10332,24581,-4294967296,3006477108,3538944000
CORE1-B,reference,3,430,probe,outgoing,10336,10336,4294967296,263281495245,1433743821
CORE1-B,replay,0,779,before,outgoing,18700,18700,4294967296,274877906944,0
CORE1-B,replay,0,779,after,direct,none,24576,4294967296,3006477108,3538944000
CORE1-B,replay,0,779,after,direct,none,24577,-4294967296,3006477108,3538944000
CORE1-B,replay,0,779,after,outgoing,18696,24576,4294967296,3006477108,3538944000
CORE1-B,replay,0,779,after,outgoing,18696,24577,-4294967296,3006477108,3538944000
CORE1-B,replay,0,779,after,outgoing,18700,18700,4294967296,273589416756,3774873600
CORE1-B,replay,0,779,consequence,direct,none,24576,4294967296,1717986919,2916000000
CORE1-B,replay,0,779,consequence,direct,none,24577,-4294967296,1717986919,2916000000
CORE1-B,replay,0,779,consequence,outgoing,18696,24576,4294967296,1717986919,2916000000
CORE1-B,replay,0,779,consequence,outgoing,18696,24577,-4294967296,1717986919,2916000000
CORE1-B,replay,0,779,consequence,outgoing,18700,18700,4294967296,272300926567,3110400000
CORE1-B,replay,0,779,probe,direct,none,24584,4294967296,3006477108,3538944000
CORE1-B,replay,0,779,probe,direct,none,24585,-4294967296,3006477108,3538944000
CORE1-B,replay,0,779,probe,outgoing,18696,24584,4294967296,3006477108,3538944000
CORE1-B,replay,0,779,probe,outgoing,18696,24585,-4294967296,3006477108,3538944000
CORE1-B,replay,0,779,probe,outgoing,18700,18700,4294967296,267146965812,1433743821
CORE1-B,replay,1,34,before,outgoing,838,838,4294967296,274877906944,0
