case_id,root,start_tick,position_origin,family,mechanics,initial_states,after_consequence_states,final_states,initial_crossings,death_ages,selected_crossing_present,selection,proposals,updates,deallocations,physical_work,peak_live_candidates,final_tick,naturally_quiescent,replay_equal,mechanics_equal,predicate_pass,permutation_pass,case_pass,pre_body_hash,body_hash
6,6100000,0,0,bounded_reproposal,reference,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:0/0/0/0/0;1:0/0/0/0/0,[1, -1],[],true,neither,4,0,4,17,2,21,true,true,true,true,false,false,ad4a1bfd773fbf7a22bd0db825847eb04482d80877b11f2cc9c5bb6271a35663,706929c588b8b291f388f9e0da24bc64f36f85f2e6756bb1c5f54294654d689c
6,6100000,0,0,bounded_reproposal,production,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:0/0/0/0/0;1:0/0/0/0/0,[1, -1],[],true,neither,4,0,4,17,2,21,true,true,true,true,false,false,ad4a1bfd773fbf7a22bd0db825847eb04482d80877b11f2cc9c5bb6271a35663,706929c588b8b291f388f9e0da24bc64f36f85f2e6756bb1c5f54294654d689c
7,6100000,0,10000,symmetry_no_consequence,reference,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:0/0/0/0/0;1:0/0/0/0/0,[1, -1],[(-1, 10), (1, 10)],true,neither,2,0,2,7,2,10,true,true,true,true,false,false,8410b0f4159451d37859e1c3441b9a8e8c3d5b839d5a5664e7517ba47a579183,39f90ebab5ebe977cdd4a1ee92f276470d88f76b05f4b2f78a0c976928be9a94
7,6100000,0,10000,symmetry_no_consequence,production,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:0/0/0/0/0;1:0/0/0/0/0,[1, -1],[(-1, 10), (1, 10)],true,neither,2,0,2,7,2,10,true,true,true,true,false,false,8410b0f4159451d37859e1c3441b9a8e8c3d5b839d5a5664e7517ba47a579183,39f90ebab5ebe977cdd4a1ee92f276470d88f76b05f4b2f78a0c976928be9a94
8,6100000,0,10000,positive_useful,reference,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:1/4/3538944000/3538944000/0;1:1/4/3538944000/3538944000/0,-1:1/3/1740033984/3538944000/1;1:1/3/1740033984/3538944000/1,[1, -1],[],true,both,2,2,0,9,2,14,true,true,true,false,false,false,8410b0f4159451d37859e1c3441b9a8e8c3d5b839d5a5664e7517ba47a579183,34ecb37014cd4fd52e1dea9cefdcd4313cd1e138a0540b2a1fce1056c6a6f594
8,6100000,0,10000,positive_useful,production,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:1/4/3538944000/3538944000/0;1:1/4/3538944000/3538944000/0,-1:1/3/1740033984/3538944000/1;1:1/3/1740033984/3538944000/1,[1, -1],[],true,both,2,2,0,9,2,14,true,true,true,false,false,false,8410b0f4159451d37859e1c3441b9a8e8c3d5b839d5a5664e7517ba47a579183,34ecb37014cd4fd52e1dea9cefdcd4313cd1e138a0540b2a1fce1056c6a6f594
9,6100000,0,10000,negative_useful,reference,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:1/4/3538944000/3538944000/0;1:1/4/3538944000/3538944000/0,-1:1/3/1740033984/3538944000/1;1:1/3/1740033984/3538944000/1,[1, -1],[],true,both,2,2,0,9,2,14,true,true,true,false,false,false,8410b0f4159451d37859e1c3441b9a8e8c3d5b839d5a5664e7517ba47a579183,34ecb37014cd4fd52e1dea9cefdcd4313cd1e138a0540b2a1fce1056c6a6f594
9,6100000,0,10000,negative_useful,production,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:1/4/3538944000/3538944000/0;1:1/4/3538944000/3538944000/0,-1:1/3/1740033984/3538944000/1;1:1/3/1740033984/3538944000/1,[1, -1],[],true,both,2,2,0,9,2,14,true,true,true,false,false,false,8410b0f4159451d37859e1c3441b9a8e8c3d5b839d5a5664e7517ba47a579183,34ecb37014cd4fd52e1dea9cefdcd4313cd1e138a0540b2a1fce1056c6a6f594
10,6100000,0,10000,neither_useful_repeated,reference,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:0/0/0/0/0;1:0/0/0/0/0,[1, -1],[],true,neither,2,0,2,16,2,10,true,true,true,true,false,false,8410b0f4159451d37859e1c3441b9a8e8c3d5b839d5a5664e7517ba47a579183,39f90ebab5ebe977cdd4a1ee92f276470d88f76b05f4b2f78a0c976928be9a94
10,6100000,0,10000,neither_useful_repeated,production,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:0/0/0/0/0;1:0/0/0/0/0,[1, -1],[],true,neither,2,0,2,16,2,10,true,true,true,true,false,false,8410b0f4159451d37859e1c3441b9a8e8c3d5b839d5a5664e7517ba47a579183,39f90ebab5ebe977cdd4a1ee92f276470d88f76b05f4b2f78a0c976928be9a94
11,6100000,0,10000,both_useful,reference,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:1/7/3538944000/7077888000/0;1:1/7/3538944000/7077888000/0,-1:1/6/1740033984/7077888000/1;1:1/6/1740033984/7077888000/1,[1, -1],[],true,both,2,4,0,13,2,14,true,true,true,true,false,false,8410b0f4159451d37859e1c3441b9a8e8c3d5b839d5a5664e7517ba47a579183,41716eeb1a189d751743fe17ddcb4767a91377efb697d8d445167659c5352986
11,6100000,0,10000,both_useful,production,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:1/7/3538944000/7077888000/0;1:1/7/3538944000/7077888000/0,-1:1/6/1740033984/7077888000/1;1:1/6/1740033984/7077888000/1,[1, -1],[],true,both,2,4,0,13,2,14,true,true,true,true,false,false,8410b0f4159451d37859e1c3441b9a8e8c3d5b839d5a5664e7517ba47a579183,41716eeb1a189d751743fe17ddcb4767a91377efb697d8d445167659c5352986
12,6100000,0,10000,bounded_reproposal,reference,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:0/0/0/0/0;1:0/0/0/0/0,[1, -1],[],true,neither,4,0,4,17,2,21,true,true,true,true,false,false,8410b0f4159451d37859e1c3441b9a8e8c3d5b839d5a5664e7517ba47a579183,4d78b522390d58e4e86d7bc5312a9a54051646e737507c9d6fa8e60085201e71
12,6100000,0,10000,bounded_reproposal,production,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:0/0/0/0/0;1:0/0/0/0/0,[1, -1],[],true,neither,4,0,4,17,2,21,true,true,true,true,false,false,8410b0f4159451d37859e1c3441b9a8e8c3d5b839d5a5664e7517ba47a579183,4d78b522390d58e4e86d7bc5312a9a54051646e737507c9d6fa8e60085201e71
13,6100000,3,0,symmetry_no_consequence,reference,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:0/0/0/0/0;1:0/0/0/0/0,[1, -1],[(-1, 10), (1, 10)],true,neither,2,0,2,7,2,13,true,true,true,true,false,false,ad4a1bfd773fbf7a22bd0db825847eb04482d80877b11f2cc9c5bb6271a35663,62bc6add9b0f8105bf6ee86c2323f25c192336fc0c095b66091484914917942a
13,6100000,3,0,symmetry_no_consequence,production,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:0/0/0/0/0;1:0/0/0/0/0,[1, -1],[(-1, 10), (1, 10)],true,neither,2,0,2,7,2,13,true,true,true,true,false,false,ad4a1bfd773fbf7a22bd0db825847eb04482d80877b11f2cc9c5bb6271a35663,62bc6add9b0f8105bf6ee86c2323f25c192336fc0c095b66091484914917942a
14,6100000,3,0,positive_useful,reference,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:1/4/3538944000/3538944000/0;1:1/4/3538944000/3538944000/0,-1:1/3/1740033984/3538944000/1;1:1/3/1740033984/3538944000/1,[1, -1],[],true,both,2,2,0,9,2,17,true,true,true,false,false,false,ad4a1bfd773fbf7a22bd0db825847eb04482d80877b11f2cc9c5bb6271a35663,a8df64cdcadae8071e6248e565a5bc58336af64c13fc7fce4aaab6567a93185b
14,6100000,3,0,positive_useful,production,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:1/4/3538944000/3538944000/0;1:1/4/3538944000/3538944000/0,-1:1/3/1740033984/3538944000/1;1:1/3/1740033984/3538944000/1,[1, -1],[],true,both,2,2,0,9,2,17,true,true,true,false,false,false,ad4a1bfd773fbf7a22bd0db825847eb04482d80877b11f2cc9c5bb6271a35663,a8df64cdcadae8071e6248e565a5bc58336af64c13fc7fce4aaab6567a93185b
15,6100000,3,0,negative_useful,reference,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:1/4/3538944000/3538944000/0;1:1/4/3538944000/3538944000/0,-1:1/3/1740033984/3538944000/1;1:1/3/1740033984/3538944000/1,[1, -1],[],true,both,2,2,0,9,2,17,true,true,true,false,false,false,ad4a1bfd773fbf7a22bd0db825847eb04482d80877b11f2cc9c5bb6271a35663,a8df64cdcadae8071e6248e565a5bc58336af64c13fc7fce4aaab6567a93185b
15,6100000,3,0,negative_useful,production,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:1/4/3538944000/3538944000/0;1:1/4/3538944000/3538944000/0,-1:1/3/1740033984/3538944000/1;1:1/3/1740033984/3538944000/1,[1, -1],[],true,both,2,2,0,9,2,17,true,true,true,false,false,false,ad4a1bfd773fbf7a22bd0db825847eb04482d80877b11f2cc9c5bb6271a35663,a8df64cdcadae8071e6248e565a5bc58336af64c13fc7fce4aaab6567a93185b
16,6100000,3,0,neither_useful_repeated,reference,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:0/0/0/0/0;1:0/0/0/0/0,[1, -1],[],true,neither,2,0,2,16,2,13,true,true,true,true,false,false,ad4a1bfd773fbf7a22bd0db825847eb04482d80877b11f2cc9c5bb6271a35663,62bc6add9b0f8105bf6ee86c2323f25c192336fc0c095b66091484914917942a
16,6100000,3,0,neither_useful_repeated,production,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:0/0/0/0/0;1:0/0/0/0/0,[1, -1],[],true,neither,2,0,2,16,2,13,true,true,true,true,false,false,ad4a1bfd773fbf7a22bd0db825847eb04482d80877b11f2cc9c5bb6271a35663,62bc6add9b0f8105bf6ee86c2323f25c192336fc0c095b66091484914917942a
17,6100000,3,0,both_useful,reference,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:1/7/3538944000/7077888000/0;1:1/7/3538944000/7077888000/0,-1:1/6/1740033984/7077888000/1;1:1/6/1740033984/7077888000/1,[1, -1],[],true,both,2,4,0,13,2,17,true,true,true,true,false,false,ad4a1bfd773fbf7a22bd0db825847eb04482d80877b11f2cc9c5bb6271a35663,169e894925773ebcb60c48d3c196f0317e81972fa5e0ce8276a908236f2c2d2d
17,6100000,3,0,both_useful,production,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:1/7/3538944000/7077888000/0;1:1/7/3538944000/7077888000/0,-1:1/6/1740033984/7077888000/1;1:1/6/1740033984/7077888000/1,[1, -1],[],true,both,2,4,0,13,2,17,true,true,true,true,false,false,ad4a1bfd773fbf7a22bd0db825847eb04482d80877b11f2cc9c5bb6271a35663,169e894925773ebcb60c48d3c196f0317e81972fa5e0ce8276a908236f2c2d2d
18,6100000,3,0,bounded_reproposal,reference,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:0/0/0/0/0;1:0/0/0/0/0,[1, -1],[],true,neither,4,0,4,17,2,24,true,true,true,true,false,false,ad4a1bfd773fbf7a22bd0db825847eb04482d80877b11f2cc9c5bb6271a35663,706929c588b8b291f388f9e0da24bc64f36f85f2e6756bb1c5f54294654d689c
18,6100000,3,0,bounded_reproposal,production,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:0/0/0/0/0;1:0/0/0/0/0,[1, -1],[],true,neither,4,0,4,17,2,24,true,true,true,true,false,false,ad4a1bfd773fbf7a22bd0db825847eb04482d80877b11f2cc9c5bb6271a35663,706929c588b8b291f388f9e0da24bc64f36f85f2e6756bb1c5f54294654d689c
19,6100000,3,10000,symmetry_no_consequence,reference,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:0/0/0/0/0;1:0/0/0/0/0,[1, -1],[(-1, 10), (1, 10)],true,neither,2,0,2,7,2,13,true,true,true,true,false,false,8410b0f4159451d37859e1c3441b9a8e8c3d5b839d5a5664e7517ba47a579183,39f90ebab5ebe977cdd4a1ee92f276470d88f76b05f4b2f78a0c976928be9a94
19,6100000,3,10000,symmetry_no_consequence,production,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:0/0/0/0/0;1:0/0/0/0/0,[1, -1],[(-1, 10), (1, 10)],true,neither,2,0,2,7,2,13,true,true,true,true,false,false,8410b0f4159451d37859e1c3441b9a8e8c3d5b839d5a5664e7517ba47a579183,39f90ebab5ebe977cdd4a1ee92f276470d88f76b05f4b2f78a0c976928be9a94
20,6100000,3,10000,positive_useful,reference,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:1/4/3538944000/3538944000/0;1:1/4/3538944000/3538944000/0,-1:1/3/1740033984/3538944000/1;1:1/3/1740033984/3538944000/1,[1, -1],[],true,both,2,2,0,9,2,17,true,true,true,false,false,false,8410b0f4159451d37859e1c3441b9a8e8c3d5b839d5a5664e7517ba47a579183,34ecb37014cd4fd52e1dea9cefdcd4313cd1e138a0540b2a1fce1056c6a6f594
20,6100000,3,10000,positive_useful,production,-1:1/1/4026531840/0/1;1:1/1/4026531840/0/1,-1:1/4/3538944000/3538944000/0;1:1/4/3538944000/3538944000/0,-1:1/3/1740033984/3538944000/1;1:1/3/1740033984/3538944000/1,[1, -1],[],true,both,2,2,0,9,2,17,true,true,true,false,false,false,8410b0f4159451d37859e1c3441b9a8e8c3d5b839d5a5664e7517ba47a579183,34ecb37014cd4fd52e1dea9cefdcd4313cd1e138a0540b2a1fce1056c6a6f594
