case,family,root,phase,mechanics,replay_equal,cross_mechanics_equal,checks_pass,failed,cell_deallocations,arrow_deallocations,physical_work,trace_len,crossings,final_tick,naturally_quiescent,body_hash,markers
60,orphan_topology_reclamation,7200000,1,reference,true,true,true,,1,2,3,3,0,21,true,7867c44d1a09480fd22b03db6e25c54488a1981ed31b2fc3ac1c8ec4bba32995,contact_slot=Some(CellSlot(1));replacement_slot=Some(CellSlot(1));old_arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1))];new_arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1))]
60,orphan_topology_reclamation,7200000,1,production,true,true,true,,1,2,3,3,0,21,true,7867c44d1a09480fd22b03db6e25c54488a1981ed31b2fc3ac1c8ec4bba32995,contact_slot=Some(CellSlot(1));replacement_slot=Some(CellSlot(1));old_arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1))];new_arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1))]
61,cell_lifetime_phase_invariance,7200000,2,reference,true,true,true,,3,0,3,3,0,42,true,eb30c7cca5126a0855c1aa95876421a5af6da718a766403f72755b07325e97de,before=[(Some(true); Some(1); Some(9)); (Some(true); Some(2); Some(9)); (Some(true); Some(4); Some(9))]|deaths=[Some(10); Some(20); Some(40)]
61,cell_lifetime_phase_invariance,7200000,2,production,true,true,true,,3,0,3,3,0,42,true,eb30c7cca5126a0855c1aa95876421a5af6da718a766403f72755b07325e97de,before=[(Some(true); Some(1); Some(9)); (Some(true); Some(2); Some(9)); (Some(true); Some(4); Some(9))]|deaths=[Some(10); Some(20); Some(40)]
62,cell_slot_generation_reuse,7200000,2,reference,true,true,true,,1,0,1,1,0,12,true,3e8f38bec2cff6f88e1fae94782f56171577590ff0169300deca71cf4c7cc48e,old=CellId(0)/CellRef { arena: ArenaId(7200000); id: CellId(0); generation: Generation(1) }/Some(CellSlot(0));dead=Some(false)/Some(Generation(2));new=CellId(1)/CellRef { arena: ArenaId(7200000); id: CellId(1); generation: Generation(2) }/Some(CellSlot(0))
62,cell_slot_generation_reuse,7200000,2,production,true,true,true,,1,0,1,1,0,12,true,3e8f38bec2cff6f88e1fae94782f56171577590ff0169300deca71cf4c7cc48e,old=CellId(0)/CellRef { arena: ArenaId(7200000); id: CellId(0); generation: Generation(1) }/Some(CellSlot(0));dead=Some(false)/Some(Generation(2));new=CellId(1)/CellRef { arena: ArenaId(7200000); id: CellId(1); generation: Generation(2) }/Some(CellSlot(0))
63,incoming_stale_arrow,7200000,2,reference,true,true,true,,1,1,3,4,0,42,true,630941d20176331311cd280367316d0a2c05ae87f15e546f1aa2465ff0e3b063,old=CellRef { arena: ArenaId(7200000); id: CellId(1); generation: Generation(1) }/Some(CellSlot(1));replacement=CellRef { arena: ArenaId(7200000); id: CellId(2); generation: Generation(2) }/Some(CellSlot(1));incoming_live_at_reuse=true;replacement_fires=0
63,incoming_stale_arrow,7200000,2,production,true,true,true,,1,1,3,4,0,42,true,630941d20176331311cd280367316d0a2c05ae87f15e546f1aa2465ff0e3b063,old=CellRef { arena: ArenaId(7200000); id: CellId(1); generation: Generation(1) }/Some(CellSlot(1));replacement=CellRef { arena: ArenaId(7200000); id: CellId(2); generation: Generation(2) }/Some(CellSlot(1));incoming_live_at_reuse=true;replacement_fires=0
64,outgoing_stale_arrow,7200000,2,reference,true,true,true,,1,1,3,4,0,42,true,56e102c709f119da9c96e0168c30b66aa5801e79d89aa1cd1d6fd438818ace4e,old=CellRef { arena: ArenaId(7200000); id: CellId(0); generation: Generation(1) }/Some(CellSlot(0));replacement=CellRef { arena: ArenaId(7200000); id: CellId(2); generation: Generation(2) }/Some(CellSlot(0));outgoing_live_at_reuse=true;sink_fires=0
64,outgoing_stale_arrow,7200000,2,production,true,true,true,,1,1,3,4,0,42,true,56e102c709f119da9c96e0168c30b66aa5801e79d89aa1cd1d6fd438818ace4e,old=CellRef { arena: ArenaId(7200000); id: CellId(0); generation: Generation(1) }/Some(CellSlot(0));replacement=CellRef { arena: ArenaId(7200000); id: CellId(2); generation: Generation(2) }/Some(CellSlot(0));outgoing_live_at_reuse=true;sink_fires=0
65,orphan_topology_reclamation,7200000,2,reference,true,true,true,,1,2,3,3,0,22,true,7867c44d1a09480fd22b03db6e25c54488a1981ed31b2fc3ac1c8ec4bba32995,contact_slot=Some(CellSlot(1));replacement_slot=Some(CellSlot(1));old_arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1))];new_arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1))]
65,orphan_topology_reclamation,7200000,2,production,true,true,true,,1,2,3,3,0,22,true,7867c44d1a09480fd22b03db6e25c54488a1981ed31b2fc3ac1c8ec4bba32995,contact_slot=Some(CellSlot(1));replacement_slot=Some(CellSlot(1));old_arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1))];new_arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1))]
66,cell_lifetime_phase_invariance,7200000,3,reference,true,true,true,,3,0,3,3,0,43,true,eb30c7cca5126a0855c1aa95876421a5af6da718a766403f72755b07325e97de,before=[(Some(true); Some(1); Some(9)); (Some(true); Some(2); Some(9)); (Some(true); Some(4); Some(9))]|deaths=[Some(10); Some(20); Some(40)]
66,cell_lifetime_phase_invariance,7200000,3,production,true,true,true,,3,0,3,3,0,43,true,eb30c7cca5126a0855c1aa95876421a5af6da718a766403f72755b07325e97de,before=[(Some(true); Some(1); Some(9)); (Some(true); Some(2); Some(9)); (Some(true); Some(4); Some(9))]|deaths=[Some(10); Some(20); Some(40)]
67,cell_slot_generation_reuse,7200000,3,reference,true,true,true,,1,0,1,1,0,13,true,3e8f38bec2cff6f88e1fae94782f56171577590ff0169300deca71cf4c7cc48e,old=CellId(0)/CellRef { arena: ArenaId(7200000); id: CellId(0); generation: Generation(1) }/Some(CellSlot(0));dead=Some(false)/Some(Generation(2));new=CellId(1)/CellRef { arena: ArenaId(7200000); id: CellId(1); generation: Generation(2) }/Some(CellSlot(0))
67,cell_slot_generation_reuse,7200000,3,production,true,true,true,,1,0,1,1,0,13,true,3e8f38bec2cff6f88e1fae94782f56171577590ff0169300deca71cf4c7cc48e,old=CellId(0)/CellRef { arena: ArenaId(7200000); id: CellId(0); generation: Generation(1) }/Some(CellSlot(0));dead=Some(false)/Some(Generation(2));new=CellId(1)/CellRef { arena: ArenaId(7200000); id: CellId(1); generation: Generation(2) }/Some(CellSlot(0))
68,incoming_stale_arrow,7200000,3,reference,true,true,true,,1,1,3,4,0,43,true,630941d20176331311cd280367316d0a2c05ae87f15e546f1aa2465ff0e3b063,old=CellRef { arena: ArenaId(7200000); id: CellId(1); generation: Generation(1) }/Some(CellSlot(1));replacement=CellRef { arena: ArenaId(7200000); id: CellId(2); generation: Generation(2) }/Some(CellSlot(1));incoming_live_at_reuse=true;replacement_fires=0
68,incoming_stale_arrow,7200000,3,production,true,true,true,,1,1,3,4,0,43,true,630941d20176331311cd280367316d0a2c05ae87f15e546f1aa2465ff0e3b063,old=CellRef { arena: ArenaId(7200000); id: CellId(1); generation: Generation(1) }/Some(CellSlot(1));replacement=CellRef { arena: ArenaId(7200000); id: CellId(2); generation: Generation(2) }/Some(CellSlot(1));incoming_live_at_reuse=true;replacement_fires=0
69,outgoing_stale_arrow,7200000,3,reference,true,true,true,,1,1,3,4,0,43,true,56e102c709f119da9c96e0168c30b66aa5801e79d89aa1cd1d6fd438818ace4e,old=CellRef { arena: ArenaId(7200000); id: CellId(0); generation: Generation(1) }/Some(CellSlot(0));replacement=CellRef { arena: ArenaId(7200000); id: CellId(2); generation: Generation(2) }/Some(CellSlot(0));outgoing_live_at_reuse=true;sink_fires=0
69,outgoing_stale_arrow,7200000,3,production,true,true,true,,1,1,3,4,0,43,true,56e102c709f119da9c96e0168c30b66aa5801e79d89aa1cd1d6fd438818ace4e,old=CellRef { arena: ArenaId(7200000); id: CellId(0); generation: Generation(1) }/Some(CellSlot(0));replacement=CellRef { arena: ArenaId(7200000); id: CellId(2); generation: Generation(2) }/Some(CellSlot(0));outgoing_live_at_reuse=true;sink_fires=0
70,orphan_topology_reclamation,7200000,3,reference,true,true,true,,1,2,3,3,0,23,true,7867c44d1a09480fd22b03db6e25c54488a1981ed31b2fc3ac1c8ec4bba32995,contact_slot=Some(CellSlot(1));replacement_slot=Some(CellSlot(1));old_arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1))];new_arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1))]
70,orphan_topology_reclamation,7200000,3,production,true,true,true,,1,2,3,3,0,23,true,7867c44d1a09480fd22b03db6e25c54488a1981ed31b2fc3ac1c8ec4bba32995,contact_slot=Some(CellSlot(1));replacement_slot=Some(CellSlot(1));old_arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1))];new_arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1))]
71,cell_lifetime_phase_invariance,7200000,4,reference,true,true,true,,3,0,3,3,0,44,true,eb30c7cca5126a0855c1aa95876421a5af6da718a766403f72755b07325e97de,before=[(Some(true); Some(1); Some(9)); (Some(true); Some(2); Some(9)); (Some(true); Some(4); Some(9))]|deaths=[Some(10); Some(20); Some(40)]
71,cell_lifetime_phase_invariance,7200000,4,production,true,true,true,,3,0,3,3,0,44,true,eb30c7cca5126a0855c1aa95876421a5af6da718a766403f72755b07325e97de,before=[(Some(true); Some(1); Some(9)); (Some(true); Some(2); Some(9)); (Some(true); Some(4); Some(9))]|deaths=[Some(10); Some(20); Some(40)]
72,cell_slot_generation_reuse,7200000,4,reference,true,true,true,,1,0,1,1,0,14,true,3e8f38bec2cff6f88e1fae94782f56171577590ff0169300deca71cf4c7cc48e,old=CellId(0)/CellRef { arena: ArenaId(7200000); id: CellId(0); generation: Generation(1) }/Some(CellSlot(0));dead=Some(false)/Some(Generation(2));new=CellId(1)/CellRef { arena: ArenaId(7200000); id: CellId(1); generation: Generation(2) }/Some(CellSlot(0))
72,cell_slot_generation_reuse,7200000,4,production,true,true,true,,1,0,1,1,0,14,true,3e8f38bec2cff6f88e1fae94782f56171577590ff0169300deca71cf4c7cc48e,old=CellId(0)/CellRef { arena: ArenaId(7200000); id: CellId(0); generation: Generation(1) }/Some(CellSlot(0));dead=Some(false)/Some(Generation(2));new=CellId(1)/CellRef { arena: ArenaId(7200000); id: CellId(1); generation: Generation(2) }/Some(CellSlot(0))
73,incoming_stale_arrow,7200000,4,reference,true,true,true,,1,1,3,4,0,44,true,630941d20176331311cd280367316d0a2c05ae87f15e546f1aa2465ff0e3b063,old=CellRef { arena: ArenaId(7200000); id: CellId(1); generation: Generation(1) }/Some(CellSlot(1));replacement=CellRef { arena: ArenaId(7200000); id: CellId(2); generation: Generation(2) }/Some(CellSlot(1));incoming_live_at_reuse=true;replacement_fires=0
73,incoming_stale_arrow,7200000,4,production,true,true,true,,1,1,3,4,0,44,true,630941d20176331311cd280367316d0a2c05ae87f15e546f1aa2465ff0e3b063,old=CellRef { arena: ArenaId(7200000); id: CellId(1); generation: Generation(1) }/Some(CellSlot(1));replacement=CellRef { arena: ArenaId(7200000); id: CellId(2); generation: Generation(2) }/Some(CellSlot(1));incoming_live_at_reuse=true;replacement_fires=0
74,outgoing_stale_arrow,7200000,4,reference,true,true,true,,1,1,3,4,0,44,true,56e102c709f119da9c96e0168c30b66aa5801e79d89aa1cd1d6fd438818ace4e,old=CellRef { arena: ArenaId(7200000); id: CellId(0); generation: Generation(1) }/Some(CellSlot(0));replacement=CellRef { arena: ArenaId(7200000); id: CellId(2); generation: Generation(2) }/Some(CellSlot(0));outgoing_live_at_reuse=true;sink_fires=0
74,outgoing_stale_arrow,7200000,4,production,true,true,true,,1,1,3,4,0,44,true,56e102c709f119da9c96e0168c30b66aa5801e79d89aa1cd1d6fd438818ace4e,old=CellRef { arena: ArenaId(7200000); id: CellId(0); generation: Generation(1) }/Some(CellSlot(0));replacement=CellRef { arena: ArenaId(7200000); id: CellId(2); generation: Generation(2) }/Some(CellSlot(0));outgoing_live_at_reuse=true;sink_fires=0
75,orphan_topology_reclamation,7200000,4,reference,true,true,true,,1,2,3,3,0,24,true,7867c44d1a09480fd22b03db6e25c54488a1981ed31b2fc3ac1c8ec4bba32995,contact_slot=Some(CellSlot(1));replacement_slot=Some(CellSlot(1));old_arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1))];new_arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1))]
75,orphan_topology_reclamation,7200000,4,production,true,true,true,,1,2,3,3,0,24,true,7867c44d1a09480fd22b03db6e25c54488a1981ed31b2fc3ac1c8ec4bba32995,contact_slot=Some(CellSlot(1));replacement_slot=Some(CellSlot(1));old_arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1))];new_arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1))]
76,cell_lifetime_phase_invariance,7200000,5,reference,true,true,true,,3,0,3,3,0,45,true,eb30c7cca5126a0855c1aa95876421a5af6da718a766403f72755b07325e97de,before=[(Some(true); Some(1); Some(9)); (Some(true); Some(2); Some(9)); (Some(true); Some(4); Some(9))]|deaths=[Some(10); Some(20); Some(40)]
76,cell_lifetime_phase_invariance,7200000,5,production,true,true,true,,3,0,3,3,0,45,true,eb30c7cca5126a0855c1aa95876421a5af6da718a766403f72755b07325e97de,before=[(Some(true); Some(1); Some(9)); (Some(true); Some(2); Some(9)); (Some(true); Some(4); Some(9))]|deaths=[Some(10); Some(20); Some(40)]
77,cell_slot_generation_reuse,7200000,5,reference,true,true,true,,1,0,1,1,0,15,true,3e8f38bec2cff6f88e1fae94782f56171577590ff0169300deca71cf4c7cc48e,old=CellId(0)/CellRef { arena: ArenaId(7200000); id: CellId(0); generation: Generation(1) }/Some(CellSlot(0));dead=Some(false)/Some(Generation(2));new=CellId(1)/CellRef { arena: ArenaId(7200000); id: CellId(1); generation: Generation(2) }/Some(CellSlot(0))
77,cell_slot_generation_reuse,7200000,5,production,true,true,true,,1,0,1,1,0,15,true,3e8f38bec2cff6f88e1fae94782f56171577590ff0169300deca71cf4c7cc48e,old=CellId(0)/CellRef { arena: ArenaId(7200000); id: CellId(0); generation: Generation(1) }/Some(CellSlot(0));dead=Some(false)/Some(Generation(2));new=CellId(1)/CellRef { arena: ArenaId(7200000); id: CellId(1); generation: Generation(2) }/Some(CellSlot(0))
78,incoming_stale_arrow,7200000,5,reference,true,true,true,,1,1,3,4,0,45,true,630941d20176331311cd280367316d0a2c05ae87f15e546f1aa2465ff0e3b063,old=CellRef { arena: ArenaId(7200000); id: CellId(1); generation: Generation(1) }/Some(CellSlot(1));replacement=CellRef { arena: ArenaId(7200000); id: CellId(2); generation: Generation(2) }/Some(CellSlot(1));incoming_live_at_reuse=true;replacement_fires=0
78,incoming_stale_arrow,7200000,5,production,true,true,true,,1,1,3,4,0,45,true,630941d20176331311cd280367316d0a2c05ae87f15e546f1aa2465ff0e3b063,old=CellRef { arena: ArenaId(7200000); id: CellId(1); generation: Generation(1) }/Some(CellSlot(1));replacement=CellRef { arena: ArenaId(7200000); id: CellId(2); generation: Generation(2) }/Some(CellSlot(1));incoming_live_at_reuse=true;replacement_fires=0
79,outgoing_stale_arrow,7200000,5,reference,true,true,true,,1,1,3,4,0,45,true,56e102c709f119da9c96e0168c30b66aa5801e79d89aa1cd1d6fd438818ace4e,old=CellRef { arena: ArenaId(7200000); id: CellId(0); generation: Generation(1) }/Some(CellSlot(0));replacement=CellRef { arena: ArenaId(7200000); id: CellId(2); generation: Generation(2) }/Some(CellSlot(0));outgoing_live_at_reuse=true;sink_fires=0
79,outgoing_stale_arrow,7200000,5,production,true,true,true,,1,1,3,4,0,45,true,56e102c709f119da9c96e0168c30b66aa5801e79d89aa1cd1d6fd438818ace4e,old=CellRef { arena: ArenaId(7200000); id: CellId(0); generation: Generation(1) }/Some(CellSlot(0));replacement=CellRef { arena: ArenaId(7200000); id: CellId(2); generation: Generation(2) }/Some(CellSlot(0));outgoing_live_at_reuse=true;sink_fires=0
80,orphan_topology_reclamation,7200000,5,reference,true,true,true,,1,2,3,3,0,25,true,7867c44d1a09480fd22b03db6e25c54488a1981ed31b2fc3ac1c8ec4bba32995,contact_slot=Some(CellSlot(1));replacement_slot=Some(CellSlot(1));old_arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1))];new_arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1))]
80,orphan_topology_reclamation,7200000,5,production,true,true,true,,1,2,3,3,0,25,true,7867c44d1a09480fd22b03db6e25c54488a1981ed31b2fc3ac1c8ec4bba32995,contact_slot=Some(CellSlot(1));replacement_slot=Some(CellSlot(1));old_arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1))];new_arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1))]
81,cell_lifetime_phase_invariance,7200000,6,reference,true,true,true,,3,0,3,3,0,46,true,eb30c7cca5126a0855c1aa95876421a5af6da718a766403f72755b07325e97de,before=[(Some(true); Some(1); Some(9)); (Some(true); Some(2); Some(9)); (Some(true); Some(4); Some(9))]|deaths=[Some(10); Some(20); Some(40)]
81,cell_lifetime_phase_invariance,7200000,6,production,true,true,true,,3,0,3,3,0,46,true,eb30c7cca5126a0855c1aa95876421a5af6da718a766403f72755b07325e97de,before=[(Some(true); Some(1); Some(9)); (Some(true); Some(2); Some(9)); (Some(true); Some(4); Some(9))]|deaths=[Some(10); Some(20); Some(40)]
82,cell_slot_generation_reuse,7200000,6,reference,true,true,true,,1,0,1,1,0,16,true,3e8f38bec2cff6f88e1fae94782f56171577590ff0169300deca71cf4c7cc48e,old=CellId(0)/CellRef { arena: ArenaId(7200000); id: CellId(0); generation: Generation(1) }/Some(CellSlot(0));dead=Some(false)/Some(Generation(2));new=CellId(1)/CellRef { arena: ArenaId(7200000); id: CellId(1); generation: Generation(2) }/Some(CellSlot(0))
82,cell_slot_generation_reuse,7200000,6,production,true,true,true,,1,0,1,1,0,16,true,3e8f38bec2cff6f88e1fae94782f56171577590ff0169300deca71cf4c7cc48e,old=CellId(0)/CellRef { arena: ArenaId(7200000); id: CellId(0); generation: Generation(1) }/Some(CellSlot(0));dead=Some(false)/Some(Generation(2));new=CellId(1)/CellRef { arena: ArenaId(7200000); id: CellId(1); generation: Generation(2) }/Some(CellSlot(0))
83,incoming_stale_arrow,7200000,6,reference,true,true,true,,1,1,3,4,0,46,true,630941d20176331311cd280367316d0a2c05ae87f15e546f1aa2465ff0e3b063,old=CellRef { arena: ArenaId(7200000); id: CellId(1); generation: Generation(1) }/Some(CellSlot(1));replacement=CellRef { arena: ArenaId(7200000); id: CellId(2); generation: Generation(2) }/Some(CellSlot(1));incoming_live_at_reuse=true;replacement_fires=0
83,incoming_stale_arrow,7200000,6,production,true,true,true,,1,1,3,4,0,46,true,630941d20176331311cd280367316d0a2c05ae87f15e546f1aa2465ff0e3b063,old=CellRef { arena: ArenaId(7200000); id: CellId(1); generation: Generation(1) }/Some(CellSlot(1));replacement=CellRef { arena: ArenaId(7200000); id: CellId(2); generation: Generation(2) }/Some(CellSlot(1));incoming_live_at_reuse=true;replacement_fires=0
84,outgoing_stale_arrow,7200000,6,reference,true,true,true,,1,1,3,4,0,46,true,56e102c709f119da9c96e0168c30b66aa5801e79d89aa1cd1d6fd438818ace4e,old=CellRef { arena: ArenaId(7200000); id: CellId(0); generation: Generation(1) }/Some(CellSlot(0));replacement=CellRef { arena: ArenaId(7200000); id: CellId(2); generation: Generation(2) }/Some(CellSlot(0));outgoing_live_at_reuse=true;sink_fires=0
84,outgoing_stale_arrow,7200000,6,production,true,true,true,,1,1,3,4,0,46,true,56e102c709f119da9c96e0168c30b66aa5801e79d89aa1cd1d6fd438818ace4e,old=CellRef { arena: ArenaId(7200000); id: CellId(0); generation: Generation(1) }/Some(CellSlot(0));replacement=CellRef { arena: ArenaId(7200000); id: CellId(2); generation: Generation(2) }/Some(CellSlot(0));outgoing_live_at_reuse=true;sink_fires=0
85,orphan_topology_reclamation,7200000,6,reference,true,true,true,,1,2,3,3,0,26,true,7867c44d1a09480fd22b03db6e25c54488a1981ed31b2fc3ac1c8ec4bba32995,contact_slot=Some(CellSlot(1));replacement_slot=Some(CellSlot(1));old_arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1))];new_arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1))]
85,orphan_topology_reclamation,7200000,6,production,true,true,true,,1,2,3,3,0,26,true,7867c44d1a09480fd22b03db6e25c54488a1981ed31b2fc3ac1c8ec4bba32995,contact_slot=Some(CellSlot(1));replacement_slot=Some(CellSlot(1));old_arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1))];new_arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1))]
86,cell_lifetime_phase_invariance,7200000,7,reference,true,true,true,,3,0,3,3,0,47,true,eb30c7cca5126a0855c1aa95876421a5af6da718a766403f72755b07325e97de,before=[(Some(true); Some(1); Some(9)); (Some(true); Some(2); Some(9)); (Some(true); Some(4); Some(9))]|deaths=[Some(10); Some(20); Some(40)]
86,cell_lifetime_phase_invariance,7200000,7,production,true,true,true,,3,0,3,3,0,47,true,eb30c7cca5126a0855c1aa95876421a5af6da718a766403f72755b07325e97de,before=[(Some(true); Some(1); Some(9)); (Some(true); Some(2); Some(9)); (Some(true); Some(4); Some(9))]|deaths=[Some(10); Some(20); Some(40)]
