case_id,root,initial_phase,scenario,mechanics,a_updates,b_updates,a_initial_resistance,a_final_resistance,a_initial_coupling,a_final_coupling,a_live,b_initial_resistance,b_final_resistance,b_initial_coupling,b_final_coupling,b_live,drive_deliveries,modulatory_deliveries,fires,resistance_events,proposals,deallocations,crossings,ca_fires,physical_work,final_tick,pressure_phase,trace_hash,body_hash,quiescent
7,1300000,0,c5_dense_distractors,reference,1,0,4,7,1,1,1,4,4,1,1,1,71,1,37,1,0,0,0,2,73,1,1,44a17d3ef9a9bcae7f19ce3fd94641d5e7e9ba908599e68de76f0d350948ce4c,e3f1982ed7aacfbcb1bf15a9ae7ea5b470bb169c99186bb3d87173fff728b8c7,1
7,1300000,0,c5_dense_distractors,production,1,0,4,7,1,1,1,4,4,1,1,1,71,1,37,1,0,0,0,2,73,1,1,44a17d3ef9a9bcae7f19ce3fd94641d5e7e9ba908599e68de76f0d350948ce4c,e3f1982ed7aacfbcb1bf15a9ae7ea5b470bb169c99186bb3d87173fff728b8c7,1
8,1300000,0,c6_swapped_identity,reference,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,0,0,6a27d28db5085fe05ac066823f566a631fd61f32031e751da406991167dfbb59,1d95a50bf6607c40a5056896c6a09df8992f102a9384556714ac03c2de6aa58e,1
8,1300000,0,c6_swapped_identity,production,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,0,0,6a27d28db5085fe05ac066823f566a631fd61f32031e751da406991167dfbb59,1d95a50bf6607c40a5056896c6a09df8992f102a9384556714ac03c2de6aa58e,1
9,1300000,0,c6_reverse_order,reference,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,0,0,da5c22a5e59bf05fc9a0e6a26c0ab06f8fec0d54e285b3523869be95ecaf9a70,769cc22368356229ec599a9ff73c60c4c7ee771d4e52171e03c36668ee94174b,1
9,1300000,0,c6_reverse_order,production,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,0,0,da5c22a5e59bf05fc9a0e6a26c0ab06f8fec0d54e285b3523869be95ecaf9a70,769cc22368356229ec599a9ff73c60c4c7ee771d4e52171e03c36668ee94174b,1
10,1300000,0,c6_timing_offset,reference,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,2,2,cdcf047ccb94a5b3cc9e91460071696d5612cb2352993134bc6d7d3f518e6320,c6f96e07b9c8a41a00d3ff52a7ecfb90fe81867fdc227679783babb61921e29c,1
10,1300000,0,c6_timing_offset,production,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,2,2,cdcf047ccb94a5b3cc9e91460071696d5612cb2352993134bc6d7d3f518e6320,c6f96e07b9c8a41a00d3ff52a7ecfb90fe81867fdc227679783babb61921e29c,1
11,1300000,0,c7_contact_fanout,reference,1,1,4,7,1,1,1,4,7,1,1,1,6,1,4,2,0,0,0,1,9,0,0,edda0f81a90f690c928319939797f2dbc17c3cb09fc6027b7c714d62dc3c722c,7b9c5cb5148b3f1b2c03e5851e9e663c2242a3295fea14b41877f9469326eb13,1
11,1300000,0,c7_contact_fanout,production,1,1,4,7,1,1,1,4,7,1,1,1,6,1,4,2,0,0,0,1,9,0,0,edda0f81a90f690c928319939797f2dbc17c3cb09fc6027b7c714d62dc3c722c,7b9c5cb5148b3f1b2c03e5851e9e663c2242a3295fea14b41877f9469326eb13,1
12,1300000,1,old_source_local,reference,1,1,4,7,1,1,1,4,7,1,1,1,4,1,2,2,0,0,0,1,7,1,1,f3cee1ff12fb6dbd0d27d7d2a6fd5f4fbc5246de270dd9c4dfded34f511521ba,c6d1333a6aedaf4f5c23a03d0b8146a3c5f89bf7184c82ae0ab9b838f80cb1a3,1
12,1300000,1,old_source_local,production,1,1,4,7,1,1,1,4,7,1,1,1,4,1,2,2,0,0,0,1,7,1,1,f3cee1ff12fb6dbd0d27d7d2a6fd5f4fbc5246de270dd9c4dfded34f511521ba,c6d1333a6aedaf4f5c23a03d0b8146a3c5f89bf7184c82ae0ab9b838f80cb1a3,1
13,1300000,1,c0_contact_a,reference,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,1,1,35048e4ac78c9ce6e1bd7c64917fa272c002de28ebf0724a39a2f834dfbf4921,19b2c87d31b3bb6cdee7a6cfb42d847c516f61616a51c201dd19de6df028dc2d,1
13,1300000,1,c0_contact_a,production,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,1,1,35048e4ac78c9ce6e1bd7c64917fa272c002de28ebf0724a39a2f834dfbf4921,19b2c87d31b3bb6cdee7a6cfb42d847c516f61616a51c201dd19de6df028dc2d,1
14,1300000,1,c1_contact_b,reference,0,1,4,4,1,1,1,4,7,1,1,1,6,1,4,1,0,0,0,1,8,1,1,d21a50a4e565286d1c27a731963fdf3fbad645b258ac0275bc342299ad396217,108a955c815b48efa20d063396a2b9b354a1de4f7802847ecc9456ec893d327c,1
14,1300000,1,c1_contact_b,production,0,1,4,4,1,1,1,4,7,1,1,1,6,1,4,1,0,0,0,1,8,1,1,d21a50a4e565286d1c27a731963fdf3fbad645b258ac0275bc342299ad396217,108a955c815b48efa20d063396a2b9b354a1de4f7802847ecc9456ec893d327c,1
15,1300000,1,c2_a_not_traversed,reference,0,0,4,4,1,1,1,4,4,1,1,1,3,1,2,0,0,0,0,0,4,1,1,694327f6c93892752fb867974cc77c9d36bdcd80742cea0089e51da042b9ec10,bf1c6d057bd4d92d9ef76ef8c44c4fe0193332305255ae78108f5c77abf1e51c,1
15,1300000,1,c2_a_not_traversed,production,0,0,4,4,1,1,1,4,4,1,1,1,3,1,2,0,0,0,0,0,4,1,1,694327f6c93892752fb867974cc77c9d36bdcd80742cea0089e51da042b9ec10,bf1c6d057bd4d92d9ef76ef8c44c4fe0193332305255ae78108f5c77abf1e51c,1
16,1300000,1,c3_drive_at_ca,reference,0,0,4,4,1,1,1,4,4,1,1,1,7,0,4,0,0,0,0,2,7,2,2,2d9698915b94f09e5779721a062086bec504e9d8c2c4712e16a5d847a746c118,2dd327c5a5b82d5dfc1eeab45b6cf6c74d1e910b8aead18126e8da2fb85bb216,1
16,1300000,1,c3_drive_at_ca,production,0,0,4,4,1,1,1,4,4,1,1,1,7,0,4,0,0,0,0,2,7,2,2,2d9698915b94f09e5779721a062086bec504e9d8c2c4712e16a5d847a746c118,2dd327c5a5b82d5dfc1eeab45b6cf6c74d1e910b8aead18126e8da2fb85bb216,1
17,1300000,1,c4_late_modulation,reference,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,6,6,2968e9ca221341b9e22c1176c7aa1da950240f8c57f05df7af76ea87d16350b5,19b2c87d31b3bb6cdee7a6cfb42d847c516f61616a51c201dd19de6df028dc2d,1
17,1300000,1,c4_late_modulation,production,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,6,6,2968e9ca221341b9e22c1176c7aa1da950240f8c57f05df7af76ea87d16350b5,19b2c87d31b3bb6cdee7a6cfb42d847c516f61616a51c201dd19de6df028dc2d,1
18,1300000,1,c5_dense_distractors,reference,1,0,4,7,1,1,1,4,4,1,1,1,71,1,37,1,0,0,0,2,73,2,2,03c08e116da2be933e1030e16afee4da132d14d93f4321b420b6e2eeaf99f4ac,e3f1982ed7aacfbcb1bf15a9ae7ea5b470bb169c99186bb3d87173fff728b8c7,1
18,1300000,1,c5_dense_distractors,production,1,0,4,7,1,1,1,4,4,1,1,1,71,1,37,1,0,0,0,2,73,2,2,03c08e116da2be933e1030e16afee4da132d14d93f4321b420b6e2eeaf99f4ac,e3f1982ed7aacfbcb1bf15a9ae7ea5b470bb169c99186bb3d87173fff728b8c7,1
19,1300000,1,c6_swapped_identity,reference,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,1,1,e8a9a1bc3271a11e3603ee2ddefebef4053d7aa23df77d7013fa9e3a13b4b2b1,1d95a50bf6607c40a5056896c6a09df8992f102a9384556714ac03c2de6aa58e,1
19,1300000,1,c6_swapped_identity,production,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,1,1,e8a9a1bc3271a11e3603ee2ddefebef4053d7aa23df77d7013fa9e3a13b4b2b1,1d95a50bf6607c40a5056896c6a09df8992f102a9384556714ac03c2de6aa58e,1
20,1300000,1,c6_reverse_order,reference,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,1,1,86054e5a051896fa24426c6ddcce9dea17c5dfe02da345fe91bfc6dec2cb7691,769cc22368356229ec599a9ff73c60c4c7ee771d4e52171e03c36668ee94174b,1
20,1300000,1,c6_reverse_order,production,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,1,1,86054e5a051896fa24426c6ddcce9dea17c5dfe02da345fe91bfc6dec2cb7691,769cc22368356229ec599a9ff73c60c4c7ee771d4e52171e03c36668ee94174b,1
21,1300000,1,c6_timing_offset,reference,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,3,3,25376fe6751c8f6409f78212e0255c57bd25e2ce4e1df543a26f8e4c216d0c4c,c6f96e07b9c8a41a00d3ff52a7ecfb90fe81867fdc227679783babb61921e29c,1
21,1300000,1,c6_timing_offset,production,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,3,3,25376fe6751c8f6409f78212e0255c57bd25e2ce4e1df543a26f8e4c216d0c4c,c6f96e07b9c8a41a00d3ff52a7ecfb90fe81867fdc227679783babb61921e29c,1
22,1300000,1,c7_contact_fanout,reference,1,1,4,7,1,1,1,4,7,1,1,1,6,1,4,2,0,0,0,1,9,1,1,3a1dc66bd4c01016a06e21795d247750785c7d497cd8ea2b8e51e1ce63758387,7b9c5cb5148b3f1b2c03e5851e9e663c2242a3295fea14b41877f9469326eb13,1
22,1300000,1,c7_contact_fanout,production,1,1,4,7,1,1,1,4,7,1,1,1,6,1,4,2,0,0,0,1,9,1,1,3a1dc66bd4c01016a06e21795d247750785c7d497cd8ea2b8e51e1ce63758387,7b9c5cb5148b3f1b2c03e5851e9e663c2242a3295fea14b41877f9469326eb13,1
23,1300000,2,old_source_local,reference,1,1,4,7,1,1,1,4,7,1,1,1,4,1,2,2,0,0,0,1,7,2,2,5f8d36265847d8f9879cda922f6b55731e2f644f104f1f9af96760b6287dd956,c6d1333a6aedaf4f5c23a03d0b8146a3c5f89bf7184c82ae0ab9b838f80cb1a3,1
23,1300000,2,old_source_local,production,1,1,4,7,1,1,1,4,7,1,1,1,4,1,2,2,0,0,0,1,7,2,2,5f8d36265847d8f9879cda922f6b55731e2f644f104f1f9af96760b6287dd956,c6d1333a6aedaf4f5c23a03d0b8146a3c5f89bf7184c82ae0ab9b838f80cb1a3,1
24,1300000,2,c0_contact_a,reference,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,2,2,091c4d6e6677847cc558dda82f60a3b1941519d6cbd9803ec22cb376c999e4ec,19b2c87d31b3bb6cdee7a6cfb42d847c516f61616a51c201dd19de6df028dc2d,1
24,1300000,2,c0_contact_a,production,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,2,2,091c4d6e6677847cc558dda82f60a3b1941519d6cbd9803ec22cb376c999e4ec,19b2c87d31b3bb6cdee7a6cfb42d847c516f61616a51c201dd19de6df028dc2d,1
25,1300000,2,c1_contact_b,reference,0,1,4,4,1,1,1,4,7,1,1,1,6,1,4,1,0,0,0,1,8,2,2,d507caf84a9d0dbec000ae8aed8263ad9cadd4af06f112b69574c103067c62d4,108a955c815b48efa20d063396a2b9b354a1de4f7802847ecc9456ec893d327c,1
25,1300000,2,c1_contact_b,production,0,1,4,4,1,1,1,4,7,1,1,1,6,1,4,1,0,0,0,1,8,2,2,d507caf84a9d0dbec000ae8aed8263ad9cadd4af06f112b69574c103067c62d4,108a955c815b48efa20d063396a2b9b354a1de4f7802847ecc9456ec893d327c,1
26,1300000,2,c2_a_not_traversed,reference,0,0,4,4,1,1,1,4,4,1,1,1,3,1,2,0,0,0,0,0,4,2,2,1fd972fa683f01706da3803c407adbac73dc1b77a1b684c5517efe33b0d6613f,bf1c6d057bd4d92d9ef76ef8c44c4fe0193332305255ae78108f5c77abf1e51c,1
26,1300000,2,c2_a_not_traversed,production,0,0,4,4,1,1,1,4,4,1,1,1,3,1,2,0,0,0,0,0,4,2,2,1fd972fa683f01706da3803c407adbac73dc1b77a1b684c5517efe33b0d6613f,bf1c6d057bd4d92d9ef76ef8c44c4fe0193332305255ae78108f5c77abf1e51c,1
27,1300000,2,c3_drive_at_ca,reference,0,0,4,4,1,1,1,4,4,1,1,1,7,0,4,0,0,0,0,2,7,3,3,660f91e3c8695584822cf32f4c32f09d42e68281a64f8f0e62391dd0e254d581,2dd327c5a5b82d5dfc1eeab45b6cf6c74d1e910b8aead18126e8da2fb85bb216,1
27,1300000,2,c3_drive_at_ca,production,0,0,4,4,1,1,1,4,4,1,1,1,7,0,4,0,0,0,0,2,7,3,3,660f91e3c8695584822cf32f4c32f09d42e68281a64f8f0e62391dd0e254d581,2dd327c5a5b82d5dfc1eeab45b6cf6c74d1e910b8aead18126e8da2fb85bb216,1
28,1300000,2,c4_late_modulation,reference,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,7,7,153566ca69e3eea5143a672d432df97d36e13f7d5e60706eb6c4bfdd77334537,19b2c87d31b3bb6cdee7a6cfb42d847c516f61616a51c201dd19de6df028dc2d,1
28,1300000,2,c4_late_modulation,production,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,7,7,153566ca69e3eea5143a672d432df97d36e13f7d5e60706eb6c4bfdd77334537,19b2c87d31b3bb6cdee7a6cfb42d847c516f61616a51c201dd19de6df028dc2d,1
29,1300000,2,c5_dense_distractors,reference,1,0,4,7,1,1,1,4,4,1,1,1,71,1,37,1,0,0,0,2,73,3,3,324bca3612ecebb0b91a3111b60256938536d20cd5cbbe8deffc499c17864e1a,e3f1982ed7aacfbcb1bf15a9ae7ea5b470bb169c99186bb3d87173fff728b8c7,1
29,1300000,2,c5_dense_distractors,production,1,0,4,7,1,1,1,4,4,1,1,1,71,1,37,1,0,0,0,2,73,3,3,324bca3612ecebb0b91a3111b60256938536d20cd5cbbe8deffc499c17864e1a,e3f1982ed7aacfbcb1bf15a9ae7ea5b470bb169c99186bb3d87173fff728b8c7,1
30,1300000,2,c6_swapped_identity,reference,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,2,2,72a30f4e5fa737940df15827826c62c17848cfe04ac05c308644b8561bc85269,1d95a50bf6607c40a5056896c6a09df8992f102a9384556714ac03c2de6aa58e,1
30,1300000,2,c6_swapped_identity,production,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,2,2,72a30f4e5fa737940df15827826c62c17848cfe04ac05c308644b8561bc85269,1d95a50bf6607c40a5056896c6a09df8992f102a9384556714ac03c2de6aa58e,1
31,1300000,2,c6_reverse_order,reference,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,2,2,778198fe00d06d0e6198530993fa366251e9a0b1f6e2e225eb993a12c5a2b8ab,769cc22368356229ec599a9ff73c60c4c7ee771d4e52171e03c36668ee94174b,1
31,1300000,2,c6_reverse_order,production,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,2,2,778198fe00d06d0e6198530993fa366251e9a0b1f6e2e225eb993a12c5a2b8ab,769cc22368356229ec599a9ff73c60c4c7ee771d4e52171e03c36668ee94174b,1
32,1300000,2,c6_timing_offset,reference,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,4,4,2f0668ce37866d83ddf0dd26c03ca648fa6e98608b77c2b743a53a2c9e51695d,c6f96e07b9c8a41a00d3ff52a7ecfb90fe81867fdc227679783babb61921e29c,1
32,1300000,2,c6_timing_offset,production,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,4,4,2f0668ce37866d83ddf0dd26c03ca648fa6e98608b77c2b743a53a2c9e51695d,c6f96e07b9c8a41a00d3ff52a7ecfb90fe81867fdc227679783babb61921e29c,1
33,1300000,2,c7_contact_fanout,reference,1,1,4,7,1,1,1,4,7,1,1,1,6,1,4,2,0,0,0,1,9,2,2,a6d862abdbfd6030889904c9ca5740d594ef5653b5c557d6c22241bbf9c661de,7b9c5cb5148b3f1b2c03e5851e9e663c2242a3295fea14b41877f9469326eb13,1
33,1300000,2,c7_contact_fanout,production,1,1,4,7,1,1,1,4,7,1,1,1,6,1,4,2,0,0,0,1,9,2,2,a6d862abdbfd6030889904c9ca5740d594ef5653b5c557d6c22241bbf9c661de,7b9c5cb5148b3f1b2c03e5851e9e663c2242a3295fea14b41877f9469326eb13,1
34,1300000,3,old_source_local,reference,1,1,4,7,1,1,1,4,7,1,1,1,4,1,2,2,0,0,0,1,7,3,3,71e05a84cc40696660f0468213e663cbd94f81adf5f5e4757bc8a57bb8a348e4,c6d1333a6aedaf4f5c23a03d0b8146a3c5f89bf7184c82ae0ab9b838f80cb1a3,1
34,1300000,3,old_source_local,production,1,1,4,7,1,1,1,4,7,1,1,1,4,1,2,2,0,0,0,1,7,3,3,71e05a84cc40696660f0468213e663cbd94f81adf5f5e4757bc8a57bb8a348e4,c6d1333a6aedaf4f5c23a03d0b8146a3c5f89bf7184c82ae0ab9b838f80cb1a3,1
35,1300000,3,c0_contact_a,reference,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,3,3,74595d65a0ceff869ef64de9054b67882e4d665c503bc3da18c7b0a385084920,19b2c87d31b3bb6cdee7a6cfb42d847c516f61616a51c201dd19de6df028dc2d,1
35,1300000,3,c0_contact_a,production,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,3,3,74595d65a0ceff869ef64de9054b67882e4d665c503bc3da18c7b0a385084920,19b2c87d31b3bb6cdee7a6cfb42d847c516f61616a51c201dd19de6df028dc2d,1
36,1300000,3,c1_contact_b,reference,0,1,4,4,1,1,1,4,7,1,1,1,6,1,4,1,0,0,0,1,8,3,3,2719eabd00df02f0fca513418df8528d58f09a3f4a8a7161f5d44c8290854bf3,108a955c815b48efa20d063396a2b9b354a1de4f7802847ecc9456ec893d327c,1
36,1300000,3,c1_contact_b,production,0,1,4,4,1,1,1,4,7,1,1,1,6,1,4,1,0,0,0,1,8,3,3,2719eabd00df02f0fca513418df8528d58f09a3f4a8a7161f5d44c8290854bf3,108a955c815b48efa20d063396a2b9b354a1de4f7802847ecc9456ec893d327c,1
37,1300000,3,c2_a_not_traversed,reference,0,0,4,4,1,1,1,4,4,1,1,1,3,1,2,0,0,0,0,0,4,3,3,679675e42d193dde5d029c3728ce554dcd2c26881a2ad173661013ba4376fb02,bf1c6d057bd4d92d9ef76ef8c44c4fe0193332305255ae78108f5c77abf1e51c,1
37,1300000,3,c2_a_not_traversed,production,0,0,4,4,1,1,1,4,4,1,1,1,3,1,2,0,0,0,0,0,4,3,3,679675e42d193dde5d029c3728ce554dcd2c26881a2ad173661013ba4376fb02,bf1c6d057bd4d92d9ef76ef8c44c4fe0193332305255ae78108f5c77abf1e51c,1
38,1300000,3,c3_drive_at_ca,reference,0,0,4,4,1,1,1,4,4,1,1,1,7,0,4,0,0,0,0,2,7,4,4,a7c4d1319d2762f292ee923036c46b4d9f3dc34ce13ecadf528e022b1d2027ec,2dd327c5a5b82d5dfc1eeab45b6cf6c74d1e910b8aead18126e8da2fb85bb216,1
38,1300000,3,c3_drive_at_ca,production,0,0,4,4,1,1,1,4,4,1,1,1,7,0,4,0,0,0,0,2,7,4,4,a7c4d1319d2762f292ee923036c46b4d9f3dc34ce13ecadf528e022b1d2027ec,2dd327c5a5b82d5dfc1eeab45b6cf6c74d1e910b8aead18126e8da2fb85bb216,1
39,1300000,3,c4_late_modulation,reference,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,8,8,5aa02cf070318a7f7ffcaf69cfe72e3267a41769fb9405979e6abef4220ebb58,19b2c87d31b3bb6cdee7a6cfb42d847c516f61616a51c201dd19de6df028dc2d,1
39,1300000,3,c4_late_modulation,production,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,8,8,5aa02cf070318a7f7ffcaf69cfe72e3267a41769fb9405979e6abef4220ebb58,19b2c87d31b3bb6cdee7a6cfb42d847c516f61616a51c201dd19de6df028dc2d,1
40,1300000,3,c5_dense_distractors,reference,1,0,4,7,1,1,1,4,4,1,1,1,71,1,37,1,0,0,0,2,73,4,4,2d06ef2877421ea44ce9b3c1b052be7ddd61309a6da3403aa06f8578cd75c844,e3f1982ed7aacfbcb1bf15a9ae7ea5b470bb169c99186bb3d87173fff728b8c7,1
40,1300000,3,c5_dense_distractors,production,1,0,4,7,1,1,1,4,4,1,1,1,71,1,37,1,0,0,0,2,73,4,4,2d06ef2877421ea44ce9b3c1b052be7ddd61309a6da3403aa06f8578cd75c844,e3f1982ed7aacfbcb1bf15a9ae7ea5b470bb169c99186bb3d87173fff728b8c7,1
41,1300000,3,c6_swapped_identity,reference,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,3,3,74c6cdf524d14375a99cf79724f4484244bc4452705df1d4f8c9c9f1706729fd,1d95a50bf6607c40a5056896c6a09df8992f102a9384556714ac03c2de6aa58e,1
41,1300000,3,c6_swapped_identity,production,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,3,3,74c6cdf524d14375a99cf79724f4484244bc4452705df1d4f8c9c9f1706729fd,1d95a50bf6607c40a5056896c6a09df8992f102a9384556714ac03c2de6aa58e,1
42,1300000,3,c6_reverse_order,reference,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,3,3,56cd15cd2a88fbd05e24f4022dcc6cc5cd8c094a7ca7d2a97a670a64d52d7cf9,769cc22368356229ec599a9ff73c60c4c7ee771d4e52171e03c36668ee94174b,1
42,1300000,3,c6_reverse_order,production,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,3,3,56cd15cd2a88fbd05e24f4022dcc6cc5cd8c094a7ca7d2a97a670a64d52d7cf9,769cc22368356229ec599a9ff73c60c4c7ee771d4e52171e03c36668ee94174b,1
43,1300000,3,c6_timing_offset,reference,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,5,5,5c4e6359d546b760753e00eb3cb9945af20760ba2a7b5d4e5e7dd3a3a76fe0a0,c6f96e07b9c8a41a00d3ff52a7ecfb90fe81867fdc227679783babb61921e29c,1
43,1300000,3,c6_timing_offset,production,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,5,5,5c4e6359d546b760753e00eb3cb9945af20760ba2a7b5d4e5e7dd3a3a76fe0a0,c6f96e07b9c8a41a00d3ff52a7ecfb90fe81867fdc227679783babb61921e29c,1
44,1300000,3,c7_contact_fanout,reference,1,1,4,7,1,1,1,4,7,1,1,1,6,1,4,2,0,0,0,1,9,3,3,70800446e1dad09418d23e96bb4321f915bb6feeb98959a0d8942b6be86b7c7a,7b9c5cb5148b3f1b2c03e5851e9e663c2242a3295fea14b41877f9469326eb13,1
