label,mode,seed,phase,e0_raw_relation_comparisons,e0_triples_enumerated,e0_canonical_permutations,e0_persistent_shape_comparisons,e0_proposals,e0_physical_propagations,e0_consequence_updates,e0_temporary_formations,e0_serializations,e0_total_work,e0_persistent_bytes,e0_temporary_peak_bytes,ds1_read_only_invocations,ds1_observation_comparisons,ds1_candidate_evaluations,ds1_proposals,ds1_route_firings,ds1_credit_updates,selected_action_execution_work,ordinary_consequence_work,ds1_persistent_bytes,maintenance_work,carrying_work,accounting
CUMULATIVE DS1 DEVELOPMENT,MICRO,100,collapse after frozen read-only consumption,293328,5432,32592,869,32,32,32,49,49,332415,130,40,1,,,,,,,,,,,E0 work includes one probe serialization; all stage-4-plus fields blank; source inventory is evaluator audit work excluded
CUMULATIVE DS1 DEVELOPMENT,GATE,100,collapse after frozen read-only consumption,583632,10808,64848,1749,64,64,64,97,97,661423,130,40,1,,,,,,,,,,,E0 work includes one probe serialization; all stage-4-plus fields blank; source inventory is evaluator audit work excluded
CUMULATIVE DS1 DEVELOPMENT,GATE,101,collapse after frozen read-only consumption,583632,10808,64848,1749,64,64,64,97,97,661423,130,40,1,,,,,,,,,,,E0 work includes one probe serialization; all stage-4-plus fields blank; source inventory is evaluator audit work excluded
CUMULATIVE DS1 DEVELOPMENT,GATE,102,collapse after frozen read-only consumption,583632,10808,64848,1749,64,64,64,97,97,661423,130,40,1,,,,,,,,,,,E0 work includes one probe serialization; all stage-4-plus fields blank; source inventory is evaluator audit work excluded
CUMULATIVE DS1 DEVELOPMENT,GATE,103,collapse after frozen read-only consumption,583632,10808,64848,1749,64,64,64,97,97,661423,130,40,1,,,,,,,,,,,E0 work includes one probe serialization; all stage-4-plus fields blank; source inventory is evaluator audit work excluded
CUMULATIVE DS1 DEVELOPMENT,GATE,104,collapse after frozen read-only consumption,583632,10808,64848,1749,64,64,64,97,97,661423,130,40,1,,,,,,,,,,,E0 work includes one probe serialization; all stage-4-plus fields blank; source inventory is evaluator audit work excluded
