case,family,root,phase,mechanics,replay_equal,cross_mechanics_equal,checks_pass,failed,cell_proposals,arrow_proposals,arrow_updates,cell_deallocations,arrow_deallocations,physical_work,trace_len,final_tick,naturally_quiescent,body_hash,markers
146,gate_a_sign_symmetry,7600001,2,production,true,true,true,,2,4,0,0,0,11,14,4,true,421f97454c89b07637029215f354d353db4c0e8bcfb00494037812b3d2152717,negative=CellId(3)/CellSlot(3);positive=CellId(4)/CellSlot(4)
147,gate_b_no_consequence,7600001,2,reference,true,true,true,,2,4,0,2,4,17,20,12,true,2723d34fb0f1ad613437734aaa996f018f53d759b0400ac0cd960e66a72e9997,negative_live=(false; false; false);positive_live=(false; false; false)
147,gate_b_no_consequence,7600001,2,production,true,true,true,,2,4,0,2,4,17,20,12,true,2723d34fb0f1ad613437734aaa996f018f53d759b0400ac0cd960e66a72e9997,negative_live=(false; false; false);positive_live=(false; false; false)
148,gate_c_bounded_creation,7600001,2,reference,true,true,true,,2,4,0,2,4,35,50,12,true,2723d34fb0f1ad613437734aaa996f018f53d759b0400ac0cd960e66a72e9997,proposals=(2; 4)
148,gate_c_bounded_creation,7600001,2,production,true,true,true,,2,4,0,2,4,35,50,12,true,2723d34fb0f1ad613437734aaa996f018f53d759b0400ac0cd960e66a72e9997,proposals=(2; 4)
149,gate_d_orphan_cleanup_reuse,7600001,2,reference,true,true,true,,2,4,0,2,4,17,20,12,true,c79f2dbbeb681e18ed05869b830e10f0f01a8ef5ed6f238e83f4e59e9e9eccd8,cell_slots=[CellSlot(3); CellSlot(4)]->[CellSlot(3); CellSlot(4)];arrow_slots=[Some(ArrowSlot(2)); Some(ArrowSlot(3)); Some(ArrowSlot(4)); Some(ArrowSlot(5))]->[Some(ArrowSlot(2)); Some(ArrowSlot(3)); Some(ArrowSlot(4)); Some(ArrowSlot(5))]
149,gate_d_orphan_cleanup_reuse,7600001,2,production,true,true,true,,2,4,0,2,4,17,20,12,true,c79f2dbbeb681e18ed05869b830e10f0f01a8ef5ed6f238e83f4e59e9e9eccd8,cell_slots=[CellSlot(3); CellSlot(4)]->[CellSlot(3); CellSlot(4)];arrow_slots=[Some(ArrowSlot(2)); Some(ArrowSlot(3)); Some(ArrowSlot(4)); Some(ArrowSlot(5))]->[Some(ArrowSlot(2)); Some(ArrowSlot(3)); Some(ArrowSlot(4)); Some(ArrowSlot(5))]
150,gate_e_positive_consequence,7600001,2,reference,true,true,true,,2,4,2,1,2,21,27,14,true,2e4309d27dd59e6425e6fd6b3b7663e890ea906d73c4cf996d562ebd3bc46564,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(2)/slotSome(CellSlot(2));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
150,gate_e_positive_consequence,7600001,2,production,true,true,true,,2,4,2,1,2,21,27,14,true,2e4309d27dd59e6425e6fd6b3b7663e890ea906d73c4cf996d562ebd3bc46564,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(2)/slotSome(CellSlot(2));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
151,gate_f_negative_consequence,7600001,2,reference,true,true,true,,2,4,2,1,2,21,27,14,true,0e91583bf9cfe78f9828e5ee51fab9d6d2a80d71c59741bb4bb730ab6640da01,selected_sign=-1;selected_id=CellId(3)/slotCellSlot(3);unsupported_id=CellId(4)/slotCellSlot(4);anchor=CellId(2)/slotSome(CellSlot(2));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
