case_id,topology,phase,excitation,inhibition,threshold,delay_ab,delay_ba,rs1_class,core_b_class,first_divergence
140,cycle,rs1_phase,3,0,3,1,1,periodic,periodic,none
141,cycle,rs1_phase,3,1,2,1,1,periodic,periodic,none
142,cycle,rs1_phase,3,1,3,1,1,periodic,periodic,none
145,cycle,rs1_phase,3,2,2,1,1,periodic,periodic,none
146,cycle,rs1_phase,3,2,3,1,1,periodic,periodic,none
149,cycle,rs1_phase,3,3,2,1,1,periodic,periodic,none
150,cycle,rs1_phase,3,3,3,1,1,quiescent,quiescent,none
151,cycle,rs1_phase,3,4,2,1,1,quiescent,quiescent,none
152,cycle,rs1_phase,3,4,3,1,1,quiescent,quiescent,none
153,cycle,rs1_phase,3,8,2,1,1,quiescent,quiescent,none
154,cycle,rs1_phase,3,8,3,1,1,quiescent,quiescent,none
155,cycle,rs1_phase,3,16,2,1,1,quiescent,quiescent,none
156,cycle,rs1_phase,3,16,3,1,1,quiescent,quiescent,none
157,chain,core0_phase,2,16,2,1,1,quiescent,quiescent,none
158,chain,rs1_phase,2,16,2,1,1,quiescent,quiescent,none
