case,family,root,mechanics,replay_equal,cross_equal,checks_pass,failed,quiescent,physical_work,legacy_total,final_tick,trace_hash,body_hash,checkpoint_hash,signature
8,live_pending_exact_continuation,8900000,production,true,true,true,,true,1,21,5,3a975d87a12c9cb2bc5c4545d16124d1826a3da48eed3bec51a60c4b49bf0dc0,5acfd48b83996b4440f96187c2ecdbaeba08933cb96834d12b13a2a108a13425,df0a9ab2e71dea80b421ee4779080a7158cc2e9fbce4bc4c0c1eaae8f7ce8d40,continuation=Continuation { trace: [PhysicalTransition { tick: 5; phase: 0; event: DriveIncidence { target: CellId(2); arrivals: 1; impulse: 1; causal_wave: 0 } }; PhysicalTransition { tick: 5; phase: 0; event: Fire { cell: CellId(2) } }]; work: PhysicalWork { drive: 1; modulation: 0; updates: 0; proposals: 0; cell_proposals: 0; arrow_deallocations: 0; cell_deallocations: 0; qlp: 0; total: 1 }; legacy_total: 21; tick: 5; body_hash: "5acfd48b83996b4440f96187c2ecdbaeba08933cb96834d12b13a2a108a13425"; quiescent: true },
9,quiescent_exact_future,8900000,reference,true,true,true,,true,1,9,1,9273684a90ffcab00feeca758178366610da551a608c73517bf7f3448b7c8edf,5acfd48b83996b4440f96187c2ecdbaeba08933cb96834d12b13a2a108a13425,fd7b1f4d54e9172f1786346a35d853c8fa20369938e8df0d2f47905373e0e4b8,future=Continuation { trace: [PhysicalTransition { tick: 1; phase: 0; event: DriveIncidence { target: CellId(2); arrivals: 1; impulse: 1; causal_wave: 0 } }; PhysicalTransition { tick: 1; phase: 0; event: Fire { cell: CellId(2) } }]; work: PhysicalWork { drive: 1; modulation: 0; updates: 0; proposals: 0; cell_proposals: 0; arrow_deallocations: 0; cell_deallocations: 0; qlp: 0; total: 1 }; legacy_total: 9; tick: 1; body_hash: "5acfd48b83996b4440f96187c2ecdbaeba08933cb96834d12b13a2a108a13425"; quiescent: true },
9,quiescent_exact_future,8900000,production,true,true,true,,true,1,9,1,9273684a90ffcab00feeca758178366610da551a608c73517bf7f3448b7c8edf,5acfd48b83996b4440f96187c2ecdbaeba08933cb96834d12b13a2a108a13425,fd7b1f4d54e9172f1786346a35d853c8fa20369938e8df0d2f47905373e0e4b8,future=Continuation { trace: [PhysicalTransition { tick: 1; phase: 0; event: DriveIncidence { target: CellId(2); arrivals: 1; impulse: 1; causal_wave: 0 } }; PhysicalTransition { tick: 1; phase: 0; event: Fire { cell: CellId(2) } }]; work: PhysicalWork { drive: 1; modulation: 0; updates: 0; proposals: 0; cell_proposals: 0; arrow_deallocations: 0; cell_deallocations: 0; qlp: 0; total: 1 }; legacy_total: 9; tick: 1; body_hash: "5acfd48b83996b4440f96187c2ecdbaeba08933cb96834d12b13a2a108a13425"; quiescent: true },
10,reference_production_exact_continuation,8900000,reference,true,true,true,,true,4,33,2,e7a82e32f719badd2ec602d0df0796a813674cf9119dcb10534e25fe9d0cb655,fb778378a72adf1dde3cd00bb371e158d03ed91e1a4b445cd87d75f7674797b5,99b35ecf0fbe810ba1b1bb47974f2f8538a3183aece012aa748a760be96d8fd0,cross=Continuation { trace: [PhysicalTransition { tick: 1; phase: 0; event: DriveIncidence { target: CellId(2); arrivals: 1; impulse: 1; causal_wave: 0 } }; PhysicalTransition { tick: 1; phase: 0; event: Fire { cell: CellId(2) } }; PhysicalTransition { tick: 2; phase: 0; event: ModulatoryIncidence { target: CellId(3); arrivals: 1; impulse: 1; causal_wave: 0 } }; PhysicalTransition { tick: 2; phase: 0; event: Resistance { arrow: ArrowId(4); before: 500; after: 503 } }; PhysicalTransition { tick: 2; phase: 0; event: DriveIncidence { target: CellId(3); arrivals: 1; impulse: 2; causal_wave: 0 } }; PhysicalTransition { tick: 2; phase: 0; event: Fire { cell: CellId(3) } }]; work: PhysicalWork { drive: 2; modulation: 1; updates: 1; proposals: 0; cell_proposals: 0; arrow_deallocations: 0; cell_deallocations: 0; qlp: 0; total: 4 }; legacy_total: 33; tick: 2; body_hash: "fb778378a72adf1dde3cd00bb371e158d03ed91e1a4b445cd87d75f7674797b5"; quiescent: true },
10,reference_production_exact_continuation,8900000,production,true,true,true,,true,4,33,2,e7a82e32f719badd2ec602d0df0796a813674cf9119dcb10534e25fe9d0cb655,fb778378a72adf1dde3cd00bb371e158d03ed91e1a4b445cd87d75f7674797b5,99b35ecf0fbe810ba1b1bb47974f2f8538a3183aece012aa748a760be96d8fd0,cross=Continuation { trace: [PhysicalTransition { tick: 1; phase: 0; event: DriveIncidence { target: CellId(2); arrivals: 1; impulse: 1; causal_wave: 0 } }; PhysicalTransition { tick: 1; phase: 0; event: Fire { cell: CellId(2) } }; PhysicalTransition { tick: 2; phase: 0; event: ModulatoryIncidence { target: CellId(3); arrivals: 1; impulse: 1; causal_wave: 0 } }; PhysicalTransition { tick: 2; phase: 0; event: Resistance { arrow: ArrowId(4); before: 500; after: 503 } }; PhysicalTransition { tick: 2; phase: 0; event: DriveIncidence { target: CellId(3); arrivals: 1; impulse: 2; causal_wave: 0 } }; PhysicalTransition { tick: 2; phase: 0; event: Fire { cell: CellId(3) } }]; work: PhysicalWork { drive: 2; modulation: 1; updates: 1; proposals: 0; cell_proposals: 0; arrow_deallocations: 0; cell_deallocations: 0; qlp: 0; total: 4 }; legacy_total: 33; tick: 2; body_hash: "fb778378a72adf1dde3cd00bb371e158d03ed91e1a4b445cd87d75f7674797b5"; quiescent: true },
11,live_junction_roundtrip,9000101,reference,true,true,true,,true,0,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,a1ed10bf9725c275346b7fd5f43bdbf3e7b1424c0d75de06820cb1082846372f,7c44b91b94985867f42bc146b1a968c4f7ad33d255157e3564855885d8e829b4,before=(true; 1; 1);after=(true; 1; 1),
11,live_junction_roundtrip,9000101,production,true,true,true,,true,0,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,a1ed10bf9725c275346b7fd5f43bdbf3e7b1424c0d75de06820cb1082846372f,7c44b91b94985867f42bc146b1a968c4f7ad33d255157e3564855885d8e829b4,before=(true; 1; 1);after=(true; 1; 1),
12,dead_nonzero_dormant_resistance,9000101,reference,true,true,true,,true,1,3,1,1065ad616b1d5b21dd02e8c878d6e89dadb4159114cb3ab560e46081b4b59bc9,6a4e1da8c268e9053f5ab13c26e35037998f3491a9ee47c5bdfa95125477c661,5469030643c6f58844df874f100d2271654ab8e0e09f979647983de99bc840fc,before=(false; 1; 2);after=(false; 1; 2),
12,dead_nonzero_dormant_resistance,9000101,production,true,true,true,,true,1,3,1,1065ad616b1d5b21dd02e8c878d6e89dadb4159114cb3ab560e46081b4b59bc9,6a4e1da8c268e9053f5ab13c26e35037998f3491a9ee47c5bdfa95125477c661,44376fe2e0c5e96bcdcd51f801562bd2d965b1d28299761b3f78760c0b0bda5f,before=(false; 1; 2);after=(false; 1; 2),
13,dead_slot_generation_safe_reuse,9000101,reference,true,true,true,,true,0,0,1,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,011350e75ace8c7b5601efbc2f83400125095edef43167a9d49b7004a7439516,284c893da36f570c211bc393e019338f06d0d4b7b1763ccb0e1a0824c2fd7a85,slot=2->2;generation=1->2,
